Gene title	Gene symbol	Fold change (depl. vs. cont.)	Fold change (depl. vs. depl.I?B? KD)	Function
Melanoma cell adhesion molecule	Mcam	26.1938	?2.12697	Tumor marker proteins
Melanoma antigen	Mela	14.4641	1.01304	Tumor marker proteins
Breast cancer anti-estrogen resistance 1	Bcar1	2.47854	1.12202	Tumor progression proteins
Transforming growth factor, beta 2	Tgfb2	2.2924	?1.50422	Tumor progression proteins
Carbonic anhydrase 8	Car8	22.0069	1.15188	Metabolism regulatory proteins
Insulin-like growth factor 2, binding protein 1	Igf2bp1	10.4676	?1.40136	Metabolism regulatory proteins
Pyruvate dehydrogenase kinase, isoenzyme 1	Pdk1	4.12998	?1.52081	Metabolism regulatory proteins
Pyruvate carboxylase	Pcx	3.2003	1.04495	Metabolism regulatory proteins
Phosphofructokinase, platelet	Pfkp	3.1962	?1.65984	Metabolism regulatory proteins
Pyruvate dehydrogenase kinase, isoenzyme 3	Pdk3	2.50058	?1.45416	Metabolism regulatory proteins
Procollagen, type IV, alpha1	Col4a1	6.88394	?1.07038	Cytoskeletal proteins
Procollagen, type IV, alpha2	Col4a2	6.23115	1.0008	Cytoskeletal proteins
Connective tissue growth factor	Ctgf	5.01523	?1.53219	Cytoskeletal proteins
Cytochrome c oxidase, subunit VIIa 1	Cox7a1	5.82145	?1.89848	Cell/mitochondrial function/signaling proteins
Nitric-oxide synthase 1, neuronal (Nos1), mRNA	Nos1	8.47653	?1.24509	Cell/mitochondrial function/signaling proteins
Synuclein, alpha	Snca	9.44693	?2.23639	Cell/mitochondrial function/signaling proteins
Ubiquitin-activating enzyme E1-like	Ube1l	7.93742	?1.3696	Cell/mitochondrial function/signaling proteins
Mitogen-activated protein kinase kinase kinase 1	Map3k1	4.30808	?1.76614	Cell/mitochondrial function/signaling proteins
Glycogen synthase 1, muscle/glycogen synthase 3, brain	Gys1 / Gys3	3.21247	?1.39839	Cell/mitochondrial function/signaling proteins
Superoxide dismutase 2, mitochondrial	Sod2	2.47852	?1.19618	Cell/mitochondrial function/signaling proteins
Translocase of inner mitochondrial membrane 9 homolog (yeast)	Timm9	2.37736	?1.51778	Cell/mitochondrial function/signaling proteins
Phosphatidylinositol 3-kinase, C2 domain-containing, alpha polypeptide	Pik3c2a	2.3394	?1.56545	Cell/mitochondrial function/signaling proteins
Inositol 1,3,4-triphosphate 5/6 kinase	Itpk1	3.88386	?1.25792	Calcium regulation proteins
Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Cacna1a	2.73045	?2.07777	Calcium regulation proteins
FK506-binding protein 5	Fkbp5	1.89555	?1.40141	Calcium regulation proteins
