HGNC ID	Name	Fold change MK/EB	Ensembl ID
PF4	Platelet factor 4 precursor (PF-4) (CXCL4) (Oncostatin A) (Iroplact). [Source:SWISSPROT;Acc:P02776]	111.3050981	ENSG00000163737
SELP	P-selectin precursor (Granule membrane protein 140) (GMP-140) (PADGEM) (CD62P) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3). [Source:SWISSPROT;Acc:P16109]	70.99307734	ENSG00000174175
MED31	Mediator complex subunit SOH1 (hSOH1) (CGI-125). [Source:SWISSPROT;Acc:Q9Y3C7]	65.56884277	ENSG00000108590
PPBP	Platelet basic protein precursor (PBP) (Small inducible cytokine B7) (CXCL7) [Contains: Connective-tissue activating peptide III (CTAP- III); Low-affinity platelet factor IV (LA-PF4); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2 (NAP-2)]. [Source:SWISSPROT;Acc:P02775]	62.7241098	ENSG00000163736
RGS18	Regulator of G-protein signaling 18 (RGS18). [Source:SWISSPROT;Acc:Q9NS28]	58.7010385	ENSG00000150681
TBXAS1	Thromboxane-A synthase (EC 5.3.99.5) (TXA synthase) (TXS). [Source:SWISSPROT;Acc:P24557]	50.68626661	ENSG00000059377
GP9	Platelet glycoprotein IX precursor (GPIX) (CD42A). [Source:SWISSPROT;Acc:P14770]	48.62923272	ENSG00000169704
PECAM1	Platelet endothelial cell adhesion molecule precursor (PECAM-1) (CD31 antigen) (EndoCAM) (GPIIA). [Source:SWISSPROT;Acc:P16284]	47.33499344	ENSG00000198802
ITGB3	Integrin beta-3 precursor (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD61 antigen). [Source:SWISSPROT;Acc:P05106]	43.3418314	ENSG00000056345
MYCT1	myc target 1; myc target in myeloid cells 1. [Source:RefSeq;Acc:NM_025107]	39.2030976	ENSG00000120279
PPP1R14A	protein phosphatase 1, regulatory (inhibitor) subunit 14A; 17-kDa PKC-potentiated inhibitory protein of PP1. [Source:RefSeq;Acc:NM_033256]	35.82354509	ENSG00000167641
MGLL	monoglyceride lipase; lysophospholipase-like. [Source:RefSeq;Acc:NM_007283]	35.39431056	ENSG00000074416
LOXL3	Lysyl oxidase homolog 3 precursor (EC 1.4.3.-) (Lysyl oxidase-like protein 3). [Source:SWISSPROT;Acc:P58215]	33.77514631	ENSG00000115318
GK2	Glycerol kinase, testis specific 2 (EC 2.7.1.30) (ATP:glycerol 3- phosphotransferase) (Glycerokinase) (GK). [Source:SWISSPROT;Acc:Q14410]	31.80529291	ENSG00000196475
ITGA2B	Integrin alpha-IIb precursor (Platelet membrane glycoprotein IIb) (GPalpha IIb) (GPIIb) (CD41 antigen). [Source:SWISSPROT;Acc:P08514]	31.49930383	ENSG00000005961
TMEM133	AD031 protein. [Source:RefSeq;Acc:NM_032021]	31.11730379	ENSG00000170647
ADNP	Activity-dependent neuroprotector (Activity-dependent neuroprotective protein). [Source:SWISSPROT;Acc:Q9H2P0]	31.04947488	ENSG00000101126
HGD	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisicase) (Homogentisate oxygenase) (Homogentisic acid oxidase). [Source:SWISSPROT;Acc:Q93099]	30.73675835	ENSG00000113924
SLA2	Src-like-adapter 2 (Src-like adapter protein-2) (SLAP-2) (Modulator of antigen receptor signaling) (MARS). [Source:SWISSPROT;Acc:Q9H6Q3]	28.72995012	ENSG00000101082
CPXM	Potential carboxypeptidase X precursor (EC 3.4.17.-) (Metallocarboxypeptidase CPX-1). [Source:SWISSPROT;Acc:Q96SM3]	28.62791667	ENSG00000088882
CTSW	Cathepsin W precursor (EC 3.4.22.-) (Lymphopain). [Source:SWISSPROT;Acc:P56202]	26.81450426	ENSG00000172543
