Probeset	Symbol	Genbank	T3/T1
200601_at	ACTN4	U48734	2.28
233868_x_at	ADAM33	AL117415	2.17
235368_at	ADAMTS5	AI123555	2.79
202144_s_at	ADSL	NM_000026	2.04
201792_at	AEBP1	NM_001129	2.02
235371_at	AFF4	AI452595	2.92
217419_x_at	AGRIN	AK021586	2.77
242008_at	AGTPBP1	BE350312	2.03
225059_at	AGTRAP	BE875567	2.23
206561_s_at	AKR1B10	NM_020299	12.17
222416_at	ALDH18A1	U76542	2.35
200966_x_at	ALDOA	NM_000034	3.01
214846_s_at	ALPK3	AB037751	2.55
1553956_at	ALS2CR4	BG194770	2.24
204976_s_at	AMMECR1	AK023637	2.22
223251_s_at	ANKRD10	BC001727	3.04
213503_x_at	ANXA2	BE908217	2.56
228415_at	AP1S2	AA205444	2.49
217888_s_at	ARFGAP1	NM_018209	2.92
203946_s_at	ARG2	U75667	2.24
204425_at	ARHGAP4	NM_001666	2.68
1560445_x_at	ARHGEF1	AK026781	2.3
241837_at	ARID5B	AI289774	2.41
224204_x_at	ARNTL2	AF231339	2.03
205047_s_at	ASNS	NM_001673	4.09
209135_at	ASPH	AF289489	2.76
218857_s_at	ASRGL1	NM_025080	2.29
228401_at	ATAD2	AI656807	2.26
208758_at	ATIC	D89976	2.07
218608_at	ATP13A2	NM_022089	2.84
230387_at	ATP2C1	AL038450	2.05
201806_s_at	ATXN2L	NM_007245	2.27
211379_x_at	B3GALNT1	AB050855	2.15
203452_at	B3GAT3	NM_012200	2.29
225612_s_at	B3GNT5	BE672260	2.45
203304_at	BAMBI	NM_012342	2.4
205345_at	BARD1	NM_000465	2.41
208132_x_at	BAT2	NM_004638	2.18
228787_s_at	BCAS4	AA207074	2.13
225285_at	BCAT1	AK025615	2.81
219497_s_at	BCL11A	NM_022893	2.09
219444_at	BCORL1	NM_021946	2.16
202095_s_at	BIRC5	NM_001168	2.04
209836_x_at	BOLA2	AF060511	2.06
212563_at	BOP1	BG491842	2.4
220155_s_at	BRD9	NM_023924	2.25
243431_at	BTBD14A	BF000597	2.19
203755_at	BUB1B	NM_001211	2
235590_at	C10orf6	BF112155	2.2
228105_at	C11orf23	AA528070	2.11
203257_s_at	C11orf49	NM_024113	2.17
243249_at	C14orf119	AL040360	2.43
229442_at	C18orf54	BF059556	2.1
222266_at	C19orf2	BF796940	2.72
220688_s_at	C1orf33	NM_016183	3.06
231835_at	C1orf93	AL359575	2.09
235278_at	C20orf133	BF032500	2.27
235616_at	C20orf17	AI694059	2.13
225825_at	C20orf194	AL110249	2.08
60474_at	C20orf42	AA469071	2.07
226809_at	C2orf14	AW188087	2.59
219288_at	C3orf14	NM_020685	2.04
1553274_a_at	C6orf151	NM_152551	2.11
222309_at	C6orf62	AW972292	2.3
1555241_at	C8orf59	BC032347	2.14
225377_at	C9orf86	BE783949	2.34
223019_at	C9orf88	BC001979	2.63
214164_x_at	CA12	BF752277	2.03
219928_s_at	CABYR	NM_012189	2.14
201850_at	CAPG	NM_001747	2.6
219333_s_at	CAPN10	NM_023083	2.27
228641_at	CARD8	BF338389	2.03
239545_at	CAS1	AI335004	2.15
238549_at	CBFA2T2	AI420611	2.16
242069_at	CBX5	BE568225	2.56
202047_s_at	CBX6	AI458128	2.52
228320_x_at	CCDC64	R61322	4.33
209688_s_at	CCDC93	BC005078	2.67
224240_s_at	CCL28	AF266504	2.24
213523_at	CCNE1	AI671049	2.01
226545_at	CD109	AL110152	2.57
209772_s_at	CD24	X69397	7.41
232266_x_at	CDC2L5	AK024379	2.32
204510_at	CDC7	NM_003503	2.19
223381_at	CDCA1	AF326731	2.21
224428_s_at	CDCA7	AY029179	2.03
225081_s_at	CDCA7L	AK022955	2.97
219534_x_at	CDKN1C	NM_000076	2.22
218741_at	CENPM	NM_024053	3.81
1558953_s_at	CEP164	BC000602	2.6
202937_x_at	CGI-96	AL022316	2.13
228999_at	CHD2	AW514564	2.18
226123_at	CHD7	AI870918	2.27
218803_at	CHFR	NM_018223	2.05
226569_s_at	CHTF18	AK024476	2.14
205008_s_at	CIB2	NM_006383	2.01
200999_s_at	CKAP4	NM_006825	2.94
202712_s_at	CKMT1B	NM_020990	2.18
218161_s_at	CLN6	NM_017882	2.43
211043_s_at	CLTB	BC006332	2.03
1556499_s_at	COL1A1	BE221212	3.23
202403_s_at	COL1A2	AA788711	2.02
221019_s_at	COLEC12	NM_030781	2.44
230360_at	COLM	AW006648	3.51
213736_at	COX5B	AI557312	2.17
201639_s_at	CPSF1	NM_013291	2.12
213059_at	CREB3L1	AF055009	2.31
202332_at	CSNK1E	NM_001894	2.3
204619_s_at	CSPG2	BF590263	3.43
225681_at	CTHRC1	AA584310	8.52
229253_at	CTMP	AI184512	2.21
242558_at	CTNNB1	AW362945	2.16
209617_s_at	CTNND2	AF035302	2.06
225646_at	CTSC	AI246687	2.33
235027_at	CXorf15	R52023	2.41
227133_at	CXorf39	BE856541	2
202806_at	DBN1	NM_004395	4.58
224796_at	DDEF1	W03103	2.81
225971_at	DDHD1	AI741411	2.15
202887_s_at	DDIT4	NM_019058	2.53
208674_x_at	DDOST	BC002594	2.41
219945_at	DDX25	NM_013264	2.07
209407_s_at	DEAF1	AF068892	2.06
219763_at	DENND1A	NM_024820	2.38
221509_at	DENR	AB014731	2.03
32032_at	DGCR14	L77566	2.38
214198_s_at	DGCR2	AU150824	2.65
227415_at	DGKH	BF109303	2.75
207556_s_at	DGKZ	NM_003646	2.09
231912_s_at	DKFZP434B0335	AK027072	2.42
212005_at	DKFZp566C0424	AL582808	2.31
214948_s_at	DKFZp586L141	AL050136	2.33
218726_at	DKFZp762E1312	NM_018410	2.14
204602_at	DKK1	NM_012242	4.84
201681_s_at	DLG5	AB011155	2
202570_s_at	DLGAP4	BF346592	2.48
1554334_a_at	DNAJA4	BC031044	2.66
221782_at	DNAJC10	BG168666	2.09
204720_s_at	DNAJC6	AV729634	2.27
203105_s_at	DNM1L	NM_012062	2.08
232510_s_at	DPP3	AW250952	2.18
229064_s_at	DSCR1L2	BE670097	2.04
227084_at	DTNA	AW339310	2.72
223445_at	DTNBP1	AF061734	2.43
203270_at	DTYMK	NM_012145	2.17
218845_at	DUSP22	NM_020185	2.2
205777_at	DUSP9	NM_001395	3.65
204947_at	E2F1	NM_005225	2.59
219787_s_at	ECT2	NM_018098	2.18
232264_at	EDD	AK022204	2.28
204540_at	EEF1A2	NM_001958	4.47
45297_at	EHD2	AI417917	2.29
243149_at	EIF4G3	AI467945	3.63
222433_at	ENAH	AK025108	2.28
201313_at	ENO2	NM_001975	2.61
227386_s_at	EPB41	N63821	3.25
221884_at	EVI1	BE466525	2.49
203358_s_at	EZH2	NM_004456	2.06
202345_s_at	FABP5	NM_001444	2.69
203262_s_at	FAM50A	NM_004699	2.19
239246_at	FARP1	AW102941	2.18
225258_at	FBLIM1	AL133035	2.58
201787_at	FBLN1	NM_001996	5.96
44040_at	FBXO41	AA524093	2.12
215600_x_at	FBXW12	AK022174	2.02
218980_at	FHOD3	NM_025135	2.75
242828_at	FIGN	BG109695	2.06
236594_at	FLII	AI570526	2.17
201919_at	FLJ10618	AL049246	2.02
215645_at	FLJ11286	AF090883	2.81
228517_at	FLJ11730	AW466905	2.13
228262_at	FLJ14503	AW237462	3.37
208246_x_at	FLJ20006	NM_017618	2.15
226485_at	FLJ20674	BG547864	2.39
222767_s_at	FLJ21415	AW872378	3.42
227614_at	FLJ22761	W81116	4.86
238949_at	FLJ31951	BF681162	4.24
1558217_at	FLJ31952	AK074465	2.5
228257_at	FLJ34236	AA458879	2.52
227898_s_at	FLJ38705	AW576245	2.32
200859_x_at	FLNA	NM_001456	2.78
218618_s_at	FNDC3B	NM_022763	2.27
202580_x_at	FOXM1	NM_021953	3.44
239657_x_at	FOXO6	AI341823	3.8
227475_at	FOXQ1	AI676059	9.22
202489_s_at	FXYD3	BC005238	2.8
202275_at	G6PD	NM_000402	5.69
207086_x_at	GAGE4	NM_001474	2.3
238756_at	GAS2L3	AI860012	2.07
227517_s_at	GAS5	AI056992	2.22
202748_at	GBP2	NM_004120	2.21
219508_at	GCNT3	NM_004751	3.1
201864_at	GDI1	NM_001493	2.5
221510_s_at	GLS	AF158555	3.83
228173_at	GNAS	AA810695	2.45
222034_at	GNB2L1	AA443762	2.49
205184_at	GNG4	NM_004485	2.32
202382_s_at	GNPDA1	NM_005471	2.12
211977_at	GPR107	AK024651	2.19
218151_x_at	GPR172A	NM_024531	2.11
203632_s_at	GPRC5B	NM_016235	2.02
224807_at	GRAMD1A	AB040966	2.5
202848_s_at	GRK6	BG423052	2.26
219357_at	GTPBP1	NM_014027	2.71
219293_s_at	GTPBP9	NM_013341	2.12
204318_s_at	GTSE1	NM_016426	2.38
211275_s_at	GYG1	AF087942	2.94
201209_at	HDAC1	NM_004964	2.12
227347_x_at	HES4	NM_021170	4.01
212964_at	HIC2	AI912206	2.69
59999_at	HIF1AN	W37897	2.01
203290_at	HLA-DQA1	NM_002122	2.33
206074_s_at	HMGA1	NM_002131	2.07
203744_at	HMGB3	NM_005342	2.58
213844_at	HOXA5	NM_019102	2.06
231906_at	HOXD8	BF057634	2.57
210112_at	HPS1	U96721	2.86
241036_at	HPS3	AA215451	2.25
212983_at	HRAS	NM_005343	2.66
219284_at	HSPBAP1	NM_024610	2.01
1555935_s_at	HUNK	T58129	3.56
200825_s_at	HYOU1	NM_006389	2.06
202146_at	IFRD1	AA747426	2.03
218847_at	IGF2BP2	NM_006548	3.46
203820_s_at	IGF2BP3	NM_006547	2.31
227383_at	IGL	AW340595	2.36
202421_at	IGSF3	AB007935	2.23
218905_at	INTS8	NM_017864	2.37
201587_s_at	IRAK1	NM_001569	2.67
227314_at	ITGA2	N95414	3.28
236251_at	ITGAV	AA228366	3.33
201189_s_at	ITPR3	NM_002224	3.17
226352_at	JMY	BF447037	2.04
1568605_at	JRK	BQ020985	2.43
229310_at	KBTBD9	BE465475	2.27
210036_s_at	KCNH2	AB044806	2.83
204487_s_at	KCNQ1	NM_000218	2.1
212396_s_at	KIAA0090	AI143233	3
211713_x_at	KIAA0101	BC005832	2.47
205284_at	KIAA0133	NM_014777	2.5
1566887_x_at	KIAA0284	AY094612	2.02
212621_at	KIAA0286	AB006624	2.16
213216_at	KIAA0459	AL537463	2.23
204546_at	KIAA0513	NM_014732	2.59
212069_s_at	KIAA0515	AK026025	2.83
237868_x_at	KIAA0674	AI791828	2.43
