Symbol	Fold  change	FDR	Cytoband	Name/function	Regulated	Paramater
CDK7	7.47	1.05	5q12.1	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)	Upregulated genes	Histological grading
STAM2	3.8	2.58	2q23.3	Signal transducing adapter molecule (SH3 domain and ITAM motif) 2	Upregulated genes	Histological grading
TOP2A	3.58	0	17q21–q22	Topoisomerase (DNA) II alpha 170 kDa	Upregulated genes	Histological grading
SPINT2	3.47	3.64	19q13.1	Serine peptidase inhibitor, Kunitz type, 2	Upregulated genes	Histological grading
CDCA7	3.4	1.29	2q31	Cell division cycle associated 7	Upregulated genes	Histological grading
BIC	3.21	1.29	21q21.3	B-cell receptor inducible gene	Upregulated genes	Histological grading
OSTM1	3.03	4.34	6q21	Osteopetrosis associated transmembrane protein 1	Upregulated genes	Histological grading
RFC4	3.01	0	3q27	Replication factor C (activator 1) 4, 37 kDa	Upregulated genes	Histological grading
RBPMS	2.96	1.05	8p12–p11	RNA binding protein with multiple splicing	Upregulated genes	Histological grading
KPNA2	2.91	0	17q24.2	Karyopherin-alpha 2 (RAG cohort 1, importin alpha 1)	Upregulated genes	Histological grading
ATAD2	2.87	0	8q24.13	ATPase family, AAA domain containing 2	Upregulated genes	Histological grading
RPSA	2.75	0.66	3p22.2	Ribosomal protein SA	Upregulated genes	Histological grading
DDR1	2.72	4.34	6p21.3	Discoidin domain receptor family, member 1	Upregulated genes	Histological grading
CKS2	2.72	0	9q22	CDC28 protein kinase regulatory subunit 2	Upregulated genes	Histological grading
MCM6	2.7	0	2q21	Minichromosome maintenance complex component 6	Upregulated genes	Histological grading
MCM3	2.7	0	6p12	Minichromosome maintenance complex component 3	Upregulated genes	Histological grading
NAP1L1	2.69	0.66	12q21.2	Nucleosome assembly protein 1-like 1	Upregulated genes	Histological grading
CPNE1	2.61	1.29	20q11.22	Copine I	Upregulated genes	Histological grading
ARL4A	2.6	1.05	7p21–p15.3	ADP-ribosylation factor-like 4A	Upregulated genes	Histological grading
NANS	2.58	0	9p24.1–p23	N-acetylneuraminic acid synthase (sialic acid synthase)	Upregulated genes	Histological grading
MT1E	0.09	2.58	16q13	Metallothionein 1E	Downregulated genes	Histological grading
MT1F	0.1	3.64	16q13	Metallothionein 1F (pseudogene)	Downregulated genes	Histological grading
MT1M	0.11	3.64	16q13	Metallothionein 1M	Downregulated genes	Histological grading
MT2A	0.18	3.64	16q13	Metallothionein 2A	Downregulated genes	Histological grading
GHR	0.19	0	5p13–p12	Growth hormone receptor	Downregulated genes	Histological grading
SORL1	0.27	5.01	11q23.2–q24.2	Sortilin-related receptor, L (DLR class) A repeats-containing	Downregulated genes	Histological grading
AGXT2L1	0.28	0.69	4q25	Alanine-glyoxylate aminotransferase 2-like 1	Downregulated genes	Histological grading
SLC27A2	0.31	3.64	15q21.2	Solute carrier family 27 (fatty acid transporter), member 2	Downregulated genes	Histological grading
SORBS2	0.36	0	4q35.1	Sorbin and SH3 domain containing 2	Downregulated genes	Histological grading
CYP3A5	0.37	2.58	7q21.1	Cytochrome P450, family 3, subfamily A, polypeptide 5	Downregulated genes	Histological grading
SLC23A2	0.38	5.01	20p13	Solute carrier family 23 (nucleobase transporters), member 2	Downregulated genes	Histological grading
HRSP12	0.4	3.64	8q22	Heat-responsive protein 12	Downregulated genes	Histological grading
MGC119295	0.44	0	7q22.1	Similar to Williams–Beuren syndrome critical region protein 19	Downregulated genes	Histological grading
FNBP1	0.44	3.64	9q34	Formin binding protein 1	Downregulated genes	Histological grading
CHD9	0.45	4.34	16q12.2	Chromodomain helicase DNA-binding protein 9	Downregulated genes	Histological grading
RCL1	0.46	4.34	9p24.1–p23	RNA terminal phosphate cyclase-like 1	Downregulated genes	Histological grading
GSTK1	0.46	5.01	7	Glutathione S-transferase-k1	Downregulated genes	Histological grading
BDH2	0.47	3.64	4q24	3-Hydroxybutyrate dehydrogenase, type 2	Downregulated genes	Histological grading
PON1	0.47	5.01	7q21.3	Paraoxonase 1	Downregulated genes	Histological grading
HIPK2	0.47	3.64	7q32–q34	Homeodomain-interacting protein kinase 2	Downregulated genes	Histological grading
IL1RN	4	1.58	2q14.2	Interleukin 1 receptor antagonist	Upregulated genes	Loss of 13q
RPL29	3.38	1.58	3p21.3–p21.2	Ribosomal protein L29	Upregulated genes	Loss of 13q
ARMCX3	3.32	1.45	Xq21.33–q22.2	Armadillo repeat containing, X-linked 3	Upregulated genes	Loss of 13q
RPSA	3.18	0	3p22.2	Ribosomal protein SA	Upregulated genes	Loss of 13q
EIF4A1	3.02	1.45	17p13	Eukaryotic translation initiation factor 4A, isoform 1	Upregulated genes	Loss of 13q
SMARCA4	2.95	1.45	19p13.2	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily A	Upregulated genes	Loss of 13q
RBPMS	2.94	3.16	8p12–p11	RNA-binding protein with multiple splicing	Upregulated genes	Loss of 13q
BIC	2.94	3.16	21q21.3	Neuroblastoma cDNA, clone: Nbla00208, full insert sequence	Upregulated genes	Loss of 13q
CPNE1	2.82	1.58	20q11.22	Copine I	Upregulated genes	Loss of 13q
C1orf151	2.82	0	1p36.13	Chromosome 1 open reading frame 151	Upregulated genes	Loss of 13q
AHCYL1	2.76	0	1p13.2	Similar to adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)	Upregulated genes	Loss of 13q
ARL4D	2.75	0	17q12–q21	ADP-ribosylation factor-like 4D	Upregulated genes	Loss of 13q
RPS5	2.75	1.45	19q13.4	Ribosomal protein S5	Upregulated genes	Loss of 13q
TOP2A	2.69	2.53	17q21–q22	Topoisomerase (DNA) II alpha 170 kDa	Upregulated genes	Loss of 13q
CPE	2.68	3.16	4q32.3	Carboxypeptidase E	Upregulated genes	Loss of 13q
RPS7	2.68	0	2p25	Ribosomal protein S7	Upregulated genes	Loss of 13q
WDR91	2.68	1.45	7q33	WD repeat domain 91	Upregulated genes	Loss of 13q
VDAC2	2.68	0	10q22	Voltage-dependent anion channel 2	Upregulated genes	Loss of 13q
RFC4	2.66	0	3q27	Replication factor C (activator 1) 4, 37 kDa	Upregulated genes	Loss of 13q
RPS14	2.62	2.09	5q31–q33	Ribosomal protein S14	Upregulated genes	Loss of 13q
MDFIC	0.38	2.09	7q31.1–q31.2	MyoD family inhibitor domain containing	Downregulated genes	Loss of 13q
GALE	0.4	2.09	1p36–p35	UDP-galactose-4-epimerase	Downregulated genes	Loss of 13q
