Gene bank	Gene name	 Fold change CP-P	 Fold change PC-P
NM_002580.1	Pancreatitis-associated protein (HIP/PAP)	13.2	130.6
NM_002343.1	Lactotransferrin (LTF)	13.2	40.6
BC005907.1	Similar to histamine N-methyltransferase, clone MGC: 14500	10.2	14.7
BC005930.1	Similar to CD58 antigen, (lymphocyte function-associated antigen 3), clone MGC: 14538	7.5	14.7
NM_014080.1	Dual oxidase-like domains 2 (DUOX2)	4.8	13.6
M83248.1	Nephropontin (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	5.3	13.1
NM_003776.1	Nuclear localization signal deleted in velocardiofacial syndrome (NLVCF)	11.4	12.3
NM_003082.1	Small nuclear RNA activating complex, polypeptide 1, 43kD (SNAPC1)	11.7	11.5
NM_016184.1	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6 (CLECSF6)	7.5	10.6
NM_003265.1	Toll-like receptor 3 (TLR3)	6.7	10.2
NM_016548.1	Golgi membrane protein GP73 (LOC51280)	6.1	9
NM_000581.1	Glutathione peroxidase 1 (GPX1)	10.3	8.8
NM_001866.1	Cytochrome c oxidase subunit VIIb (COX7B)	9	8.1
NM_002977.1	Sodium channel, voltage-gated, type IX, alpha polypeptide (SCN9A)	7.8	7.8
NM_018412.2	Suppression of tumorigenicity 7 (ST7), transcript variant a	6.4	7.2
NM_002048.1	Growth arrest-specific 1 (GAS1)	9.2	6.9
D55696.1	Cysteine protease	8.8	6.4
NM_014666.1	KIAA0171 gene product (KIAA0171)	14.4	6.2
NM_006895.1	Histamine N-methyltransferase (HNMT)	5.8	5.5
NM_017577.1	Homo sapiens hypothetical protein DKFZp434C0328 (DKFZp434C0328)	4.9	5.5
L03411.1	Human RD protein (RD)	3.7	5.4
NM_006731.1	Fukuyama type congenital muscular dystrophy (FCMD)	7.4	5.1
NM_003595.1	Tyrosylprotein sulfotransferase 2 (TPST2)	3.1	5.1
AF151867.1	CGI-109 protein	9.5	5
NM_015474.1	DKFZP564A032 protein (DKFZP564A032)	5.6	4.8
NM_014897.1	KIAA0924 protein (KIAA0924)	7.4	4.4
NM_005722.1	Human ARP2 (actin-related protein 2, yeast) homolog (ACTR2)	3.7	4.1
NM_004038.1	Amylase, alpha 1A; salivary (AMY1A)	5.3	4.1
NM_006324.1	Craniofacial development protein 1 (CFDP1)	3.4	4
NM_005873.1	Regulator of G-protein signalling 19 (RGS19)	5.5	3.8
NM_000277.1	Phenylalanine hydroxylase (PAH)	9.1	3.8
NM_004342.2	Caldesmon 1 (CALD1)	5.2	3.7
NM_013943.1	Chloride intracellular channel 4 (CLIC4)	5.5	3.6
M87789.1	Human (hybridoma H210) anti-hepatitis A IgG variable region, constant region, complementarity-determining regions	6.6	3.6
NM_024614.1	Homo sapiens hypothetical protein FLJ13197 (FLJ13197)	5	3.5
NM_007358.1	Putative DNA binding protein (M96)	4.5	3.4
AF213459.1	Ephrin receptor EPHA3 complete form (EPHA3)	7.8	3.3
NM_002296.1	Lamin B receptor (LBR)	3.7	3.2
NM_001482.1	Glycine amidinotransferase (l-arginine:glycine amidinotransferase) (GATM)	4.7	3.1
