UID	Gene Symbol	UniGene ID	Av. SCC	Av. BSM	Fold Decrease	t-test	Tumor suppressor annotation
39248_at	AQP3	Hs.234642	1811	9857	5.4	2.32E-13	N
200965_s_at	ABLIM1	Hs.438236	982	5915	6	2.81E-11	Y
217272_s_at	SERPINB13	Hs.241407	1146	5923	5.2	7.06E-12	Y
211002_s_at	TRIM29	Hs.504115	538	2132	4	5.23E-12	Y
218186_at	RAB25	Hs.632469	852	4371	5.1	1.82E-08	N
202096_s_at	TSPO	Hs.202	1127	3434	3	8.77E-11	N
266_s_at	CD24	Hs.694721	972	3188	3.3	6.08E-10	N
207467_x_at	CAST	Hs.440961	800	2838	3.5	2.95E-09	N
204341_at	TRIM16 /16L	Hs.123534	412	1723	4.2	2.73E-09	Y
207655_s_at	BLNK	Hs.665244	217	1108	5.1	1.47E-09	N
206050_s_at	RNH1	Hs.530687	815	2128	2.6	8.94E-14	N
212268_at	SERPINB1	Hs.381167	603	5418	9	3.21E-07	N
221667_s_at	HSPB8	Hs.400095	314	1333	4.2	7.35E-09	N
213005_s_at	ANKRD15	Hs.306764	546	1558	2.9	2.11E-10	N
201324_at	EMP1	Hs.696241	749	8171	10.9	7.17E-07	N
221655_x_at	EPS8L1	Hs.438862	257	1490	5.8	6.60E-08	N
207059_at	PAX9	Hs.132576	134	883	6.6	1.70E-08	N
212586_at	CAST	Hs.440961	760	2342	3.1	8.04E-09	N
203430_at	HEBP2	Hs.486589	1115	2838	2.5	5.73E-10	N
201909_at	RPS4Y1	Hs.282376	1396	3424	2.5	5.22E-10	N
206276_at	LY6D	Hs.415762	1325	5666	4.3	2.82E-07	N
203585_at	ZNF185	Hs.16622	710	5587	7.9	1.23E-06	N
201535_at	UBL3	Hs.145575	211	709	3.4	4.28E-10	N
211043_s_at	CLTB	Hs.484241	1148	3663	3.2	1.54E-07	N
220723_s_at	FLJ21511	Hs.479703	67	491	7.3	1.03E-08	N
201551_s_at	LAMP1	Hs.494419	328	1396	4.2	1.49E-07	N
200705_s_at	EEF1B2	Hs.632796	2857	5784	2	4.13E-12	N
217746_s_at	PDCD6IP	Hs.475896	875	2208	2.5	5.90E-09	N
208978_at	CRIP2	Hs.534309	134	746	5.6	6.13E-08	N
217846_at	QARS	Hs.79322	1333	2780	2.1	6.41E-15	N
209373_at	MALL	Hs.185055	856	7706	9	2.33E-06	N
209587_at	PITX1	Hs.84136	120	1269	10.6	6.45E-07	N
200983_x_at	CD59	Hs.278573	2120	5212	2.5	3.55E-08	N
208650_s_at	CD24	Hs.694721	869	4693	5.4	1.27E-06	N
200059_s_at	RHOA	Hs.247077	2244	4967	2.2	2.23E-09	N
221665_s_at	EPS8L1	Hs.438862	118	1427	12.1	8.76E-07	N
212543_at	AIM1	Hs.696189	975	3931	4	7.51E-07	N
202546_at	VAMP8	Hs.534373	1069	2541	2.4	5.86E-09	N
211362_s_at	SERPINB13	Hs.241407	229	1908	8.3	1.12E-06	Y
209720_s_at	SERPINB3	Hs.227948	570	2913	5.1	1.02E-06	N
217747_s_at	RPS9	Hs.546288	3776	7311	1.9	3.53E-12	N
213478_at	KIAA1026	Hs.644194	466	1150	2.5	3.81E-10	N
216804_s_at	PDLIM5	Hs.480311	205	575	2.8	2.83E-12	N
205125_at	PLCD1	Hs.80776	205	625	3.1	5.82E-10	N
218779_x_at	EPS8L1	Hs.438862	256	1968	7.7	1.17E-06	N
212807_s_at	SORT1	Hs.485195	227	992	4.4	1.60E-07	N
208908_s_at	CAST	Hs.440961	647	2785	4.3	8.44E-07	N
213895_at	EMP1	Hs.696241	78	783	10	4.56E-07	N
205470_s_at	KLK11	Hs.57771	378	3869	10.2	3.10E-06	N
201841_s_at	HSPB1	Hs.520973	7651	17465	2.3	9.78E-08	N
