Gene name	Gene symbol	Gene ID	Fold change	Function
Epiregulin	EREG	2069	?6.2	Cell cycle promoters
Neuropilin 1	NRP1	8829	?5.3	Cell cycle promoters
Spindle assembly 6 homologue (C. elegans)	SASS6	163786	?3.2	Cell cycle promoters
Anaphase promoting complex subunit 4	ANAPC4	29945	?2.6	Cell cycle promoters
Epidermal growth factor receptor	EGFR	1956	?2.5	Cell cycle promoters
Interleukin 15 receptor, ?	IL15RA	3601	?2.5	Cell cycle promoters
Insulin-induced gene 1	INSIG1	3638	2	Cell cycle promoters
v-Ha-ras Harvey rat sarcoma viral oncogene homologue	HRAS	3265	2	Cell cycle promoters
Thioredoxin-like 4B	TXNL4B	54957	2.1	Cell cycle promoters
Proliferation-associated 2G4, 38 kDa	PA2G4	5036	2.1	Cell cycle promoters
Ras homologue gene family, member G (rho G)	RHOG	391	2.1	Cell cycle promoters
DNA replication factor	CDT1	81620	2.2	Cell cycle promoters
FOS-like antigen 1	FOSL1	8061	2.2	Cell cycle promoters
Cell division cycle 34	CDC34	997	2.2	Cell cycle promoters
SERTA domain containing 1	SERTAD1	29950	2.2	Cell cycle promoters
Anaphase promoting complex subunit 2	ANAPC2	29882	2.4	Cell cycle promoters
S-phase kinase-associated protein 2 (p45)	SKP2	6502	2.5	Cell cycle promoters
Neuroblastoma RAS viral (v-ras) oncogene homologue	NRAS	4893	2.5	Cell cycle promoters
Polymerase (RNA) III (DNA directed) polypeptide D, 44 kDa	POLR3D	661	2.6	Cell cycle promoters
Homeobox C10	HOXC10	3226	2.7	Cell cycle promoters
Protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1	PIN1	5300	2.8	Cell cycle promoters
Cyclin-dependent kinase 4	CDK4	1019	2.8	Cell cycle promoters
CDC28 protein kinase regulatory subunit 2	CKS2	1164	3.1	Cell cycle promoters
Tumor necrosis factor (ligand) superfamily, member 7	TNFSF7	970	3.4	Cell cycle promoters
Zinc finger protein 259	ZNF259	8882	3.4	Cell cycle promoters
Sphingosine kinase 1	SPHK1	8877	3.5	Cell cycle promoters
Pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	PPBP	5473	3.7	Cell cycle promoters
Placental growth factor, vascular endothelial growth factor–related protein	PGF	5228	4.4	Cell cycle promoters
p300/CBP-associated factor	PCAF	8850	?3.8	Cell cycle inhibitors
Cullin 2	CUL2	8453	?3.7	Cell cycle inhibitors
Ataxia telangiectasia and Rad3 related	ATR	545	?3.1	Cell cycle inhibitors
Androgen-induced proliferation inhibitor	APRIN	23047	?2.5	Cell cycle inhibitors
Tumor protein p53 binding protein, 2	TP53BP2	7159	?2.5	Cell cycle inhibitors
E1A binding protein p300	EP300	2033	?2.1	Cell cycle inhibitors
Procollagen (type III) N-endopeptidase	PCOLN3	5119	2	Cell cycle inhibitors
G protein pathway suppressor 2	GPS2	2874	2	Cell cycle inhibitors
Melanoma inhibitory activity	MIA	8190	2.1	Cell cycle inhibitors
Tumor suppressor candidate 2	TUSC2	11334	2.1	Cell cycle inhibitors
Cyclin-dependent kinase inhibitor 2A, p16INK4A	CDKN2A	1029	2.2	Cell cycle inhibitors
G protein pathway suppressor 1	GPS1	2873	2.3	Cell cycle inhibitors
Prohibitin	PHB	5245	2.4	Cell cycle inhibitors
Insulin-like growth factor binding protein 4	IGFBP4	3487	2.7	Cell cycle inhibitors
BCL2-interacting killer (apoptosis-inducing)	BIK	638	6.2	Apoptosis inducers
BCL2-antagonist/killer 1	BAK1	578	3.4	Apoptosis inducers
BCL2-antagonist of cell death	BAD	572	2.2	Apoptosis inducers
BCL2-associated transcription factor 1	BCLAF1	9774	?2.3	Apoptosis inducers
BCL2-like 1	BCL2L1	598	2	Apoptosis inhibitors
