Probe set	Gene	Geo mean	Expression
201110_s_at	Thbs-1	188	Induction
201860_s_at	PLAT	28.6	Induction
220745_at	IL-19	25.1	Induction
229354_at	AhRR	20.3	Induction
219752_at	Rasal1	19.8	Induction
223567_at	Sema6B	16.6	Induction
213725_x_at	LOC283824	12.4	Induction
206569_at	IL-24	10.6	Induction
204072_s_at	13cDNA73	8.4	Induction
202434_s_at	Cyp1B1	8.3	Induction
228648_at	LRG1	8.1	Induction
204311_at	ATP1B2	8	Induction
207674_at	CD89	7.7	Induction
230323_s_at	LOC120224	6.2	Induction
212665_at	TiPARP	6	Induction
202431_s_at	MYC	0.26	Inhibition
204533_at	CXCL10	0.27	Inhibition
210873_x_at	ARP3	0.28	Inhibition
205692_s_at	CD38	0.31	Inhibition
229053_at	Synaptotagmin XVII	0.31	Inhibition
212279_at	MAC30	0.33	Inhibition
1556499_s_at	unknown	0.34	Inhibition
240287_at	unknown	0.35	Inhibition
210367_s_at	PTGES	0.35	Inhibition
204439_at	IFI44L	0.35	Inhibition
211144_x_at	CD3G	0.38	Inhibition
205207_at	IL-6	0.38	Inhibition
225646_at	Cathepsin C	0.38	Inhibition
201416_at	SOX4	0.38	Inhibition
212226_s_at	PPAP2B	0.39	Inhibition
