Gene Name	Average	Fold	Description	GenBank Accession	Cell line
CD53	5.84	5.84	CD53 antigen	AA132090	MCF7 4nM
CDKN1A	2.42	2.42	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	R27375	MCF7 4nM
CYP1B1	0.73	-1.37	Cytochrome P450, family 1, subfamily B, polypeptide 1	AA448157	MCF7 4nM
FGG	1.79	1.79	Fibrinogen gamma chain	T94626	MCF7 4nM
GAGE5	1.99	1.99	G antigen 5	AI381509	MCF7 4nM
GEM	2.41	2.41	GTP binding protein overexpressed in skeletal muscle	AA418077	MCF7 4nM
GHR	1.69	1.69	Growth hormone receptor	W05000	MCF7 4nM
GNAI1	0.53	-1.87	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	W46769	MCF7 4nM
GPC3	1.00	-1.00	Glypican 3	AA775872	MCF7 4nM
HIF1A	0.24	-4.20	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	W47003	MCF7 4nM
HIST2H2BE	1.73	1.73	Histone 2, H2be	AA456695	MCF7 4nM
HIST2H2BE	1.73	1.73	Histone 2, H2be	AA010223	MCF7 4nM
HLF	196.84	196.84	Hepatic leukemia factor	W00959	MCF7 4nM
ITGA4	1.16	1.16	Integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	AA490846	MCF7 4nM
MAF	1.29	1.29	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	AA043501	MCF7 4nM
MAGEA12	154.55	154.55	Melanoma antigen family A, 12	BE542433	MCF7 4nM
MAGEA6	2.04	2.04	Melanoma antigen family A, 6	BE541476	MCF7 4nM
MITF	2.15	2.15	Microphthalmia-associated transcription factor	AI002457	MCF7 4nM
NT5E	1.72	1.72	5-nucleotidase, ecto (CD73)	N35316	MCF7 4nM
POSTN	33.56	33.56	Periostin, osteoblast specific factor	AA598653	MCF7 4nM
PRAME	1.79	1.79	Preferentially expressed antigen in melanoma	AA598817	MCF7 4nM
RASGRP1	1.35	1.35	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	AA394197	MCF7 4nM
SDHA	0.83	-1.21	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	T70109	MCF7 4nM
SGK	1.60	1.60	Serum/glucocorticoid regulated kinase	BM669560	MCF7 4nM
SILV	1.06	1.06	Silver homolog (mouse)	N67770	MCF7 4nM
TFRC	0.73	-1.37	Transferrin receptor (p90, CD71)	AA488721	MCF7 4nM
TIMP3	1.75	1.75	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	AA479202	MCF7 4nM
TNFRSF11B	18.11	18.11	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	AA194983	MCF7 4nM
TNFRSF11B	1.75	1.75	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	AA599841	MCF7 4nM
TP53INP1	3.55	3.55	Tumor protein p53 inducible nuclear protein 1	AA459364	MCF7 4nM
TXNRD1	0.73	-1.37	Thioredoxin reductase 1	AA453335	MCF7 4nM
TYRP1	46.34	46.34	Tyrosinase-related protein 1	AA424996	MCF7 4nM
WDR44	2.02	2.02	WD repeat domain 44	W80619	MCF7 4nM
ABI3BP	1.46	1.46	ABI gene family, member 3 (NESH) binding protein	W81546	MCF7 100nM
AGT	2.05	2.05	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AI359985	MCF7 100nM
BCHE	1.09	1.09	Butyrylcholinesterase	AA885311	MCF7 100nM
CAPG	0.63	-1.58	Capping protein (actin filament), gelsolin-like	AA486942	MCF7 100nM
CASP7	0.87	-1.16	Caspase 7, apoptosis-related cysteine peptidase	T50828	MCF7 100nM
CCL21	2.05	2.05	Chemokine (C-C motif) ligand 21	W67812	MCF7 100nM
CDC2	0.56	-1.78	Cell division cycle 2, G1 to S and G2 to M	AA598974	MCF7 100nM
CDC2	0.54	-1.84	Cell division cycle 2, G1 to S and G2 to M	AA278384	MCF7 100nM
CDC6	0.60	-1.67	CDC6 cell division cycle 6 homolog (S. cerevisiae)	H59203	MCF7 100nM
CDH11	0.96	-1.04	Cadherin 11, type 2, OB-cadherin (osteoblast)	H96738	MCF7 100nM
CDK2	0.57	-1.76	Cyclin-dependent kinase 2	AI653017	MCF7 100nM
CGA	1.48	1.48	Glycoprotein hormones, alpha polypeptide	AA677403	MCF7 100nM
CKS1B	0.61	-1.63	CDC28 protein kinase regulatory subunit 1B	BM697318	MCF7 100nM
CLEC2B	0.61	-1.64	C-type lectin domain family 2, member B	H11732	MCF7 100nM
CTHRC1	0.82	-1.22	Collagen triple helix repeat containing 1	AA410434	MCF7 100nM
DAPK1	1.62	1.62	Death-associated protein kinase 1	AA025275	MCF7 100nM
DLC1	1.89	1.89	Deleted in liver cancer 1	R25788	MCF7 100nM
DPYSL2	0.63	-1.58	Dihydropyrimidinase-like 2	AA487674	MCF7 100nM
DTL	0.64	-1.57	Denticleless homolog (Drosophila)	R06944	MCF7 100nM
DUSP1	1.05	1.05	Dual specificity phosphatase 1	H86754	MCF7 100nM
EDNRB	1.28	1.28	Endothelin receptor type B	H28710	MCF7 100nM
ELAVL2	1.53	1.53	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	BX105616	MCF7 100nM
EMP3	2.80	2.80	Epithelial membrane protein 3	W73810	MCF7 100nM
FABP3	1.39	1.39	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	BF126308	MCF7 100nM
FBXO5	0.55	-1.82	F-box protein 5	AA064616	MCF7 100nM
FHL2	0.92	-1.08	Four and a half LIM domains 2	AA995282	MCF7 100nM
FIS1	0.79	-1.26	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	AA454862	MCF7 100nM
GAGE2	1.34	1.34	G antigen 1	BG250953	MCF7 100nM
GAGE5	2.12	2.12	G antigen 5	AI381509	MCF7 100nM
GBE1	0.87	-1.15	Glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	R09069	MCF7 100nM
GLRX	0.72	-1.39	Glutaredoxin (thioltransferase)	AA291163	MCF7 100nM
GPC3	1.03	1.03	Glypican 3	AA775872	MCF7 100nM
GPR115	1.49	1.49	G protein-coupled receptor 115	AI299961	MCF7 100nM
GYG2	1.44	1.44	Glycogenin 2	BE893462	MCF7 100nM
HIST1H4C	0.66	-1.52	Histone 1, H4c	AA868008	MCF7 100nM
HIST2H2BE	2.25	2.25	Histone 2, H2be	AA705142	MCF7 100nM
HIST2H2BE	1.99	1.99	Histone 2, H2be	AA456695	MCF7 100nM
ICAM3	1.42	1.42	intercellular adhesion molecule 1	AI242157	MCF7 100nM
IGFBP1	0.84	-1.19	Insulin-like growth factor binding protein 1	AA233079	MCF7 100nM
IGHG1	1.50	1.50	Immunoglobulin heavy constant gamma 1	N92646	MCF7 100nM
ITM2A	1.30	1.30	Integral membrane protein 2A	N53447	MCF7 100nM
KLRK1	0.81	-1.23	Killer cell lectin-like receptor subfamily K, member 1	BM456777	MCF7 100nM
LIX1L	1.91	1.91	Lix1 homolog (mouse) like	AA668310	MCF7 100nM
LOC283130	2.07	2.07	Hypothetical protein LOC283130	AA064973	MCF7 100nM
LPHN2	0.68	-1.47	Latrophilin 2	AA598995	MCF7 100nM
MAF	0.81	-1.23	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	N34436	MCF7 100nM
MAGEA5	1.78	1.78	Melanoma antigen family A, 5	AI200443	MCF7 100nM
MAGEA6	2.20	2.20	Melanoma antigen family A, 6	BE541476	MCF7 100nM
MAN1A1	0.72	-1.40	Mannosidase, alpha, class 1A, member 1	T85698	MCF7 100nM
NEK2	1.42	1.42	NIMA (never in mitosis gene a)-related kinase 2	AA682321	MCF7 100nM
PCDHA6	2.03	2.03	Protocadherin alpha subfamily C, 1	R49274	MCF7 100nM
PDGFC	0.54	-1.86	Platelet derived growth factor C	AI034132	MCF7 100nM
PDGFRA	0.74	-1.36	Platelet-derived growth factor receptor, alpha polypeptide	H23235	MCF7 100nM
PLOD2	0.64	-1.56	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	AA136707	MCF7 100nM
POLD3	0.67	-1.50	Polymerase (DNA-directed), delta 3, accessory subunit	AI017254	MCF7 100nM
PRAME	2.57	2.57	Preferentially expressed antigen in melanoma	AA598817	MCF7 100nM
RASGRF1	0.65	-1.55	Ras protein-specific guanine nucleotide-releasing factor 1	AI207890	MCF7 100nM
RBL1	0.65	-1.53	Retinoblastoma-like 1 (p107)	H96544	MCF7 100nM
RBL1	0.51	-1.98	Retinoblastoma-like 1 (p107)	H84048	MCF7 100nM
RGC32	2.21	2.21	Response gene to complement 32	AA045499	MCF7 100nM
RGS2	0.71	-1.40	Regulator of G-protein signalling 2, 24kDa	AI675670	MCF7 100nM
SCYL1	0.70	-1.42	SCY1-like 1 (S. cerevisiae)	R60197	MCF7 100nM
SDC2	0.55	-1.82	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	H64346	MCF7 100nM
SEMA4C	0.75	-1.34	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	R54587	MCF7 100nM
SFRP1	1.02	1.02	Secreted frizzled-related protein 1	T68892	MCF7 100nM
SGK	1.24	1.24	Serum/glucocorticoid regulated kinase	BM669560	MCF7 100nM
SILV	0.91	-1.10	Silver homolog (mouse)	N67770	MCF7 100nM
SLC29A1	0.65	-1.53	Solute carrier family 29 (nucleoside transporters), member 1	BE293338	MCF7 100nM
SNAI2	0.68	-1.46	Snail homolog 2 (Drosophila)	H57309	MCF7 100nM
SPP1	1.23	1.23	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	AA775616	MCF7 100nM
TACR1	1.43	1.43	Tachykinin receptor 1	BM008434	MCF7 100nM
