Gene ID	Symbol	Name	hESC Median Intensity	hEB Median Intensity	ESC/EB
5803	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	89.42	0.46	195.9
81491	GPR63	G protein-coupled receptor 63	19.16	0.41	46.78
10149	GPR64	G protein-coupled receptor 64	110.01	5.55	19.8
2562	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	603.91	48.15	12.54
121129	OR2AP1	olfactory receptor, family 2, subfamily AP, member 1	10.83	0.94	11.53
2892	GRIA3	glutamate receptor, ionotrophic, AMPA 3	10.73	0.94	11.43
26996	GPR160	G protein-coupled receptor 160	517.98	46.12	11.23
221188	GPR114	G protein-coupled receptor 114	129.7	12.93	10.03
120776	OR2D2	olfactory receptor, family 2, subfamily D, member 2	11.52	1.5	7.7
3359	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	193.89	26.62	7.28
4982	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	28.91	4.71	6.13
7855	FZD5	frizzled homolog 5 (Drosophila)	271.84	46.1	5.9
26707	OR2J2	olfactory receptor, family 2, subfamily J, member 2	11.7	2.45	4.78
150	ADRA2A	adrenergic, alpha-2A-, receptor	12.62	2.81	4.49
84634	KISS1R	KISS1 receptor	60.99	15.37	3.97
2925	GRPR	gastrin-releasing peptide receptor	33.28	9.7	3.43
163702	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)	60.62	17.78	3.41
51704	GPRC5B	G protein-coupled receptor, family C, group 5, member B	902.31	271.83	3.32
55540	IL17RB	interleukin 17 receptor B	91.85	28.15	3.26
799	CALCR	calcitonin receptor	20.82	6.4	3.25
219432	OR4C6	olfactory receptor, family 4, subfamily C, member 6	11.48	3.55	3.24
10219	KLRG1	killer cell lectin-like receptor subfamily G, member 1	13.24	4.19	3.16
3352	HTR1D	5-hydroxytryptamine (serotonin) receptor 1D	94.27	30.46	3.1
115352	FCRL3	Fc receptor-like 3	15.2	4.94	3.08
84109	GPR103	G protein-coupled receptor 103	28.25	9.51	2.97
151	ADRA2B	adrenergic, alpha-2B-, receptor	87.07	29.52	2.95
2827	GPR3	G protein-coupled receptor 3	22.75	7.78	2.93
2558	GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5	100.32	34.71	2.89
2742	GLRA2	glycine receptor, alpha 2	18.33	6.62	2.77
657	BMPR1A	bone morphogenetic protein receptor, type IA	196.34	73.02	2.69
2264	FGFR4	fibroblast growth factor receptor 4	922.39	363.42	2.54
943	TNFRSF8	tumor necrosis factor receptor superfamily, member 8	67.95	28.05	2.42
2842	GPR19	G protein-coupled receptor 19	125.34	53.69	2.33
84957	TNFRSF19L	tumor necrosis factor receptor superfamily, member 19-like	19.65	8.66	2.27
5800	PTPRO	protein tyrosine phosphatase, receptor type, O	11.35	5.02	2.26
81696	OR5V1	olfactory receptor, family 5, subfamily V, member 1	17.35	7.74	2.24
138802	OR13C8	olfactory receptor, family 13, subfamily C, member 8	10.56	4.73	2.23
54475	NLE1	notchless homolog 1 (Drosophila)	274.15	127.88	2.14
342372	PKD1L3	polycystic kidney disease 1-like 3	17.9	8.43	2.12
680	BRS3	bombesin-like receptor 3	18.82	8.91	2.11
79315	OR7E91P	olfactory receptor, family 7, subfamily E, member 91 pseudogene	13.9	6.59	2.11
138803	OR13C3	olfactory receptor, family 13, subfamily C, member 3	16.38	8.03	2.04
2901	GRIK5	glutamate receptor, ionotropic, kainate 5	32.06	15.79	2.03
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	15.12	7.54	2.01
390152	OR8H3	olfactory receptor, family 8, subfamily H, member 3	23.48	11.72	2
2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	124.07	62.45	1.99
8811	GALR2	galanin receptor 2	53.51	27.26	1.96
54756	IL17RD	interleukin 17 receptor D	58.31	29.92	1.95
8484	GALR3	galanin receptor 3	18.62	9.58	1.94
51379	CRLF3	cytokine receptor-like factor 3	210.49	108.79	1.93
5799	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	21.44	11.21	1.91
84059	GPR98	G protein-coupled receptor 98	315.09	165.61	1.9
1395	CRHR2	corticotropin releasing hormone receptor 2	18.12	9.56	1.9
2065	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	125.84	67.43	1.87
3480	IGF1R	insulin-like growth factor 1 receptor	29.47	16.01	1.84
10748	KLRA1	killer cell lectin-like receptor subfamily A, member 1	13.67	7.59	1.8
1438	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	15.52	8.63	1.8
4919	ROR1	receptor tyrosine kinase-like orphan receptor 1	839.82	468.11	1.79
128367	OR10X1	olfactory receptor, family 10, subfamily X, member 1	10.3	5.75	1.79
2848	GPR25	G protein-coupled receptor 25	23.7	13.26	1.79
387748	OR56B1	olfactory receptor, family 56, subfamily B, member 1	10.59	5.93	1.79
115330	GPR146	G protein-coupled receptor 146	18.51	10.42	1.78
27198	GPR81	G protein-coupled receptor 81	17.15	9.68	1.77
9287	TAAR2	trace amine associated receptor 2	11.94	6.81	1.75
2902	GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1	58.13	33.35	1.74
4992	OR1F1	olfactory receptor, family 1, subfamily F, member 1	30.43	17.65	1.72
7433	VIPR1	vasoactive intestinal peptide receptor 1	44.24	25.93	1.71
3274	HRH2	histamine receptor H2	12.76	7.51	1.7
3568	IL5RA	interleukin 5 receptor, alpha	16.48	9.72	1.7
9833	MELK	maternal embryonic leucine zipper kinase	568.74	338.2	1.68
3357	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	18.74	11.29	1.66
350383	GPR142	G protein-coupled receptor 142	14.63	8.95	1.63
26493	OR8B8	olfactory receptor, family 8, subfamily B, member 8	13.71	8.5	1.61
152	ADRA2C	adrenergic, alpha-2C-, receptor	114.83	71.35	1.61
8326	FZD9	frizzled homolog 9 (Drosophila)	179.74	112.24	1.6
132014	IL17RE	interleukin 17 receptor E	12.78	8.1	1.58
284532	OR5AT1	olfactory receptor, family 5, subfamily AT, member 1	17.25	10.97	1.57
285242	HTR3E	5-hydroxytryptamine (serotonin) receptor 3, family member E	22.62	14.41	1.57
219928	MRGPRF	MAS-related GPR, member F	47.21	30.2	1.56
93	ACVR2B	activin A receptor, type IIB	413.82	265.75	1.56
9568	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	25.87	16.64	1.56
346517	OR6V1	olfactory receptor, family 6, subfamily V, member 1	18.1	11.65	1.55
6398	SECTM1	secreted and transmembrane 1	19.87	12.9	1.54
1140	CHRNB1	cholinergic receptor, nicotinic, beta 1 (muscle)	46.39	30.33	1.53
79473	OR52N1	olfactory receptor, family 52, subfamily N, member 1	22.74	14.88	1.53
286530	P2RY8	purinergic receptor P2Y, G-protein coupled, 8	11.18	7.43	1.51
26189	OR1A2	olfactory receptor, family 1, subfamily A, member 2	11.55	7.71	1.5
7434	VIPR2	vasoactive intestinal peptide receptor 2	27.14	18.12	1.5
343171	OR2W3	olfactory receptor, family 2, subfamily W, member 3	27.5	18.47	1.49
9466	IL27RA	interleukin 27 receptor, alpha	86.94	58.76	1.48
10886	NPFFR2	neuropeptide FF receptor 2	21.6	14.64	1.48
50615	IL21R	interleukin 21 receptor	42.46	28.85	1.47
8549	LGR5	leucine-rich repeat-containing G protein-coupled receptor 5	37.22	25.35	1.47
9256	BZRAP1	benzodiazapine receptor (peripheral) associated protein 1	30.74	20.95	1.47
6425	SFRP5	secreted frizzled-related protein 5	24.39	16.8	1.45
127617	OR5AV1P	olfactory receptor, family 5, subfamily AV, member 1 pseudogene	31.91	22.19	1.44
3561	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	10.38	7.24	1.43
401666	OR51A4	olfactory receptor, family 51, subfamily A, member 4	25.55	17.87	1.43
8386	OR1D5	olfactory receptor, family 1, subfamily D, member 5	21.57	15.1	1.43
2566	GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2	26.07	18.26	1.43
408	ARRB1	arrestin, beta 1	17.14	12.01	1.43
3577	IL8RA	interleukin 8 receptor, alpha	20.25	14.22	1.42
138881	OR1L8	olfactory receptor, family 1, subfamily L, member 8	71.09	50.02	1.42
115650	TNFRSF13C	tumor necrosis factor receptor superfamily, member 13C	13.91	9.83	1.41
341799	OR6S1	olfactory receptor, family 6, subfamily S, member 1	11.55	8.23	1.4
4915	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	18.93	13.56	1.4
1394	CRHR1	corticotropin releasing hormone receptor 1	18.44	13.24	1.39
81472	OR2C3	olfactory receptor, family 2, subfamily C, member 3	17.42	12.51	1.39
11122	PTPRT	protein tyrosine phosphatase, receptor type, T	24.61	17.75	1.39
128372	OR6N1	olfactory receptor, family 6, subfamily N, member 1	19.23	13.94	1.38
4881	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	11.62	8.43	1.38
4988	OPRM1	opioid receptor, mu 1	17.45	12.7	1.37
5157	PDGFRL	platelet-derived growth factor receptor-like	88.56	64.85	1.37
5802	PTPRS	protein tyrosine phosphatase, receptor type, S	15.05	11.02	1.37
219436	OR5D14	olfactory receptor, family 5, subfamily D, member 14	11.62	8.52	1.36
10857	PGRMC1	progesterone receptor membrane component 1	625.47	459.65	1.36
390078	OR52E6	olfactory receptor, family 52, subfamily E, member 6	49.24	36.18	1.36
57121	GPR92	G protein-coupled receptor 92	15.85	11.72	1.35
283162	OR8B4	olfactory receptor, family 8, subfamily B, member 4	11.2	8.29	1.35
390083	OR56A3	olfactory receptor, family 56, subfamily A, member 3	24.59	18.31	1.34
64518	TEKT3	tektin 3	18.89	14.11	1.34
119695	OR52R1	olfactory receptor, family 52, subfamily R, member 1	44.25	33.08	1.34
5027	P2RX7	purinergic receptor P2X, ligand-gated ion channel, 7	13.11	9.81	1.34
2846	GPR23	G protein-coupled receptor 23	76.73	57.61	1.33
11026	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	31.44	23.62	1.33
8383	OR1A1	olfactory receptor, family 1, subfamily A, member 1	31.51	23.77	1.33
10076	PTPRU	protein tyrosine phosphatase, receptor type, U	39.91	30.11	1.33
170572	HTR3C	5-hydroxytryptamine (serotonin) receptor 3, family member C	24.11	18.24	1.32
2550	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	448.92	339.9	1.32
5796	PTPRK	protein tyrosine phosphatase, receptor type, K	226.15	171.27	1.32
5916	RARG	retinoic acid receptor, gamma	172.06	130.55	1.32
1129	CHRM2	cholinergic receptor, muscarinic 2	14.11	10.72	1.32
390264	OR10G4	olfactory receptor, family 10, subfamily G, member 4	14.35	10.91	1.32
2101	ESRRA	estrogen-related receptor alpha	42.74	32.48	1.32
2324	FLT4	fms-related tyrosine kinase 4	259.07	197.41	1.31
134083	OR2Y1	olfactory receptor, family 2, subfamily Y, member 1	21.29	16.27	1.31
5663	PSEN1	presenilin 1 (Alzheimer disease 3)	28.58	21.92	1.3
8541	PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	158.32	121.48	1.3
283383	GPR133	G protein-coupled receptor 133	17.9	13.75	1.3
53829	P2RY13	purinergic receptor P2Y, G-protein coupled, 13	70.53	54.46	1.3
26211	OR2F1	olfactory receptor, family 2, subfamily F, member 1	39.6	30.64	1.29
2854	GPR32	G protein-coupled receptor 32	23.44	18.15	1.29
392392	OR1K1	olfactory receptor, family 1, subfamily K, member 1	20.75	16.09	1.29
64109	CRLF2	cytokine receptor-like factor 2	12.56	9.75	1.29
11255	HRH3	histamine receptor H3	49.81	38.71	1.29
165829	GPR156	G protein-coupled receptor 156	17.05	13.28	1.28
353345	GPR141	G protein-coupled receptor 141	14.71	11.46	1.28
8764	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	10.84	8.46	1.28
4935	GPR143	G protein-coupled receptor 143	115.35	90.32	1.28
81295	OR51A10P	olfactory receptor, family 51, subfamily A, member 10 pseudogene	14.12	11.08	1.27
2837	UTS2R	urotensin 2 receptor	30.61	24.06	1.27
56984	TNFSF5IP1	tumor necrosis factor superfamily, member 5-induced protein 1	2271.83	1789.2	1.27
79339	OR51B4	olfactory receptor, family 51, subfamily B, member 4	37.86	29.84	1.27
4158	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	68.56	54.09	1.27
2741	GLRA1	glycine receptor, alpha 1 (startle disease/hyperekplexia, stiff man syndrome)	30.25	23.88	1.27
219858	OR8B12	olfactory receptor, family 8, subfamily B, member 12	44.11	35.03	1.26
5793	PTPRG	protein tyrosine phosphatase, receptor type, G	80.52	63.97	1.26
5618	PRLR	prolactin receptor	26.73	21.25	1.26
10936	GPR75	G protein-coupled receptor 75	20.17	16.05	1.26
8111	GPR68	G protein-coupled receptor 68	67.08	53.52	1.25
403282	OR6C65	olfactory receptor, family 6, subfamily C, member 65	21.98	17.63	1.25
6096	RORB	RAR-related orphan receptor B	30.2	24.24	1.25
