Gene	Entrez	Fold-change	Pattern
tac1	21333	36.1	C
otx2	18424	35.2	CS
gfi1	14581	34.2	US
dlx1	13390	27.5	U
rspo2	239405	27.2	CS
fst	14313	26.2	C
apobec2	11811	23.4	U
kcnd2	16508	22.9	U
vit	74199	21.5	U
pthlh	19227	18.8	U
cyp26a1	13082	18.1	C
gria2	14800	17.8	U
clu	12759	17.1	C
lrig1	16206	16.5	S
smpx	66106	15.1	Old-L
mgc107514	232680	14.7	S
aldh1a1	11668	14.0	U
tacr3	21338	13.6	S
1600029d21rik	76509	13.3	C
gata3	14462	13.1	C
rasgrf1	19417	12.7	C
aldh1a2	19378	12.2	U
otor	57329	11.3	Old-L
ces3	104158	11.2	C
tnfaip2	21928	10.7	US
lrrn1	16979	10.4	US
9630031f12rik	58227	10.4	C
dlx3	13393	10.0	US
bc016201	234586	10.0	Old-L
timp3	21859	10.0	U
lum	17022	9.9	CU
ptgds	19215	9.9	Old-L
postn	50706	9.7	CS
mrg1	17536	9.6	U
irx3	16373	9.5	C
hbb-y	15135	9.1	Yng-L
pdzrn3	55983	9.1	S
slc39a8	67547	9.1	C
b430320c24rik	319900	9.0	U
otoa	246190	9.0	S
aldh1a3	56847	8.9	US
mb	17189	8.8	CU
hes5	15208	8.7	U
meis1	17268	8.6	CU
wnt4	22417	8.6	CS
slit3	20564	8.3	CU
cpxm2	55987	8.2	Old-L
cldn8	54420	8.1	U
crym	12971	8.1	CS
mgi:2182965	211550	7.9	US
loc545422	545422	7.9	CU
bmp2	12156	7.6	U
vnn1	22361	7.6	U
bmp4	12159	7.6	CU
hmx2	15372	7.5	US
penk1	18619	7.5	US
nef3	18040	7.4	US
c1qdc2	67389	7.1	U
tbx3	21386	7.0	U
scara3	219151	7.0	C
matn4	17183	6.8	U
nr2f1	13865	6.8	CS
mal	17153	6.7	Old-L
irx5	54352	6.7	C
car12	76459	6.6	S
cacna2d3	12294	6.5	U
myo1h	231646	6.5	S
slc6a14	56774	6.5	S
mgi:2149786	114679	6.4	US
bambi	68010	6.4	U
art3	109979	6.4	S
lhx1	16869	6.3	S
sparcl1	13602	6.3	Old-L
foxg1	15228	6.3	C
grem2	23893	6.2	CS
aldh1a7	26358	6.1	CU
g6pd2	14380	6.0	S
