Family	Gene	Fold Change
PACAP	Adcyap1r1	306
Adenosine	Adora1	56
Adenosine	Adora2a	10
Angiotensin	Agtr2	18
Adrenoceptor	Adra2a	33
Adrenoceptor	Adrb1	18
Adrenoceptor	Avpr1b	11
Vasopressin	CCr10	12
Vasopressin	Crcp	5
Calcitonin	Celsr2	79
Cadherin	Celsr3	6
Acetylcholine	Chrm3	9
Acetylcholine	Chrm5	68
Cannaboid	Cnr1	13
Dopamine	Drd2	20
Endothelin	Ednrb	34
Frizzled	Frzb	83
Frizzled	Fzd1	12
GABA	Gabbr1	12
GABA	Gabbr2	1083
Glucagon	Ghsr	9
Glucagon	Gipr	6
Orphans	Gpr123	5
Orphans	Gpr34	5
Orphans	Gpcr5b	5
Orphans	Gpr139	236
Orphans	Gpr22	131
Orphans	Gpr45	453
Orphans	Gpr50	23
Orphans	Gpr149	5
Orphans	Gpr156	32
Orphans	Gpr162	29
Orphans	Gpr176	9
Orphans	Gpr160	4
Orphans	Gpr62	8
Orphans	Gpr63	6
Orphans	Gpr85	6
Orphans	Gpr87	7
Orphans	Gpr26	12
Orphans	Lphn1	7
Orphans	Lphn3	73
Glutamate	Grm2	6
Glutamate	Grm3	202
Glutamate	Grm4	41
Glutamate	Grm5	135
Glutamate	Grm8	169
Orexin	Hcrt1	4
Histamine	Hrh1	9
Histamine	Hrh2	6
Histamine	Hrh3	13
Serotonin	Htr1b	4
Serotonin	Htr2a	11
Serotonin	Htr2c	6
Serotonin	Htr4	35
Kisspeptins	Kiss1r	8
Leucine-rich	Lgr5	36
Leucine-rich	Lgr6	4
Melanocortin	Mc4r	377
Melanocortin	Mchr1	92
Neuropeptide FF	Npffr1	10
Opoiod	Oprk1	6
Opoiod	Oprl1	6
Opoiod	Oprm1	10
Purinergic	P2ry1	6
PTH	Pthr1	4
Rhodopsin	Rrh	12
Somatostatin	Sstr1	422
Somatostatin	Sstr2	5
Somatostatin	Sstr5	5
Tachykinin	Tacr1	86
Tachykinin	Tacr3	82
Luteinizing	Lhcgr	26
Neuromedin U	Nmur2	10
