UniGene #	Gene	Description	Fold Change (log 2)
Hs.429294	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	1.5829
Hs.471277	ACADL	Acyl-Coenzyme A dehydrogenase, long chain	1.2587
Hs.471461	ACSL3	Acyl-CoA synthetase long-chain family member 3	1.2404
Hs.268785	ACSL4	Acyl-CoA synthetase long-chain family member 4	1.5611
Hs.14945	ACSL6	Acyl-CoA synthetase long-chain family member 6	1.5067
Hs.393201	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	1.4219
Hs.433512	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	1.2404
Hs.150402	ACVR1	activin A receptor, type I=Ser/Thr protein kinase receptor R1	1.2864
Hs.438918	ACVR1B	Activin A receptor, type IB	1.0827
Hs.127930	ADAM18	A disintegrin and metalloproteinase domain 18	1.0261
Hs.370287	ADAM23	A disintegrin and metalloproteinase domain 23	1.226
Hs.2442	ADAM9	A disintegrin and metalloproteinase domain 9 (meltrin gamma)	1.6771
Hs.151435	ADAMTS3	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3	1.3683
Hs.498313	ADSS	Adenylosuccinate synthase	1.1344
Hs.515053	AES	Amino-terminal enhancer of split	1.518
Hs.75823	AF1Q	ALL1-fused gene from chromosome 1q	1.879
Hs.904	AGL	Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	1.2491
Hs.530009	AGR2	Anterior gradient 2 homolog (Xenopus laevis)	1.0291
Hs.488945	AIP1	Atrophin-1 interacting protein 1	2.309
Hs.105105	AKAP11	A kinase (PRKA) anchor protein 11	1.2621
Hs.459211	AKAP13	A kinase (PRKA) anchor protein 13	1.1679
Hs.98397	AKAP3	A kinase (PRKA) anchor protein 3	1.1621
Hs.515406	AKT2	V-akt murine thymoma viral oncogene homolog 2	1.3025
Hs.499886	ALDH3A2	Aldehyde dehydrogenase 3 family, member A2	1.4854
Hs.159118	AMD1	Adenosylmethionine decarboxylase 1	1.2007
Hs.514463	AMY2A	Amylase, alpha 2A; pancreatic	1.0363
Hs.480876	ANAPC10	Anaphase promoting complex subunit 10	1.6952
Hs.369675	ANGPT1	Angiopoietin 1	1.6068
Hs.448589	ANKRD1	Cytokine inducible nuclear protein=cardiac ankyrin repeat protein	1.0246
Hs.494173	ANXA1	Annexin A1	1.5475
Hs.181107	ANXA13	Annexin A13	1.1382
Hs.406191	AP3S1	Adaptor-related protein complex 3, sigma 1 subunit	2.169
Hs.486063	APG5L	APG5 autophagy 5-like (S. cerevisiae)	1.2181
Hs.560	APOBEC1	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	1.4838
Hs.227457	APOBEC2	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	1.5868
Hs.130730	AQP2	Aquaporin 2 (collecting duct)	1.1132
Hs.234642	AQP3	Aquaporin 3	1.2715
Hs.496240	AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	1.3776
Hs.62578	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	1.6478
Hs.416089	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	1.7266
Hs.440934	ARG1	Arginase, liver	1.1512
Hs.6838	ARHE	Rho family GTPase 3	1.7539
Hs.435291	ARHGAP6	Rho GTPase activating protein 6	1.5181
Hs.161000	ARID4A	AT rich interactive domain 4A (RBP1-like)	1.5365
Hs.372616	ARL1	ADP-ribosylation factor-like 1	1.0695
Hs.518060	ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5	1.2676
Hs.486031	ASCC3	DJ467N11.1 protein	1.289
Hs.446684	ASE-1	CD3-epsilon-associated protein; antisense to ERCC-1	1.5855
Hs.489037	ASK	Activator of S phase kinase	1.1802
Hs.546238	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	2.1574
Hs.514870	ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1	1.3954
Hs.429	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	1.1623
Hs.85539	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	1.1542
Hs.246310	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	1.5751
Hs.216623	ATP8B1	ATPase, Class I, type 8B, member 1	2.747
Hs.465475	ATP9B	ATPase, Class II, type 9B	1.2243
Hs.533526	ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	1.2137
Hs.55220	BAG2	BCL2-associated athanogene 2	1.2472
Hs.13261	BAI3	Brain-specific angiogenesis inhibitor 3	1.6211
Hs.169441	BAIAP1	BAI1-associated protein 1	1.2942
Hs.470369	BAZ2B	Bromodomain adjacent to zinc finger domain, 2B	1.3289
Hs.22960	BCAS2	Breast carcinoma amplified sequence 2	1.0667
Hs.513520	BCKDK	Branched chain ketoacid dehydrogenase kinase	1.227
Hs.489132	BET1	BET1 homolog (S. cerevisiae)	1.0591
Hs.27372	BMX	BMX non-receptor tyrosine kinase	1.8336
Hs.10136	BPHL	Biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	1.1572
Hs.127950	BRD1	Bromodomain containing 1	1.6437
Hs.500526	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	1.1791
Hs.499833	C10orf74	Chromosome 10 open reading frame 74	1.5968
Hs.72925	C11orf13	Chromosome 11 open reading frame 13	1.2252
Hs.277517	C11orf2	Chromosome 11 open reading frame2	1.3659
Hs.441926	C13orf24	Chromosome 13 open reading frame 24	1.0308
Hs.464697	C18orf1	Chromosome 18 open reading frame 1	1.3068
Hs.525462	C1orf41	Chromosome 1 open reading frame 41	1.6556
Hs.110196	C1orf42	Chromosome 1 open reading frame 42	1.0806
Hs.204559	C1orf9	Chromosome 1 open reading frame 9	1.1792
Hs.369284	C20orf6	Chromosome 20 open reading frame 6	1.5443
Hs.303808	C2orf3	Chromosome 2 open reading frame 3	1.1054
Hs.303808	C2orf3	Chromosome 2 open reading frame 3	1.2779
Hs.485588	C6orf142	Chromosome 6 open reading frame 142	1.0082
Hs.436445	C8orf1	Chromosome 8 open reading frame 1	2.1074
Hs.23118	CA1	Carbonic anhydrase I	1.2829
Hs.23118	CA1	Carbonic anhydrase I	1.4759
Hs.82129	CA3	Carbonic anhydrase III, muscle specific	1.4363
Hs.100322	CA6	Carbonic anhydrase VI	1.0999
Hs.408449	CACNA1A	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	1.2464
Hs.508524	CACYBP	Calcyclin binding protein	1.1441
Hs.489127	CALCR	Calcitonin receptor	1.1172
Hs.468442	CALM2	Calmodulin 2 (phosphorylase kinase, delta)	1.0372
Hs.495984	CASK	Calcium/calmodulin-dependent serine protein kinase (MAGUK family)	1.6077
Hs.9216	CASP7	CASPASE-7=mch3=Ice-lap3	1.0862
Hs.430124	CASP8	CASPASE-8=Mch5=FLICE=MACH-alpha-1	1.2974
Hs.546332	CASP8AP2	CASP8 associated protein 2	1.1608
Hs.435615	CASR	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	1.4537
Hs.440961	CAST	Calpastatin	1.21
Hs.502302	CAT	Catalase	1.4323
Hs.504096	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	1.1503
Hs.436242	CCDC7	Coiled-coil domain containing 7	1.0148
Hs.303649	CCL2	MCP-1=MCAF=small inducible cytokine A2=JE=chemokine	1.4226
Hs.85137	CCNA2	cyclin A2	1.5948
Hs.430646	CCNC	Cyclin C	1.2999
Hs.13291	CCNG2	Cyclin G2	1.9074
Hs.279906	CCNT1	cyclin T	1.0107
Hs.292754	CCNT2	Cyclin T2	1.2751
Hs.491494	CCT3	Chaperonin containing TCP1, subunit 3 (gamma)	1.0939
Hs.369661	CD226	adhesion molecule DNAM-1	1.2611
Hs.485518	CD2AP	CD2-associated protein	1.4568
