Name	Description	Gene ID	Fold change
AFP	alpha-fetoprotein	428098	1.91
GFAP	glial fibrillary acidic protein	382693	2.23
HBB	hemoglobin, beta	148425	1.74
CLU	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2	343293	1.75
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	344295	2.09
MGP	matrix Gla protein	502239	1.97
IGFBP2	insulin-like growth factor binding protein 2, 36 kDa	471830	1.74
PRKCE	protein kinase C, epsilon	51986	3.39
COX4I1	cytochrome c oxidase subunit IV isoform 1	178644	1.89
APOB	apolipoprotein B (including Ag(x) antigen)	300017	1.97
BIRC4	baculoviral IAP repeat-containing 4	138505	2.15
ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	358848	2.3
GAS1	growth arrest-specific 1	341345	1.47
GATA3	GATA binding protein 3	148627	1.47
VEGFB	vascular endothelial growth factor B	167296	2.01
ADIPOR2	adiponectin receptor 2	24286	1.98
RUFY2	RUN and FYVE domain containing 2	161523	2
LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	134714	2.1
SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	51583	1.96
TXK	TXK tyrosine kinase	147839	1.7
LOC51315	hypothetical protein LOC51315	503300	1.39
UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	32716	3.02
MGC5178	hypothetical protein MGC5178	235090	1.73
IPO9	importin 9	233100	1.71
KBRAS2	I-kappa-B-interacting Ras-like protein 2	5091	2.05
SLC35F2	solute carrier family 35, member F2	42703	2.55
FLJ33761	hypothetical protein FLJ33761	23095	2.07
ZNF198	zinc finger protein 198	153735	1.75
PAG	phosphoprotein associated with glycosphingolipid-enriched microdomains	487926	2
FLJ40432	hypothetical protein FLJ40432	23334	2.12
LOC114926	hypothetical protein BC013035	270038	1.64
LOC51277	Ras-associated protein Rap1	44081	1.92
FLJ20360	hypothetical protein FLJ20360	270110	1.61
LOC56931	hypothetical protein from EUROIMAGE 1967720	145011	1.8
LBP-32	leader-binding protein 32	195784	1.81
SATB2	SATB family member 2	26583	1.78
CTDSP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	131828	2.13
OSBPL2	oxysterol binding protein-like 2	305402	1.81
FLJ38991	hypothetical protein FLJ38991	31673	2.16
MGC12972	hypothetical protein MGC12972	256553	1.69
ZNF496	zinc finger protein 496	32065	1.81
FLJ35936	hypothetical protein FLJ35936	33409	2
C14orf141	chromosome 14 open reading frame 141	161520	1.68
SGPP2	sphingosine-1-phosphate phosphotase 2	46316	1.94
DKFZp313N0621	hypothetical protein DKFZp313N0621	258616	2.22
LOC285550	hypothetical protein LOC285550	250675	1.89
MGC52498	hypothetical protein MGC52498	683068	1.85
