Probe Set Id	Gene Title	Gene Symbol	Cluster
212783_at	retinoblastoma binding protein 6	RBBP6	A
201602_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 12A	PPP1R12A	A
200739_s_at	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	SUMO3	A
202395_at	N-ethylmaleimide-sensitive factor	NSF	A
209337_at	PC4 and SFRS1 interacting protein 1	PSIP1	A
209474_s_at	ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1	A
201894_s_at	signal sequence receptor, alpha (translocon-associated protein alpha)	SSR1	A
211173_at	cholecystokinin A receptor	CCKAR	A
208920_at	sorcin	SRI	A
209033_s_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	DYRK1A	A
201888_s_at	interleukin 13 receptor, alpha 1	IL13RA1	A
209291_at	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4	A
209281_s_at	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	A
218108_at	chromosome 14 open reading frame 130	C14orf130	A
218370_s_at	S100P binding protein	S100PBP	A
201566_x_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	A
202007_at	nidogen 1	NID1	A
201843_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	A
203799_at	CD302 molecule	CD302	A
213345_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NFATC4	A
203614_at	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)	UTP14C	A
215388_s_at	complement factor H	CFH	A
203343_at	UDP-glucose dehydrogenase	UGDH	A
201975_at	restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	RSN	A
212777_at	son of sevenless homolog 1 (Drosophila)	SOS1	A
205296_at	---	---	A
213024_at	TATA element modulatory factor 1	TMF1	A
204557_s_at	DAZ interacting protein 1	DZIP1	A
212880_at	WD repeat domain 7	WDR7	A
204886_at	polo-like kinase 4 (Drosophila)	PLK4	A
204525_at	PHD finger protein 14	PHF14	A
204839_at	processing of precursor 5, ribonuclease P/MRP subunit	POP5	A
200004_at	eukaryotic translation initiation factor 4 gamma, 2	EIF4G2	A
202957_at	hematopoietic cell-specific Lyn substrate 1	HCLS1	A
213531_s_at	RAB3 GTPase activating protein subunit 1 (catalytic)	RAB3GAP1	A
220008_at	KIAA2002 protein	KIAA2002	A
202557_at	stress 70 protein chaperone, microsome-associated, 60kDa	STCH	A
212307_s_at	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	OGT	A
209687_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12	A
201215_at	plastin 3 (T isoform)	PLS3	A
213332_at	Pappalysin 2	PAPPA2	A
212204_at	transmembrane protein 87A	TMEM87A	A
208073_x_at	tetratricopeptide repeat domain 3	TTC3	A
204614_at	serpin peptidase inhibitor, clade B (ovalbumin), member 2	SERPINB2	A
214667_s_at	tumor protein p53 inducible protein 11	TP53I11	A
218838_s_at	tetratricopeptide repeat domain 31	TTC31	A
204352_at	TNF receptor-associated factor 5	TRAF5	A
206201_s_at	mesenchyme homeobox 2	MEOX2	A
207303_at	phosphodiesterase 1C, calmodulin-dependent 70kDa	PDE1C	A
205523_at	hyaluronan and proteoglycan link protein 1	HAPLN1	A
213438_at	neurofascin homolog (chicken)	NFASC	A
214587_at	collagen, type VIII, alpha 1	COL8A1	A
218662_s_at	chromosome condensation protein G	HCAP-G	A
204825_at	maternal embryonic leucine zipper kinase	MELK	A
221841_s_at	Kruppel-like factor 4 (gut)	KLF4	A
206315_at	cytokine receptor-like factor 1	CRLF1	A
215235_at	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	SPTAN1	A
218883_s_at	MLF1 interacting protein	MLF1IP	A
206808_at	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	HNRPA3P1	A
207316_at	hyaluronan synthase 1	HAS1	A
201663_s_at	structural maintenance of chromosomes 4	SMC4	A
205130_at	renal tumor antigen	RAGE	A
219939_s_at	cold shock domain containing E1, RNA-binding	CSDE1	A
209807_s_at	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	A
210121_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	B3GALT2	A
207307_at	5-hydroxytryptamine (serotonin) receptor 2C	HTR2C	A
201516_at	spermidine synthase	SRM	A
204489_s_at	CD44 molecule (Indian blood group)	CD44	A
214297_at	Chondroitin sulfate proteoglycan 4 (melanoma-associated)	CSPG4	A
212654_at	tropomyosin 2 (beta)	TPM2	A
211716_x_at	Rho GDP dissociation inhibitor (GDI) alpha	ARHGDIA	A
218483_s_at	chromosome 11 open reading frame 60	C11orf60	A
212918_at	RecQ protein-like (DNA helicase Q1-like)	RECQL	A
208966_x_at	interferon, gamma-inducible protein 16	IFI16	A
209396_s_at	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	A
212865_s_at	collagen, type XIV, alpha 1 (undulin)	COL14A1	A
206332_s_at	interferon, gamma-inducible protein 16	IFI16	A
204036_at	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	EDG2	A
219496_at	ankyrin repeat domain 57	ANKRD57	A
221511_x_at	cell cycle progression 1	CCPG1	A
218380_at	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	NALP1	A
210809_s_at	periostin, osteoblast specific factor	POSTN	A
220794_at	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)	GREM2	A
221538_s_at	plexin A1	PLXNA1	A
209164_s_at	cytochrome b-561	CYB561	A
200655_s_at	calmodulin 1 (phosphorylase kinase, delta)	CALM1	A
200833_s_at	RAP1B, member of RAS oncogene family	RAP1B	A
220564_at	chromosome 10 open reading frame 59	C10orf59	A
221901_at	KIAA1644 protein	KIAA1644	A
216840_s_at	laminin, alpha 2 (merosin, congenital muscular dystrophy)	LAMA2	A
203470_s_at	pleckstrin	PLEK	A
200950_at	actin related protein 2/3 complex, subunit 1A, 41kDa	ARPC1A	A
210640_s_at	G protein-coupled receptor 30	GPR30	A
201476_s_at	ribonucleotide reductase M1 polypeptide	RRM1	A
219282_s_at	transient receptor potential cation channel, subfamily V, member 2	TRPV2	A
215399_s_at	amplified in osteosarcoma	OS9	A
205880_at	protein kinase D1	PRKD1	A
218055_s_at	WD repeat domain 41	WDR41	A
205327_s_at	activin A receptor, type IIA	ACVR2A	A
204337_at	regulator of G-protein signalling 4	RGS4	A
211748_x_at	prostaglandin D2 synthase 21kDa (brain)	PTGDS	A
212187_x_at	prostaglandin D2 synthase 21kDa (brain)	PTGDS	A
203710_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	A
212245_at	multiple coagulation factor deficiency 2	MCFD2	A
217795_s_at	transmembrane protein 43	TMEM43	A
212772_s_at	ATP-binding cassette, sub-family A (ABC1), member 2	ABCA2	A
220014_at	proline rich 16	PRR16	A
219729_at	paired related homeobox 2	PRRX2	A
212354_at	sulfatase 1	SULF1	A
220327_at	vestigial like 3 (Drosophila)	VGLL3	A
219847_at	histone deacetylase 11	HDAC11	A
201126_s_at	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	MGAT1	A
200802_at	seryl-tRNA synthetase	SARS	A
212670_at	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	ELN	A
204971_at	cystatin A (stefin A)	CSTA	A
201852_x_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	A
211161_s_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	COL3A1	A
205652_s_at	tubulin tyrosine ligase-like family, member 1	TTLL1	A
213791_at	proenkephalin	PENK	A
211663_x_at	prostaglandin D2 synthase 21kDa (brain)	PTGDS	A
210839_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	A
201809_s_at	endoglin (Osler-Rendu-Weber syndrome 1)	ENG	A
206571_s_at	mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	A
215253_s_at	Down syndrome critical region gene 1	DSCR1	A
207053_at	solute carrier family 8 (sodium/calcium exchanger), member 1	SLC8A1	A
212983_at	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	HRAS	A
215333_x_at	glutathione S-transferase M1	GSTM1	A
212713_at	microfibrillar-associated protein 4	MFAP4	A
218518_at	chromosome 5 open reading frame 5	C5orf5	A
217476_at	nuclear receptor subfamily 1, group D, member 1	THRA	A
205345_at	BRCA1 associated RING domain 1	BARD1	A
213139_at	snail homolog 2 (Drosophila)	SNAI2	A
209395_at	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	A
219371_s_at	Kruppel-like factor 2 (lung)	KLF2	A
215350_at	spectrin repeat containing, nuclear envelope 1	SYNE1	A
212344_at	sulfatase 1	SULF1	A
204602_at	dickkopf homolog 1 (Xenopus laevis)	DKK1	A
202410_x_at	insulin-like growth factor 2 (somatomedin A)	IGF2	A
61734_at	reticulocalbin 3, EF-hand calcium binding domain	RCN3	A
204338_s_at	regulator of G-protein signalling 4	RGS4	A
215870_s_at	phospholipase A2, group V	PLA2G5	A
204163_at	elastin microfibril interfacer 1	EMILIN1	A
221569_at	Abelson helper integration site 1	AHI1	A
217678_at	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	A
221501_x_at	hypothetical protein LOC339047	LOC339047	A
205524_s_at	hyaluronan and proteoglycan link protein 1	HAPLN1	A
212353_at	sulfatase 1	SULF1	A
208723_at	ubiquitin specific peptidase 11	USP11	A
204538_x_at	nuclear pore complex interacting protein	NPIP	A
204028_s_at	RAB GTPase activating protein 1	RABGAP1	A
210881_s_at	insulin-like growth factor 2 (somatomedin A)	IGF2	A
203002_at	angiomotin like 2	AMOTL2	A
210139_s_at	peripheral myelin protein 22	PMP22	A
213435_at	SATB family member 2	SATB2	A
202686_s_at	AXL receptor tyrosine kinase	AXL	A
204570_at	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	COX7A1	A
202310_s_at	collagen, type I, alpha 1	COL1A1	A
202311_s_at	collagen, type I, alpha 1	COL1A1	A
218631_at	arginine vasopressin-induced 1	AVPI1	A
212488_at	collagen, type V, alpha 1	COL5A1	A
201477_s_at	ribonucleotide reductase M1 polypeptide	RRM1	A
213656_s_at	kinesin 2	KNS2	A
207707_s_at	SEC13-like 1 (S. cerevisiae)	SEC13L1	A
45572_s_at	golgi associated, gamma adaptin ear containing, ARF binding protein 1	GGA1	A
214492_at	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	SGCD	A
201373_at	plectin 1, intermediate filament binding protein 500kDa	PLEC1	A
200784_s_at	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LRP1	A
216037_x_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	A
203523_at	lymphocyte-specific protein 1	LSP1	A
211062_s_at	carboxypeptidase Z /// carboxypeptidase Z	CPZ	A
218975_at	collagen, type V, alpha 3	COL5A3	A
203886_s_at	fibulin 2	FBLN2	A
213290_at	collagen, type VI, alpha 2	COL6A2	A
203325_s_at	collagen, type V, alpha 1	COL5A1	A
203131_at	platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	A
216873_s_at	ATPase, Class I, type 8B, member 2	ATP8B2	A
213493_at	sushi, nidogen and EGF-like domains 1	SNED1	A
220765_s_at	LIM and senescent cell antigen-like domains 2	LIMS2	A
208801_at	signal recognition particle 72kDa	SRP72	A
209596_at	matrix-remodelling associated 5	MXRA5	A
218041_x_at	solute carrier family 38, member 2	SLC38A2	A
219291_at	DTW domain containing 1	DTWD1	A
205120_s_at	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	SGCB	A
220924_s_at	solute carrier family 38, member 2	SLC38A2	A
202016_at	mesoderm specific transcript homolog (mouse)	MEST	A
203766_s_at	leiomodin 1 (smooth muscle)	LMOD1	A
