Name	Gene ID	Symbol	MEF Median Intensity
integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	16412	Itgb1	14698.6
follistatin-like 1	14314	Fstl1	10724.9
pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	19242	Ptn	9274.14
epithelial membrane protein 1	13730	Emp1	7285.26
insulin-like growth factor binding protein 7	29817	Igfbp7	4610.91
endothelial differentiation-related factor 1	59022	Edf1	4503.49
secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	20750	Spp1	4394.53
EGF-containing fibulin-like extracellular matrix protein 2	58859	Efemp2	3677.73
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	20315	Cxcl12	3436.69
insulin-like growth factor 2 mRNA binding protein 2	319765	C330012H03Rik	2760.69
transforming growth factor, beta-induced, 68kDa	21810	Tgfbi	2758.55
insulin-like growth factor binding protein 4	16010	Igfbp4	2695.47
growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	11692	Gfer	2451.38
chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	14825	Cxcl1	2056.39
connective tissue growth factor	14219	Ctgf	2045.27
thrombospondin 2	21826	Thbs2	2035.78
delta-like 1 homolog (Drosophila)	13386	Dlk1	1916.39
hepatoma-derived growth factor (high-mobility group protein 1-like)	15191	Hdgf	1886.44
tenascin C (hexabrachion)	21923	Tnc	1844.97
growth arrest-specific 6	14456	Gas6	1713.75
granulin	14824	Grn	1579.87
neuron derived neurotrophic factor	66208	Nenf	1541.75
milk fat globule-EGF factor 8 protein	17304	Mfge8	1524.02
rhomboid 5 homolog 1 (Drosophila)	13650	Rhbdf1	1470.3
Indian hedgehog homolog (Drosophila)	15193	Hdgfrp2	1468.48
stromal cell-derived factor 2	20316	Sdf2	1429.86
chemokine (C-C motif) ligand 7	20306	Ccl7	1370.81
thrombospondin 1	21825	Thbs1	1332.22
insulin-like growth factor binding protein 5	16011	Igfbp5	1226.62
integrin, alpha 11	319480	Itga11	1142.6
vascular endothelial growth factor	22339	Vegfa	1135.85
