Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
BM070003	Camello-like 3	Cml3	N.C.	-2.8 ± 0.4	N.C.	N.C.	1
BE225843	activating transcription factor 7	Atf7	-1.6 ± 0.4	N.C.	N.C.	N.C.	2
BF456242	activating transcription factor 7 interacting protein	Atf7ip	-3.1 ± 0.4	N.C.	N.C.	N.C.	3
NM_025806	RIKEN cDNA 1100001H23 gene	1100001H23Rik	N.C.	N.C.	-1.6 ± 0.3	N.C.	4
BB488200	RIKEN cDNA 5830411K21 gene	Zfhx1b	-2.1 ± 0.4	N.C.	N.C.	N.C.	6
AK016553	heat shock transcription factor 2 binding protein	Hsf2bp	N.C.	-1.8 ± 0.4	N.C.	N.C.	9
BG083485	similar to Transcription factor SOX-4	LOC672274	N.C.	-1.5 ± 0.4	N.C.	N.C.	10
BG072739	SRY-box containing gene 11	Sox11	N.C.	-2.3 ± 0.4	N.C.	N.C.	11
BB373816	Ankyrin repeat and IBR domain containing 1	Ankib1	N.C.	-3.6 ± 0.4	N.C.	N.C.	12
AV031691	zinc finger protein of the cerebellum 1	Zic1	N.C.	-4.9 ± 0.5	N.C.	N.C.	13
AW494150	RIKEN cDNA 3110039M20 gene	3110039M20Rik	N.C.	-3.0 ± 0.5	N.C.	N.C.	14
BB104635	LIM homeobox protein 9	Lhx9	N.C.	-5.3 ± 0.4	N.C.	N.C.	16
BB461344	doublesex and mab-3 related transcription factor like family A1	Dmrta1	N.C.	-3.0 ± 0.5	N.C.	N.C.	17
BG067242	zinc fingers and homeoboxes 3	Zhx3	N.C.	-2.0 ± 0.4	N.C.	N.C.	18
BE956723	TSC22 domain family 3	Tsc22d3	N.C.	-2.1 ± 0.4	N.C.	N.C.	19
BG069626	Nuclear respiratory factor 1	Nrf1	N.C.	-1.7 ± 0.4	N.C.	N.C.	20
BG076353	AT motif binding factor 1	Atbf1	N.C.	-1.7 ± 0.4	N.C.	N.C.	21
BB552443	Homeo box A10	Hoxa10	N.C.	-4.6 ± 0.9	N.C.	N.C.	23
BB117494	Aryl hydrocarbon receptor nuclear translocator 2	Arnt2	N.C.	-1.8 ± 0.4	N.C.	N.C.	24
BG074954	Nuclear receptor subfamily 2, group C, member 2	Nr2c2	N.C.	-2.0 ± 0.4	N.C.	N.C.	25
BB307780	ets homologous factor	Ehf	N.C.	-2.9 ± 0.5	N.C.	N.C.	26
BG066718	RIKEN cDNA C330003B14 gene	C330003B14Rik	N.C.	-1.8 ± 0.4	N.C.	N.C.	27
BM198753	gene model 397, (NCBI) /// Mus musculus sequence XM_486399 /// similar to zinc finger and SCAN domain containing 4 /// similar to zinc finger and SCAN domain containing 4 /// similar to zinc finger and SCAN domain containing 4 /// similar to zinc finger and SCAN domain containing 4	Gm397 /// XM_486399 /// LOC545913 /// LOC632758 /// LOC665902 /// LOC665913	N.C.	-2.3 ± 0.4	N.C.	N.C.	28
BB485668	nuclear transcription factor, X-box binding-like 1	Nfxl1	N.C.	-2.5 ± 0.4	N.C.	N.C.	29
AV253069	Transcription factor 25 (basic helix-loop-helix)	Tcf25	N.C.	-1.7 ± 0.4	N.C.	N.C.	30
AA185884	Paired box gene 5 (Pax5), mRNA	Pax5	N.C.	N.C.	-3.1 ± 0.4	N.C.	31
AI326893	hairy and enhancer of split 6 (Drosophila)	Hes6	-1.5 ± 0.4	N.C.	N.C.	N.C.	32
AV172776	special AT-rich sequence binding protein 1	Satb1	N.C.	N.C.	-1.9 ± 0.4	N.C.	33
AV284857	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog	Maf	-1.7 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	34
AV317621	zinc finger protein, subfamily 1A, 1 (Ikaros)	Zfpn1a1	N.C.	N.C.	-1.9 ± 0.4	N.C.	36
AW108203	far upstream element (FUSE) binding protein 1	Fubp1	-2.1 ± 0.4	N.C.	N.C.	N.C.	37
AW491643	RIKEN cDNA C330002I19 gene	C330002I19Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	38
AW551319	transcription factor B1, mitochondrial	Tfb1m	-6.6 ± 0.4	N.C.	N.C.	N.C.	39
BB051738	paired related homeobox 1	Prrx1	-4.0 ± 0.4	-2.0 ± 0.4	-2.2 ± 0.4	-2.1 ± 0.4	41
