Gene	Accession	Map	Description	-fold	Expression
AZU	M96326	19p13.3	Azurocidin	6	Down-regulation
CD1E	X14975	—	CD1e antigen (major histocompatibility complex related)	5	Down-regulation
CD8	X13444	2p12	CD8 antigen	>10	Down-regulation
CLC	L01664	19q13.1	Charcot-Leyden crystal	7	Down-regulation
CRA	U78556	1	Cisplatin resistance associated	>10	Down-regulation
DHH	U59748	12q12	Desert hedgehog homolog (Drosophila)	>10	Down-regulation
DYRK2	Y09216	12	Dual tyrosine-phosphorylation-regulated kinase 2	6	Down-regulation
GPR12	U18548	13q12	G-protein–coupled receptor 12	6	Down-regulation
HLF	M95585	17q22	Hepatic leukemia factor	7	Down-regulation
H-PLK	M55422	7	Krueppel-related zinc finger protein	6	Down-regulation
IFNAR1	J03171	21q22.1	Interferon alpha receptor 1	>10	Down-regulation
MBP	Z26248	11	Eosinophil granule major basic protein	>10	Down-regulation
P63	Y16961	3q27-q29	Tumor protein 63	5	Down-regulation
PF4	M25897	4q12-q21	Platelet factor 4	6	Down-regulation
PIK3CG	X83368	7	Phosphatidylinositol kinase 3 catalytic gamma	9	Down-regulation
PRKAA1	AB022017	5p12	AMP-activated protein kinase alpha 1	6	Down-regulation
PTCH	U59464	9q22.3	Patched homolog (Drosophila)	>10	Down-regulation
STAT2	U18671	12	Signal transducer and activator of transcription 2	10	Down-regulation
TGB1	M54995	4q12-q13	Source: Human connective tissue activation peptide III	>10	Down-regulation
UPK3	AF085808	22q13.31	Uroplakin	>10	Down-regulation
COIL	U06632	17q22-q23	Coilin	5	Up-regulation
ELK1	M25269	Xp11.2	Tyrosine kinase (oncogene)	5	Up-regulation
HOGG1	U88620	3p26.2	Alpha-hydroxyguanine DNA glycosylase 1 (homolog)	7	Up-regulation
MEGF3	D87469	1	Multiple epidermal growth factor-like domain 3	5	Up-regulation
PLC1	AL022394	20q12	Phospholipase C148	>10	Up-regulation
PRKAR2	X14968	3p21	Protein kinase, cAMP-dependent	>10	Up-regulation
PTPRS	U35234	19p13.3	Protein tyrosine phosphatase receptor S	>10	Up-regulation
SP1LZTF	AI991531	—	SP1-like zinc finger transcription factor	>10	Up-regulation
TRAF6	U78798	11	TNF receptor-associated factor 6	>10	Up-regulation
ZNF261	X95808	Xq13.1	Zinc finger protein 261	9	Up-regulation
