ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue
ENSMUSG00000040856	Delta-like protein precursor (DLK) (Preadipocyte factor 1) (Pref-1) (Adipocyte differentiation inhibitor protein) [Contains: F	MTG_602467820	3.84	0.00239
ENSMUSG00000026602	Podocin. [Source:Uniprot/SWISSPROT;Acc:Q91X05]	MTG_602471477	3.4	0.00272
ENSMUSG00000024065		MTG_602469138	3.1	0.00315
ENSMUSG00000026449	Renin 1 precursor (EC 3.4.23.15) (Angiotensinogenase) (Kidney renin). [Source:Uniprot/SWISSPROT;Acc:P06281]	gbctl04_plate11_D20	3.09	0.00306
ENSMUSG00000006649	Nephrin precursor (Renal glomerulus-specific cell adhesion receptor). [Source:Uniprot/SWISSPROT;Acc:Q9QZS7]	MTG_602468008	3.04	0.00239
ENSMUSG00000021904		MTG_602468143	2.99	0.00239
ENSMUSG00000041378	Claudin-5 (Brain endothelial cell clone 1 protein) (Lung-specific membrane protein). [Source:Uniprot/SWISSPROT;Acc:O	MTG_602469286	2.96	0.00306
ENSMUSG00000043079	Synaptopodin. [Source:Uniprot/SWISSPROT;Acc:Q8CC35]	MTG_602138940	2.91	0.00258
ENSMUSG00000037664	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57KIP2). [Source:Uniprot/SWISSPROT;A	cgbctl04_plate3_K18	2.88	0.00264
ENSMUSG00000022580	Rhophilin 1 (GTP-Rho binding protein 1). [Source:Uniprot/SWISSPROT;Acc:Q61085]	MTG_602469483	2.84	0.00264
ENSMUSG00000030717	Nuclear protein 1 (Protein p8). [Source:Uniprot/SWISSPROT;Acc:Q9WTK0]	gbctl04_plate9_C21	2.77	0.01335
ENSMUSG00000015093	Chloride intracellular channel protein 3. [Source:Uniprot/SWISSPROT;Acc:Q9D7P7]	gbctl04_plate13_A02	2.71	0.00358
ENSMUSG00000028713	Cytochrome P450 4B1 (EC 1.14.14.1) (CYPIVB1). [Source:Uniprot/SWISSPROT;Acc:Q64462]	gbctl04_plate14_F18	2.71	0.00239
ENSMUSG00000022206	Atrial natriuretic peptide clearance receptor precursor (ANP-C) (ANPRC) (NPR-C) (Atrial natriuretic peptide C-type recep	MTG_602473088	2.7	0.00305
ENSMUSG00000046714	Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transc	gbctl04_plate17_L12	2.66	0.00272
ENSMUSG00000029761	caldesmon 1; EST AI195384. [Source:RefSeq;Acc:NM_145575]	gbctl04_plate8_A07	2.65	0.00239
ENSMUSG00000028031	Dickkopf related protein-2 precursor (Dkk-2) (Dickkopf-2) (mDkk-2). [Source:Uniprot/SWISSPROT;Acc:Q9QYZ8]	gbctl04_plate15_H23	2.64	0.00373
ENSMUSG00000004891	nestin; intermediate filament protein. [Source:RefSeq;Acc:NM_016701]	gbctl04_plate16_P09	2.6	0.00264
ENSMUSG00000056492		MTG_602473220	2.51	0.00272
ENSMUSG00000036390	Growth arrest and DNA-damage-inducible protein GADD45 alpha (DNA- damage inducible transcript 1) (DDIT1). [Source	MTG_602468308	2.48	0.00451
ENSMUSG00000035929	H-2 class I histocompatibility antigen, Q10 alpha chain precursor. [Source:Uniprot/SWISSPROT;Acc:P01898]	MTG_602139046	2.47	0.01132
ENSMUSG00000031461	myomesin 2; skeletal muscle 165kD protein; skeletal muscle 165kDa protein. [Source:RefSeq;Acc:NM_008664]	MTG_602470266	2.43	0.00295
ENSMUSG00000024921		MTG_602471205	2.41	0.00756
ENSMUSG00000054690	endomucin; mucin 14, endothelial. [Source:RefSeq;Acc:NM_016885]	gbctl04_plate16_F07	2.41	0.00272
ENSMUSG00000006205	Serine protease HTRA1 precursor (EC 3.4.21.-). [Source:Uniprot/SWISSPROT;Acc:Q9R118]	MTG_602469553	2.37	0.00331
ENSMUSG00000057123	Gap junction alpha-5 protein (Connexin 40) (Cx40). [Source:Uniprot/SWISSPROT;Acc:Q01231]	MTG_602477362	2.35	0.01206
ENSMUSG00000029648	Vascular endothelial growth factor receptor 1 precursor (EC 2.7.1.112) (VEGFR-1) (Tyrosine-protein kinase receptor FLT	)MTG_602471154	2.28	0.00272
ENSMUSG00000004105	Angiopoietin-related protein 2 precursor (Angiopoietin-like 2). [Source:Uniprot/SWISSPROT;Acc:Q9R045]	MTG_602468751	2.25	0.00239
ENSMUSG00000003411	Ras-related protein Rab-3B. [Source:Uniprot/SWISSPROT;Acc:Q9CZT8]	gbctl04_plate7_I24	2.25	0.00239
ENSMUSG00000031538	Tissue-type plasminogen activator precursor (EC 3.4.21.68) (tPA) (t- PA) (t-plasminogen activator). [Source:Uniprot/SWI	gbctl04_plate3_E13	2.23	0.00302
ENSMUSG00000064196		gbctl04_plate10_H24	2.22	0.00239
ENSMUSG00000053198	Periaxin. [Source:Uniprot/SWISSPROT;Acc:O55103]	gbctl04_plate16_N24	2.2	0.00436
ENSMUSG00000025608	Podocalyxin-like protein 1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9R0M4]	MTG_602468601	2.2	0.00265
ENSMUSG00000026185	Insulin-like growth factor binding protein 5 precursor (IGFBP-5) (IBP- 5) (IGF-binding protein 5). [Source:Uniprot/SWISSP	gbctl04_plate13_H09	2.18	0.00239
ENSMUSG00000048376	Proteinase activated receptor 1 precursor (PAR-1) (Thrombin receptor). [Source:Uniprot/SWISSPROT;Acc:P30558]	gbctl04_plate9_J02	2.17	0.00358
ENSMUSG00000017446	C1q and tumor necrosis factor related protein 1; putative secreted protein ZSIG37. [Source:RefSeq;Acc:NM_019959]	MTG_602477592	2.17	0.0034
ENSMUSG00000029061	matrix metalloproteinase 23; cysteine array matrix metalloproteinase. [Source:RefSeq;Acc:NM_011985]	gbctl04_plate17_D12	2.09	0.00272
ENSMUSG00000016458	Wilms tumor protein homolog. [Source:Uniprot/SWISSPROT;Acc:P22561]	gbctl04_plate4_A12	2.08	0.01102
ENSMUSG00000025810	Neuropilin-1 precursor (A5 protein). [Source:Uniprot/SWISSPROT;Acc:P97333]	gbctl04_plate14_H09	2.06	0.00239
ENSMUSG00000050010		MTG_602138918	2.03	0.0096
ENSMUSG00000020520	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10; UDP-N-acetyl-alpha-D-galacto	gbctl04_plate13_B21	2.02	0.00239
ENSMUSG00000035566		MTG_602477729	2.01	0.00415
ENSMUSG00000030223	protein tyrosine phosphatase, receptor type, O. [Source:RefSeq;Acc:NM_011216]	MTG_602469836	2.01	0.0044
ENSMUSG00000054560	H-2 class I histocompatibility antigen, Q9 alpha chain precursor (Fragment). [Source:Uniprot/SWISSPROT;Acc:P14431]	MTG_602468080	2.01	0.00305
ENSMUSG00000020218	Wnt inhibitory factor 1 precursor (WIF-1). [Source:Uniprot/SWISSPROT;Acc:Q9WUA1]	MTG_602139073	2	0.00246
ENSMUSG00000017309		MTG_602471842	1.98	0.00239
ENSMUSG00000034738	nitric oxide synthase trafficker; nostrin; Dab2-interacting protein 2. [Source:RefSeq;Acc:NM_181547]	gbctl04_plate13_G08	1.98	0.01071
ENSMUSG00000038831	Ral guanine nucleotide exchange factor RalGPS1A. [Source:RefSeq;Acc:NM_175211]	gbctl04_plate3_I06	1.96	0.00264
ENSMUSG00000001123	Galectin-9. [Source:Uniprot/SWISSPROT;Acc:O08573]	MTG_602472684	1.95	0.00269
ENSMUSG00000026768	integrin alpha 8. [Source:RefSeq;Acc:NM_001001309]	MTG_602467867	1.95	0.01076
ENSMUSG00000027834	Neuroserpin precursor (Protease inhibitor 17). [Source:Uniprot/SWISSPROT;Acc:O35684]	MTG_602467339	1.95	0.00453
ENSMUSG00000021759	Lipid phosphate phosphohydrolase 1 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2a) (Phosphatidate phosphohydrolas	MTG_602138959	1.94	0.01596
ENSMUSG00000015745	TNF intracellular domain-interacting protein; CK2 interacting protein 1. [Source:RefSeq;Acc:NM_023320]	gbctl04_plate12_N03	1.93	0.00395
ENSMUSG00000059213	MKIAA0749 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80TS7]	MTG_602467382	1.92	0.00467
ENSMUSG00000056708	immediate early response 5. [Source:RefSeq;Acc:NM_010500]	MTG_602468272	1.91	0.01132
ENSMUSG00000052516	Roundabout homolog 2 precursor. [Source:Uniprot/SWISSPROT;Acc:Q7TPD3]	MTG_602470037	1.9	0.00436
ENSMUSG00000033502	Dual-specificity phosphatase homolog (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8BZ66]	MTG_602476009	1.89	0.01032
ENSMUSG00000008384	SERTA domain-containing protein 1 (Transcriptional regulator interacting with the PHD-bromodomain 1) (TRIP-Br1) (CD	MTG_602472022	1.88	0.0468
ENSMUSG00000026249	Glia derived nexin precursor (GDN) (Protease nexin I) (PN-1) (Serine protease-inhibitor-4). [Source:Uniprot/SWISSPRO	MTG_602468479	1.88	0.00297
ENSMUSG00000062960	Vascular endothelial growth factor receptor 2 precursor (EC 2.7.1.112) (VEGFR-2) (Protein-tyrosine kinase receptor flk-1	gbctl04_plate8_K20	1.87	0.00421
ENSMUSG00000031029	Eukaryotic translation initiation factor 3 subunit 5 (eIF-3 epsilon) (eIF3 p47 subunit) (eIF3f). [Source:Uniprot/SWISSPRO	MTG_602471221	1.86	0.00816
ENSMUSG00000044258	CTLA-2-beta protein precursor (Fragment). [Source:Uniprot/SWISSPROT;Acc:P12400]	gbctl04_plate4_B23	1.85	0.01241
ENSMUSG00000011263		MTG_602467554	1.82	0.00239
ENSMUSG00000030513	PACE4A (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q62030]	MTG_602475863	1.82	0.00436
ENSMUSG00000026728	Vimentin. [Source:Uniprot/SWISSPROT;Acc:P20152]	MTG_602469128	1.81	0.00272
ENSMUSG00000018411	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau). [Source:Uniprot	MTG_602474179	1.8	0.00264
ENSMUSG00000035954	Dedicator of cytokinesis protein 4. [Source:Uniprot/SWISSPROT;Acc:P59764]	gbctl04_plate8_L22	1.79	0.00315
ENSMUSG00000024451	ARF-GAP, RHO-GAP, ankyrin repeat and pleckstrin homology domains-containing protein 3; dual-specificity Rho- and Ar	fgbctl04_plate3_D05	1.79	0.00476
ENSMUSG00000016087	Friend leukemia integration 1 transcription factor (Retroviral integration site protein Fli-1). [Source:Uniprot/SWISSPROT;	MTG_602469456	1.78	0.02219
ENSMUSG00000022272		MTG_602469704	1.78	0.02084
ENSMUSG00000037679		MTG_602471444	1.77	0.00307
ENSMUSG00000018593	SPARC precursor (Secreted protein acidic and rich in cysteine) (Osteonectin) (ON) (Basement membrane protein BM-40	gbctl04_plate13_B15	1.74	0.00239
ENSMUSG00000050493		gbctl04_plate3_L03	1.74	0.01526
ENSMUSG00000060570		gbctl04_plate6_E10	1.73	0.00434
