Image ID	Unigene	Gene	Title	SF2	SF8	D0	Ly
36374	Hs.23960	CCNB1	Cyclin B1	D	D	NA	D
856289	Hs.194698	CCNB2	Cyclin B2	D	D	NA	D
781047	Hs.469649	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homologue (yeast)	D	D	D	D
51448	Hs.460	ATF3	Activating transcription factor 3	Up	Up	Up	Up
744047	Hs.329989	PLK1	Polo-like kinase 1 (Drosophila)	D	D	D	D
244355	Hs.84	IL2RG	Interleukin 2 receptor, ? (severe combined immunodeficiency)	Up	Up	NA	Up
898062	Hs.494347	N/A	Full-length cDNA clone CS0DD006YE20 of neuroblastoma	D	NA	NA	D
795877	Hs.398157	PLK2	Polo-like kinase 2 (Drosophila)	Up	NA	NA	Up
229365	Hs.192039	PTPRC	Protein tyrosine phosphatase, receptor type, C	Up	NA	NA	Up
125134	Hs.243564	CD48	CD48 antigen (B-cell membrane protein)	Up	NA	NA	Up
258120	Hs.522699	COX7B	Cytochrome c oxidase subunit VIIb	Up	NA	NA	Up
788285	Hs.183713	EDNRA	Endothelin receptor type A	Up	NA	NA	Up
264117	Hs.121575	CTSD	Cathepsin D	Up	NA	NA	Up
147075	Hs.567303	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	Up	NA	NA	Up
753447	Hs.651197	DDB2	Damage-specific DNA binding protein 2	Up	NA	Up	Up
815774	Hs.75367	SLA	Src-like adaptor	Up	NA	NA	Up
788185	Hs.521456	TNFRSF10B	Tumor necrosis factor receptor superfamily, member 10b	Up	NA	Up	Up
898286	Hs.334562	CDC2	Cell division cycle 2, G1 to S and G2 to M	NA	D	D	D
137638	Hs.462693	ZNF22	Zinc finger protein 22 (KOX 15)	Up	Up	NA	NA
1588935	Hs.268557	PHLDA3	Pleckstrin homology–like domain, family A, member 3	Up	Up	NA	NA
897690	Hs.192374	HSP90 B1	Heat shock protein 90 kDa ? (Grp94), member 1	Up	Up	NA	NA
283715	Hs.304475	LCP2	Lymphocyte cytosolic protein 2	NA	Up	NA	NA
431655	Hs.166556	CD37	CD37 antigen	NA	Up	NA	NA
488873	Hs.1501	SDC2	Syndecan 2	NA	Up	NA	NA
50843	Hs.8086	RNMT	RNA (guanine-7-) methyltransferase	NA	Up	NA	NA
588453	Hs.153504	TOM1L1	Target of myb1-like 1 (chicken)	Up	NA	NA	NA
788256	Hs.270845	KIF23	Kinesin family member 23	D	NA	D	NA
686081	Hs.402773	PTPN7	Protein tyrosine phosphatase, nonreceptor type 7	NA	NA	NA	Up
701112	Hs.475538	XPC	Xeroderma pigmentosum, complementation group C	NA	NA	NA	Up
549146	Hs.501778	TRIM22	Tripartite motif–containing 22	NA	NA	NA	Up
