GenBank no.	Gene Symbol	Gene name	Fold change	P-value
NM_001008540	CXCR4	Homo sapiens chemokine (C-X-C motif) receptor 4	123.5	2.08E-05
NM_012342	BAMBI	Homo sapiens BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	99.8	5.78E-05
NM_001001555	GRB10	Homo sapiens growth factor receptor-bound protein 10	96.1	8.96E-05
NM_020826	SYT13	Homo sapiens synaptotagmin XIII	93.7	1.08E-04
NM_173216	ST6GAL1	Homo sapiens ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	53.5	1.53E-06
NM_176813	AGR3	Homo sapiens anterior gradient homolog 3 (Xenopus laevis)	40.9	2.67E-05
NM_021784	FOXA2	Homo sapiens forkhead box A2	37.1	1.38E-04
NM_006615	CAPN9	Homo sapiens calpain 9	34.4	7.71E-05
NM_014587	SOX8	Homo sapiens SRY (sex determining region Y)-box 8	34.4	7.31E-06
NM_152360	ZNF573	Homo sapiens zinc finger protein 573	27.9	1.78E-03
NM_014141	CNTNAP2	Homo sapiens contactin associated protein-like 2	24.1	1.65E-04
NM_133637	DQX1	Homo sapiens DEAQ box polypeptide 1 (RNA-dependent ATPase)	20.0	9.71E-04
NM_003430	ZNF91	Homo sapiens zinc finger protein 91	18.9	1.41E-03
NM_000933	PLCB4	Homo sapiens phospholipase C, beta 4	15.2	2.90E-03
NM_000597	IGFBP2	Homo sapiens insulin-like growth factor binding protein 2	15.1	1.48E-04
NM_000790	DDC	Homo sapiens dopa decarboxylase	14.5	1.81E-04
NM_174936	PCSK9	Homo sapiens proprotein convertase subtilisin/kexin type 9	14.5	2.65E-03
Z34282	MUC5AC	H.sapiens (MAR11) MUC5AC	14.3	7.91E-05
NM_014553	TFCP2L1	Homo sapiens transcription factor CP2-like 1	13.9	7.01E-03
NM_014867	KBTBD11	Homo sapiens kelch repeat and BTB (POZ) domain containing 11	13.6	2.41E-05
NM_032044	REG4	Homo sapiens regenerating islet-derived family, member 4	13.4	2.86E-04
NM_001080430	TOX3	Homo sapiens TOX high mobility group box family member 3	12.9	6.18E-04
