Gene symbol	Full name	Accession no.	Main function(s) of gene product	Hypoxic induction (fold change) Array 1 (Affymetrix)	Array 2 (Illumina)	Functional Category
IL-6	IL-6 (interferon, ? 2)	NM_000600	Regulates host defense, acute phase reactions, immune responses, inflammation, cell proliferation, hematopoiesis, angiogenesis, and metastasis	62	7	Cytokines and their receptors
IL-23A	IL-23, ? (subunit p19)	NM_016584	Subunit of IL-23; regulates T cells and promotes angiogenesis	31	23	Cytokines and their receptors
IL-1a	IL-1 ?	NM_000575	Multifunctional, proinflammatory, proangiogenic cytokine	26	12	Cytokines and their receptors
VEGFA	Vascular endothelial growth factor A	NM_003376	Stimulates angiogenesis and chemotactic for monocytes and other myeloid cells	14	14	Cytokines and their receptors
TNFA	Tumor necrosis factor-? (TNF superfamily, member 2; cachexin)	NM_000594	Regulates immunity to pathogen, inflammation, apoptosis and proliferation, differentiation, angiogenesis	11	32	Cytokines and their receptors
WNT5A	Wingless-type MMTV integration site family, member 5A	NM_003392	Binds to receptor, frizzled-5 and regulates tumor cell migration/invasion	11	10	Cytokines and their receptors
IL-12B	IL-12B (p40 subunit, natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2)	NM_002187	A subunit of the cytokine, IL-12, which activates T cells; also antiangiogenic factor	9	10	Cytokines and their receptors
IL-1b	IL-1 ?	NM_000576	Multifunctional, proinflammatory, proangiogenic cytokine	9	8	Cytokines and their receptors
ADM	Adrenomedullin	NM_001124	Vasodilator; also regulates cell responses to oxidative stress and hypoxic injury; proangiogenic cytokine	8	17	Cytokines and their receptors
TNFAIP6	Tumor necrosis factor-?-induced protein 6	NM_007115	Hyaluronan-binding protein involved in extracellular matrix stability and cell migration	5	17	Cytokines and their receptors
MIF	Macrophage migration inhibitory factor	NM_002415	Pleiotrophic cytokine with multiple effects on inflammation, including immobilizing macrophages	4	4	Cytokines and their receptors
IL-18	IL-18 (interferon-?-inducing factor)	NM_001562	Proinflammatory cytokine that stimulates T and NK cells to secrete interferon-? (IFN-?)	3	2	Cytokines and their receptors
IL-8	IL-8	NM_000584	Proangiogenic and chemoattractant for neutrophils	2	43	Cytokines and their receptors
EDN1	Endothelin 1	NM_001955	Vasoconstrictor; regulates vascular homeostasis; chemotactic for monocytes	2	4	Cytokines and their receptors
CLCF1	Cardiotrophin-like cytokine factor 1 (neurotrophin-1)	NM_013246	IL-6 family protein; stimulates IL-1 via IL-6R and STAT3; also stimulates B-cell functions	2	5	Cytokines and their receptors
CSF2	Colony-stimulating factor 2 (GM-CSF)	NM_000758	Stimulates stem cells in the bone marrow to produce granulocytes and monocytes	10	9	Cytokines and their receptors
ANGPT2	Angiopoietin 2 (Ang-2)	NM_001147	Proangiogenic cytokine; destabilizes blood vessels; chemoattractant for endothelial cells and Tie2+monocytes	2	3	Cytokines and their receptors
CCL20	Chemokine (C-C motif) ligand 20 (MIP-3)	NM_004591	Chemotactic for lymphocytes and neutrophils	34	18	Chemokines and their receptors
CXCL2	Chemokine (C-X-C motif) 2 (MIP-2a)	NM_002089	Chemotactic for neutrophils and hematopoietic stem cells	23	4	Chemokines and their receptors
CXCL1	Chemokine (C-X-C motif) 1 (MSGA-?)	NM_001511	Chemotactic for neutrophils	20	27	Chemokines and their receptors
CCR7	Chemokine (C-C motif) receptor 7	NM_001838	Receptor for chemokines, CCL19 and CCL21	10	52	Chemokines and their receptors
CCL5	Chemokine (C-C motif) 5 (RANTES)	NM_002985	Chemotactic for T cells, eosinophils, and basophils; recruits leukocytes to inflammatory sites	9	10	Chemokines and their receptors
CCL3	Chemokine (C-C motif) 3 (MIP-1a)	NM_002983	Recruitment and activation of neutrophils	3	6	Chemokines and their receptors
CXCR4	Chemokine (C-X-C motif) receptor 4	NM_003467	Receptor for SDF-1 (CXCL12), which regulates hematopoietic stem and myeloid cell recruitment by tissues; involved in proliferation and metastasis of tumor cells; coreceptor for entry of HIV into T cells	2	6	Chemokines and their receptors
EGLN3	HIF prolyl hydroxylase 3 (PHD3)	NM_022073	One of 3 PHD enzymes that hydroxylates HIFs, resulting in their binding to VHL and degradation; regulates HIF-2? more than HIF-1?	54	12	Intracellular enzymes and metabolism
CA12	Carbonic anhydrase XII	NM_001218	Enzyme that catalyzes the reversible hydration of carbon dioxide; acidifies extracellular milieu of tumor cells, stimulating their growth/invasion	32	81	Intracellular enzymes and metabolism
ALDOC	Aldolase C, fructose-bisphosphate	NM_005165	Glycolytic enzyme; catalyzes the breakdown of fructose 1,6-bisphosphate	23	23	Intracellular enzymes and metabolism
SLC2A5	Solute carrier family 2 (facilitated glucose/fructose transporter), member 5 (GLUT-5)	NM_003039	Transports fructose and glucose into the cell	12	11	Intracellular enzymes and metabolism
NCF1	Neutrophil cytosolic factor 1	NM_000265	Superoxide production	8	6	Intracellular enzymes and metabolism
SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1 (GLUT-1)	NM_006516	Transports glucose into the cell	7	23	Intracellular enzymes and metabolism
HMOX1	Heme oxygenase (decycling) 1	NM_002133	Essential enzyme in heme catabolism; cleaves heme to form biliverdin	7	4	Intracellular enzymes and metabolism
SLC2A6	Solute carrier family 2 (facilitated glucose transporter), member 6 (GLUT-6)	NM_017585	Transports glucose into the cell	6	3	Intracellular enzymes and metabolism
SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3 (GLUT-3)	NM_006931	Transports glucose into the cell	5	14	Intracellular enzymes and metabolism
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NM_004566	Synthesis and degradation of fructose 2,6-bisphosphate	4	7	Intracellular enzymes and metabolism
SLC7A5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	NM_003486	Involved in cellular amino acid uptake	3	3	Intracellular enzymes and metabolism
PFKP	Phospho-fructokinase	NM_002627	Glycolytic enzyme	2	3	Intracellular enzymes and metabolism
HK1	Hexokinase 1	NM_000188	Commits glucose to the glycolytic pathway	2	2	Intracellular enzymes and metabolism
ALDOA	Aldolase A	NM_000034	Glycolytic enzyme; catalyzes the breakdown of fructose 1,6-bisphosphate	2	2	Intracellular enzymes and metabolism
EGLN1	HIF prolyl hydroxylase 2 (PHD2)	NM_022051	One of 3 PHD enzymes that hydroxylates HIFs, resulting in their binding to VHL and degradation; regulates HIF-1? more than HIF-2?	2	5	Intracellular enzymes and metabolism
SERPINE1	Serpin peptidase inhibitor	NM_000602	Regulation of fibrinolysis	7	5	Extracellular enzymes/molecules
ADAM8	ADAM metallopeptidase domain 8	NM_001109	Membrane-anchored protein involved cell-cell and cell-matrix interactions	6	5	Extracellular enzymes/molecules
CFB	Complement factor B	NM_001710	A component of the alternative pathway of complement activation	6	5	Extracellular enzymes/molecules
F3	Coagulation factor III (thromboplastin, tissue factor; CD142)	NM_001993	Cell surface glycoprotein that cleaves prothrombin to thrombin, promoting coagulation	3	7	Extracellular enzymes/molecules
TIMP1	TIMP metallopeptidase inhibitor 1	NM_003254	Inhibits activity of most known MMPs; stimulates proliferation in a wide range of cell types; also antiapoptotic	2	3	Extracellular enzymes/molecules
MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)	NM_002423	Enzyme with broad substrate specificity in extracellular matrix; promotes wound healing, angiogenesis, tumor invasion, and metastasis	2	2	Extracellular enzymes/molecules
SERPINB2	Serpin peptidase inhibitor, clade B (ovalbumin), member 2 (PAI-2)	NM_002575	Inhibits serine protease, tissue-type- and urokinase-type plasminogen activator; tPA, uPA; also regulates gene expression, cell proliferation, differentiation, and apoptosis	102	4	Cell viability
PTGS2 (COX2)	Prostaglandin-endoperoxide synthase 2 (cyclo-oxygenase-2)	NM_000963	Proinflammatory; stimulates expression of prostanoids	27	8	Cell viability
ENO2	Enolase 2	NM_001975	Glycolytic enzyme	8	10	Cell viability
IGFBP6	Insulin-like growth factor binding protein 6	NM_002178	Binds and prolongs the half-life of the IGFs	4	2	Cell viability
BNIP3L	BCL2/adenovirus E1B 19-kDa interacting protein 3-like	NM_004331	Proapoptotic Bcl family protein	3	5	Cell viability
IER3	Immediate early response 3 (IEX-2 or DIF-2)	NM_003897	Regulates growth and apoptosis (inhibits NF-?B-induced apoptosis)	2	13	Cell viability
NRG1	Neuroregulin 1	NM_006096	Growth factor that regulates cell apoptosis and proliferation (protects cells in ischemia)	2	4	Cell viability
DDIT4	DNA-damage-inducible transcript 4 (DIG2 or REDD-1)	NM_019058	A stress response gene, an essential regulator of the checkpoint kinase, mTOR	103	54	Receptors and cell adhesion/signaling
HIG2	Hypoxia-inducible protein 2	NM_001098786	Growth factor that stimulates tumor cell growth	12	21	Receptors and cell adhesion/signaling
NFKB2	Nuclear factor of ? light polypeptide gene enhancer in B-cells 2 (p49/p100)	NM_002502	Central mediator of noncanonical NF-?B signaling pathway in cells	11	3	Receptors and cell adhesion/signaling
