Full-Length Identifier	Gene Name	Fold Median (Log2)	P Value
AK027855	SLC5A6	?.1405	0.00143261
NM_021913	AXL	0.1515	0.00143261
AF348827	PLVAP	0.6608	0.00143261
AL389942	EUROIMAGE 2005635.	0.1272	0.001829776
AK093183	MKPX	?.225	0.001829776
AB044088	BHLHB3	0.3286	0.003636625
BC002983	GRCC9	?.4481	0.004513053
AF055007	Homo sapiens clone 24707	0.1807	0.00555959
NM_031850	AGTR1	0.5446	0.00555959
AK001963	FLJ11101	0.2032	0.006811737
AK056433	FLJ10305	?.2807	0.008293161
AF041210	MID1	?.3477	0.008293161
BC001403	CPSF5	?.2288	0.010044539
U78166	RIT2	0.1019	0.010044539
BC031391	C17	0.2779	0.010044539
AK024251	KIAA0918	0.3363	0.010044539
NM_014552	LBP-32	0.1427	0.012093977
NM_003177	SYK	?.5432	0.012093977
NM_001845	COL4A1	0.7465	0.012093977
AK075476	E2IG4	0.6804	0.012093977
BC036658	SSA2	0.2988	0.012093977
AK055909	FLJ31347	?.1153	0.012093977
NM_024102	MEP50	0.1781	0.014492507
NM_003617	RGS5	0.6725	0.014492507
NM_001855	COL15A1	0.5302	0.014492507
AL117566	UBE1C	0.2052	0.014492507
NM_002986	CCL11	0.0622	0.014492507
AF123659	LZTS1	0.1771	0.017271193
AL832955	FLJ23153	0.8807	0.017271193
NM_000317	PTS	0.4885	0.017271193
AB018353	UNC84A	?.5075	0.017271193
AK057653	FLJ22726	0.1553	0.017271193
