Gene name	Gene description	n-fold change	Log2change
LUM	Lumican	12.278	3.618
SDCBP	Syndecan binding protein (syntenin, melanoma differentiation-associated protein 9-MDA; pro-TGF-? cytoplasmic domain-interacting protein 18; scaffold protein Pbp1)	6.753	2.756
MFAP1	Microfibrillar-associated protein 1	4.147	2.052
CTSB	Cathepsin B	3.487	1.802
PRKCA	Protein kinase C?	3.207	1.681
RAB1A	RAB1A member RAS oncogene family	2.986	1.578
H2-ALPHA	?-Tubulin isotype H2-?	2.934	1.553
RRAGA	Ras-related GTP binding A	2.917	1.545
TUBB3	Tubulin ?3 (other designation: tubulin ?4)	2.874	1.523
CLIC4	Chloride intracellular channel 4	2.87	1.521
SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	2.84	1.506
ANLN	Anillin, actin binding protein	2.764	1.467
RAN	RAN, member RAS oncogene family	2.745	1.457
ENC1	Ectodermal-neural cortex (with BTB-like domain). Other designations: nuclear restricted protein, BTB domain-like (brain); tumor protein p53 inducible protein 10	2.66	1.412
EMP1	Epithelial membrane protein 1	2.645	1.403
DSG2	Desmoglein 2	2.629	1.395
SEPP1	Selenoprotein P, plasma, 1	2.628	1.394
ITGAV	Integrin ?V (vitronectin receptor, ? polypeptide, antigen CD51) antigen identified by monoclonal antibody L230	2.563	1.358
TUBA2	Tubulin ?2	2.457	1.297
HMMR	Hyaluronan-mediated motility receptor (RHAMM) intracellular hyaluronic acid binding protein	2.439	1.286
MASA	L1 neuronal cell adhesion molecule, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs)	2.425	1.278
TUBA3	Tubulin ?3	2.4	1.263
CX3CR1	Chemokine (C-X3-C motif) receptor 1	2.38	1.251
CDH2	Cadherin 2, type 1, N-cadherin [neuronal N-cadherin 1; cadherin 2, N-cadherin (neuronal); cadherin 2, type 1; calcium-dependent adhesion protein, neural cadherin]	2.375	1.248
EDNRB	Endothelin receptor type B	2.315	1.211
CSPG2	Versican (chondroitin sulfate proteoglycan 2)	2.261	1.177
CD63	Melanoma 1 antigen	2.205	1.141
SMARCA1	SWI/SNF-related matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 1	2.199	1.137
FGG	Fibrinogen ? chain	2.149	1.104
PFN1	Profilin 1	2.142	1.099
SPA17	Sperm autoantigenic protein 17	2.129	1.09
FZD1	Frizzled homologue 1 (Drosophila)	2.121	1.085
APLP2	Amyloid ? (A4) precursor-like protein 2	2.098	1.069
SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A (?-1 antiproteinase, antitrypsin), member 3	2.076	1.054
MMP2	Matrix metallopeptidase 2 (gelatinase A, 72 kDa gelatinase, 72 kDa type IV collagenase)	2.046	1.033
TUBA1	Tubulin ? 1 (testis-specific)	2.018	1.013
EDN2	Endothelin 2	?2.279	?1.189
PCDH9	Protocadherin 9	?2.345	?1.230
CDH10	Cadherin 10 type 2 (T2-cadherin)	?2.397	?1.262
WNT2	Wingless-type MMTV integration site family member 2	?3.274	?1.711
PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	?3.323	?1.733
