Gene symbol	Parametric p-value	FDR	Geometric mean of intensities (class empty/class miR-26a )	Probe set	Description
HIST1H3H	6.00E-07	0.007092	0.3631765	206110_at	histone cluster 1, H3h
PGM2	8.00E-06	0.0355168	2.1303437	225366_at	phosphoglucomutase 2
HIST1H2AG	1.80E-05	0.0355168	0.5238268	207156_at	histone cluster 1, H2ag
HIST1H2BK	1.94E-05	0.0355168	0.5445466	209806_at	histone cluster 1, H2bk
IFIT2	2.27E-05	0.0355168	0.4250815	226757_at	interferon-induced protein with tetratricopeptide repeats 2
LONP2	2.68E-05	0.0355168	0.5296412	221833_at	Lon peptidase 2, peroxisomal
S100A4	2.80E-05	0.0355168	0.5459229	203186_s_at	S100 calcium binding protein A4
RNASET2	3.06E-05	0.0355168	1.7952705	243229_at	Ribonuclease T2
LOC401152	3.91E-05	0.0355168	0.5852461	224604_at	HCV F-transactivated protein 1
BTG2	3.98E-05	0.0355168	0.5501043	201236_s_at	BTG family, member 2
POLR3G	4.33E-05	0.0355168	1.7958424	206653_at	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
UBE2H	4.71E-05	0.0355168	0.5840486	237232_at	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
	4.90E-05	0.0355168	0.5654447	235352_at	CDNA FLJ31593 fis, clone NT2RI2002481
HIST1H2BC	4.92E-05	0.0355168	0.552603	236193_at	histone cluster 1, H2bc
FRAT2	5.68E-05	0.0355168	1.670023	209864_at	frequently rearranged in advanced T-cell lymphomas 2
KIAA1632	6.13E-05	0.0355168	0.5427419	227638_at	KIAA1632
LONP2	7.22E-05	0.0355168	0.618631	221834_at	Lon peptidase 2, peroxisomal
	7.32E-05	0.0355168	0.619219	235456_at	CDNA clone IMAGE:4819084
KIAA1618	7.39E-05	0.0355168	0.5372051	231956_at	KIAA1618
HIST1H2BG /// HIST1H2BC	7.46E-05	0.0355168	0.4051299	214455_at	histone cluster 1, H2bg /// histone cluster 1, H2bc
HIST1H2AC	7.77E-05	0.0355168	0.5308734	215071_s_at	histone cluster 1, H2ac
TRIM73	8.55E-05	0.0355168	0.6027082	1554250_s_at	tripartite motif-containing 73
LYPLAL1	8.89E-05	0.0355168	0.6246541	236409_at	Lysophospholipase-like 1
KIF21B	9.01E-05	0.0355168	1.6873372	204411_at	kinesin family member 21B
CDC6	9.24E-05	0.0355168	1.6543894	203967_at	cell division cycle 6 homolog (S. cerevisiae)
HERPUD2	9.40E-05	0.0355168	0.6252069	236170_x_at	HERPUD family member 2
CYCS	9.65E-05	0.0355168	0.6044653	229415_at	cytochrome c, somatic
SLC7A11	0.0001001	0.0355168	1.669372	209921_at	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
LOC401152	0.0001033	0.0355168	0.6311202	224605_at	HCV F-transactivated protein 1
LOXL2	0.0001069	0.0355168	1.5874805	202998_s_at	lysyl oxidase-like 2
CUL3	0.0001071	0.0355168	0.6278589	237376_at	Cullin 3
LOC648232	0.0001071	0.0355168	1.5808924	1557919_a_at	Hypothetical protein LOC648232
LRAP	0.000117	0.0355168	0.630956	240338_at	Leukocyte-derived arginine aminopeptidase
SC4MOL	0.0001179	0.0355168	1.6590604	209146_at	sterol-C4-methyl oxidase-like
KLHL24	0.0001202	0.0355168	0.6303091	221986_s_at	kelch-like 24 (Drosophila)
CCDC15	0.0001245	0.0355168	1.5761911	241360_at	Coiled-coil domain containing 15
MYCBP	0.0001309	0.0355168	1.5675011	203359_s_at	c-myc binding protein
EXO1	0.0001371	0.0355168	1.5754239	204603_at	exonuclease 1
POLQ	0.0001435	0.0355168	1.7214834	207746_at	polymerase (DNA directed), theta
LRRC41	0.0001446	0.0355168	1.6769157	215765_at	leucine rich repeat containing 41
FLJ38984	0.0001449	0.0355168	1.5622952	212791_at	hypothetical protein FLJ38984
C17orf27	0.000145	0.0355168	0.5723155	225929_s_at	chromosome 17 open reading frame 27
DIAPH3	0.0001552	0.0355168	1.6175407	229097_at	diaphanous homolog 3 (Drosophila)
POLQ	0.0001555	0.0355168	1.5577078	219510_at	polymerase (DNA directed), theta
KLHL24	0.0001583	0.0355168	0.6322212	221985_at	kelch-like 24 (Drosophila)
	0.000162	0.0355168	1.6366956	216856_s_at
LOC257396	0.0001636	0.0355168	0.6395203	236076_at	hypothetical protein LOC257396
AK1	0.0001645	0.0355168	0.6367738	202587_s_at	adenylate kinase 1
CCNE2	0.0001657	0.0355168	1.5680341	205034_at	cyclin E2
PLGLB2 /// PLGLB1	0.0001697	0.0355168	0.6215742	205871_at	plasminogen-like B2 /// plasminogen-like B1
UBE2W	0.0001703	0.0355168	0.632177	218521_s_at	ubiquitin-conjugating enzyme E2W (putative)
WDHD1	0.000171	0.0355168	1.5749675	216228_s_at	WD repeat and HMG-box DNA binding protein 1
LOC647500	0.0001713	0.0355168	0.6397427	239005_at	Similar to phosphodiesterase 4D interacting protein isoform 1
WHSC1	0.0001752	0.0355168	1.6449568	209054_s_at	Wolf-Hirschhorn syndrome candidate 1
LOC439994 /// LOC642361	0.0001757	0.0355168	0.6469295	228839_s_at	hypothetical gene supported by AF064843; AK025716 /// hypothetical LOC642361
SAMD9L	0.0001768	0.0355168	0.5789563	235643_at	sterile alpha motif domain containing 9-like
CHAF1A	0.0001771	0.0355168	1.5635639	203976_s_at	chromatin assembly factor 1, subunit A (p150)
HIST1H2BK	0.0001855	0.0355168	0.6028676	208579_x_at	histone cluster 1, H2bk
	0.0001865	0.0355168	1.5836656	228273_at	Transcribed locus
RIT1	0.0001884	0.0355168	0.6404118	243463_s_at	Ras-like without CAAX 1
	0.0001967	0.0355168	0.6448705	230795_at	Transcribed locus
HIST1H4H	0.0001979	0.0355168	0.5576371	208180_s_at	histone cluster 1, H4h
	0.0002023	0.0355168	0.6184409	237201_at	Transcribed locus
PSMC3IP	0.000204	0.0355168	1.5875912	213951_s_at	PSMC3 interacting protein
BRD7	0.0002133	0.0355168	1.6497807	228289_at	Bromodomain containing 7
