Genbank accession no.	Gene	Annotation	p53wt/wt/HrasTG·AC/wtvs p53wt/wt/Hraswt/wt(fold)	Function
AF058799	Ywhag	14-3-3 protein ?	2.5	Signaling pathways
AF059583	Dok2	Downstream of tyrosine kinase 2	2.2	Signaling pathways
AA285446	Dusp9	Dual-specificity phosphatase 9	4.4	Signaling pathways
AI642662	Dusp16	Dual-specificity phosphatase 16	?2.1	Signaling pathways
AI317205	Map3k1	MAPK kinase kinase 1	?3.1	Signaling pathways
X02452	Kras2	Kirsten rat sarcoma oncogene 2, expressed	?2.4	Signaling pathways
AI846922	Rasa1	RAS p21 protein activator 1	?3.1	Signaling pathways
X95403	Rab2	RAB2, member RAS oncogene family	?2.2	Signaling pathways
AB027290	Rab9	RAB9, member RAS oncogene family	?3.6	Signaling pathways
AI844664	Rab4b	RAB4B, member RAS oncogene family	2.3	Signaling pathways
AW124187	Rab14	RAB14, member RAS oncogene family	?2.0	Signaling pathways
L04966	Rab18	RAB18, member RAS oncogene family	?2.4	Signaling pathways
AI835712	Rab34	RAB34, member of RAS oncogene family	?2.7	Signaling pathways
AB027290	Rab9	RAB9, member RAS oncogene family	?3.6	Signaling pathways
D37790	Rad21	RAD21 homologue	?2.0	Signaling pathways
AV267115	Rad52	RAD52 homologue	5	Signaling pathways
AF006465	Ranbp9	RAN-binding protein 9	?3.5	Signaling pathways
U20857	Rangap1	RAN GTPase-activating protein 1	2	Signaling pathways
AA959291	Rap2b	RAP2B, member of RAS oncogene family	2.2	Signaling pathways
AV064502	Arhc	ras homologue gene family, member C	2.3	Signaling pathways
U58203	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1	2.3	Signaling pathways
AV277546	Rhoip3	Rho-interacting protein 3	?3.7	Signaling pathways
U58513	Rock2	Rho-associated coiled-coil forming kinase 2	?2.5	Signaling pathways
U73199	Rgnef	Rho-guanine nucleotide exchange factor	?2.8	Signaling pathways
AJ237939	Stat5a	Signal transducer and activator of transcription 5A	2	Signaling pathways
D11374	Sipa1	Signal-induced proliferation-associated gene 1	4.2	Signaling pathways
Z11664	Sos2	Son of sevenless homologue 2 (Drosophila)	?2.9	Signaling pathways
U46026	Atf2	Activating transcription factor 2	?2.6	Transcription
Y15163	Cited2	CBP/p300-interacting transactivator, 2	?4.5	Transcription
AB012273	Cebpg	CCAAT/enhancer-binding protein, ?	?2.7	Transcription
U63387	Cbx4	Chromobox homologue 4 (Drosophila Pc class)	?2.1	Transcription
AI844939	Cri1	CBP/p300 inhibitory protein 1	?2.2	Transcription
U66249	Cutl1	Cut-like 1 (Drosophila)	?3.1	Transcription
M58482	Ets1	E26 avian leukemia oncogene 1	2.5	Transcription
AF067421	Foxd3	Forkhead box D3	3.2	Transcription
Y11245	Foxm1	Forkhead box M1	3.4	Transcription
U31758	Hdac2	Histone deacetylase 2	?3.5	Transcription
U02278	Hoxb3	Homeobox B3	3.3	Transcription
X96518	Msx3	Homeobox, msh-like 3	3.3	Transcription
AF078166	Lmx1b	LIM homeobox transcription factor 1 ?	5.7	Transcription
U32395	Mad4	Max dimerization protein 4	?2.7	Transcription
D26090	Mcmd5	Mini chromosome maintenance deficient 5	2.2	Transcription
M12848	Myb	Myeloblastosis oncogene	?4.3	Transcription
Y11117	Nkx2-3	NK2 transcription factor related, locus 3	2.9	Transcription
Y15741	Nkx2-9	NK2 transcription factor related, locus 9	2.3	Transcription
Z11886	Notch1	Notch gene homologue 1 (Drosophila)	?2.2	Transcription
X68363	Pou2f1	POU domain, class 2, transcription factor 1	?2.8	Transcription
M34381	Pou5f1	POU domain, class 5, transcription factor 1	4.3	Transcription
AF011908	Aatk	Apoptosis-associated tyrosine kinase	?2.1	Apoptosis and cell cycle
L31532	Bcl2	B-cell leukemia/lymphoma 2	2.1	Apoptosis and cell cycle
AA144272	Bag2	Bcl2-associated athanogene 2	2.2	Apoptosis and cell cycle
AB019601	Casp9	Caspase-9	3.2	Apoptosis and cell cycle
X75888	Ccne1	Cyclin E1	4.1	Apoptosis and cell cycle
AF005886	Ccni	Cyclin I	?3.6	Apoptosis and cell cycle
X01756	Cycs	Cytochrome c, somatic	?2.5	Apoptosis and cell cycle
X85788	Dcc	Deleted in colorectal carcinoma	2.8	Apoptosis and cell cycle
M12302	Gzmb	Granzyme B	2.7	Apoptosis and cell cycle
AF055638	Gadd45g	Growth arrest and DNA damage–inducible 45 ?	2	Apoptosis and cell cycle
AF070970	Pard6a	Par-6 homologue ? (Caenorhabditis elegans)	3.1	Apoptosis and cell cycle
U10903	Pdcd2	Programmed cell death 2	?3.4	Apoptosis and cell cycle
U35141	Rbbp4	Retinoblastoma-binding protein 4	?2.9	Apoptosis and cell cycle
U35142	Rbbp7	Retinoblastoma-binding protein 7	?2.3	Apoptosis and cell cycle
AF059177	Erbb4	v-erb-a erythroblastic leukemia viral oncogene homologue 4	4.1	Apoptosis and cell cycle
AI006228	Erbb3	v-erb-b2 erythroblastic leukemia viral oncogene homologue 3	?2.2	Apoptosis and cell cycle
D30743	Wee1	Wee 1 homologue (Schizosaccharomyces pombe)	?2.8	Apoptosis and cell cycle
U40796	Ercc5	Excision repair cross-complementing rodent repair deficiency, complementation group 5	?2.1	Apoptosis and cell cycle
AU020229	Fzd3	Frizzled homologue 3 (Drosophila)	?2.0	G-protein
Y17709	Fzd9	Frizzled homologue 9 (Drosophila)	3	G-protein
AI843396	Gng10	G-protein ?10	?2.7	G-protein
AW123750	Gng2	G-protein ?2 subunit	2.4	G-protein
AI843937	Gng5	G-protein ?5 subunit	?2.2	G-protein
AF056973	Gnaz	G-protein ?z subunit	3	G-protein
X65026	Gna-rs1	G-protein-related sequence 1	2.2	G-protein
AF089818	Rgs19ip1	Regulator of G-protein signaling 19–interacting protein 1	6.8	G-protein
