Accession no.	Gene symbol	AD values, range	Gene transcript†	Leukocyte expression‡
M17733	TMSB4X	140 142-307 852	Thymosin ?4 mRNA, complete cds	+
X99076	NRGN	101 510-148 279	Neurogranin gene	+
M25079	HBB	40 839-229 556	?-globin mRNA, complete cds	+
M25915	CLU	84 720-140 246	Complement cytolysis inhibitor (clusterin) complete cds	?
J04755	FTHP1	82 980-148 621	Ferritin H processed pseudogene, complete cds	?
D78361	OAZ1	73 098-118 140	mRNA for omithine decarboxylase antizyme	?
X04409	GNAS	77 761-94 781	mRNA for coupling protein G(s) ?-subunit (alpha-S1)	?
M25897	PF4	62 811-126 908	Platelet factor 4 mRNA, complete cds	?
AB021288	B2M	61 689-108 921	?2-microglobulin	+
X00351	ACTB	25?143-73 775	mRNA for ?-actin	?
D21261	TAGLN2	76 687-101 931	mRNA for KIAA0120 gene	+
AL031670	FTLL1	69 865-99 966	Ferritin, light polypeptide 1	+
U59632	GPIIB	41 404-110 328	Platelet glycoprotein Ib? chain mRNA	?
M21121	CCL5	47 308-106 399	T-cell-specific protein (RANTES) mRNA, complete cds	?
X13710	GPX1	41 318-96 878	Unspliced mRNA for glutathione peroxidase	?
J00153	HBA1	21 326-144 201	Alpha globin gene cluster on chromosome 16	+
M22919	MYL6	46 337-106 833	Nonmuscle/smooth muscle alkali myosin light chain gene	+
L20941	FTH1	52 787-74 763	Ferritin heavy chain mRNA, complete cds	?
J03040	SPARC	51 156-74 261	SPARC/osteonectin mRNA, complete cds	?
X56009	GNAS	45 543-72 096	GSA mRNA for ? subunit of GsGTP binding protein	?
X58536	HLA	31 183-82 613	mRNA for major HLA class I locus C heavy chain	+
M54995	PPBP	46 571-67 169	Connective tissue activation peptide III mRNA	?
U34995	GAPD	35 095-70 250	Normal keratinocyte substraction library mRNA, clone H22a	+
L40399	MLM3	32 107-73 364	Clone zap112 (mutL protein homolog 3) mRNA	?
X77548	NCOA4	31 452-61 036	cDNA for RFG (RETproto-oncogene RET/PTC3)	?
U90551	H2AFL	35 086-51 892	Histone 2A-like protein (H2A/I) mRNA	?
M11353	H3F3A	31 614-55 813	H3.3 histone class C mRNA	?
Z12962	RPL41	36 003-54 853	mRNA for homologue to yeast ribosomal protein L41	+
X06956	TUBA1	20 988-61 798	HALPHA 44 gene for ?-tubulin	?
AB028950	TLN1	24 571-58 611	mRNA for KIAA 1027 protein	?
Y12711	PGRMC1	33 680-43 174	mRNA for putative progesterone binding protein	?
M16279	MIC2	30 894-48 166	Integrated membrane protein (MIC2) mRNA	?
D78577	YWHAH	24 785-50 437	Brain 14-3-3 protein ?-chain	?
AF070585	TOP3B	20 027-67 945	Clone 24675, unknown cDNA	?
AA524802	Unknown	23 846-39 481	CDNA, IMAGE clone 954213	?
AB009010	UBC	28 745-38 389	mRNA for polyubiquitin UbC	+
X57985	H2AFQ	21 678-52 108	Genes for histones H2B.1 and H2A	?
X54304	MLCB	25 733-34 109	mRNA for myosin regulatory light chain	?
M14539	F13A1	23 691-48 474	Factor XIII subunit ?-polypeptide mRNA, 3? end	?
AI540958	Unknown	24 872-41 118	cDNA, PEC 1.2_15_HOI.r 5? end /clon	?
AL050396	FLNA	13 634-55 235	cDNA DKFZp 586K1720	?
X56841	HLA-E	12 890-49 327	Nonclassical MHC class I antigen gene	?
M26252	PKM2	15 450-47 786	TCB (cytosolic thyroid hormone-binding protein)	?
M14630	PTMA	19 314-45 088	Prothymosin alpha mRNA	?
AF045229	RGS10	19 156-34 243	Regulator of G protein signaling 10 mRNA	?
AA477898	Unknown	16 863-44 756	cDNA, Z&34f08.rl 5? end	?
X95404	FL1	15 216-37 456	mRNA for nonmuscle type cofilin	?
M34480	ITGA2B	8 627-45 495	Platelet glycoprotein IIb (GPIIb) mRNA	?
Z83738	H2BFE	18 001-31 306	HH2B/e gene	?
L19779	H2AFO	17 319-38 951	Histone H2A.2 mRNA, complete cds	?
