Fold	Gene Name	P-value	Common	Genbank	Description
3.91	201820_at	4.75E-05	KRT5	NM_000424	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
3.835	201983_s_at	7.53E-07	EGFR	AW157070	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
3.902	202036_s_at	2.48E-05	SFRP1	AF017987	secreted frizzled-related protein 1
3.45	202037_s_at	1.22E-05	SFRP1	NM_003012	secreted frizzled-related protein 1
3.76	202859_x_at	1.30E-05	IL8	NM_000584	interleukin 8
5.781	202917_s_at	5.09E-06	S100A8	NM_002964	S100 calcium binding protein A8 (calgranulin A)
3.39	203021_at	7.16E-06	SLPI	NM_003064	secretory leukocyte protease inhibitor (antileukoproteinase)
3.01	203234_at	3.47E-06	UPP1	NM_003364	uridine phosphorylase 1
4.09	203637_s_at	9.66E-07	MID1	NM_000381	midline 1 (Opitz/BBB syndrome)
3.788	203702_s_at	5.22E-09	TTLL4	AL043927	tubulin tyrosine ligase-like family, member 4
3.413	203819_s_at	2.73E-05	IMP-3	AU160004	IGF-II mRNA-binding protein 3
3.703	203820_s_at	6.29E-08	IMP-3	NM_006547	IGF-II mRNA-binding protein 3
4.109	204259_at	9.89E-08	MMP7	NM_002423	matrix metalloproteinase 7 (matrilysin, uterine)
5.131	204724_s_at	1.01E-05	COL9A3	NM_001853	collagen, type IX, alpha 3
3.835	204750_s_at	3.48E-06	DSC2	BF196457	desmocollin 2
5.028	204855_at	7.12E-05	SERPINB5	NM_002639	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5
4.539	204885_s_at	7.76E-05	MSLN	NM_005823	mesothelin
3.202	204913_s_at	6.34E-05	SOX11	AI360875	SRY (sex determining region Y)-box 11
4.811	204914_s_at	9.48E-08	SOX11	AW157202	SRY (sex determining region Y)-box 11
7.771	205029_s_at	3.85E-06	FABP7	NM_001446	fatty acid binding protein 7, brain
4.203	205030_at	6.19E-06	FABP7	NM_001446	fatty acid binding protein 7, brain
9.475	205044_at	2.28E-06	GABRP	NM_014211	gamma-aminobutyric acid (GABA) A receptor, pi
3.27	205363_at	8.08E-05	BBOX1	NM_003986	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
3.359	205429_s_at	5.13E-07	MPP6	NM_016447	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
3.068	205475_at	1.58E-05	SCRG1	NM_007281	scrapie responsive protein 1
4.55	205487_s_at	2.35E-08	VGLL1	NM_016267	vestigial like 1 (Drosophila)
3.037	205490_x_at	6.58E-09	GJB3	BF060667	gap junction protein, beta 3, 31kDa (connexin 31)
3.564	205646_s_at	1.74E-06	PAX6	NM_000280	paired box gene 6 (aniridia, keratitis)
3.03	206276_at	5.44E-05	LY6D	NM_003695	lymphocyte antigen 6 complex, locus D
6.431	206373_at	4.15E-06	ZIC1	NM_003412	Zic family member 1 (odd-paired homolog, Drosophila)
5.047	206392_s_at	2.54E-05	RARRES1	NM_002888	retinoic acid receptor responder (tazarotene induced) 1
9.247	206560_s_at	9.02E-08	MIA	NM_006533	melanoma inhibitory activity
3.428	207076_s_at	4.39E-08	ASS	NM_000050	argininosuccinate synthetase
3.469	208358_s_at	6.67E-08	UGT8	NM_003360	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)
3.097	209283_at	6.99E-08	CRYAB	AF007162	crystallin, alpha B
6.447	209800_at	7.95E-09	KRT16	AF061812	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)
3.11	209834_at	1.62E-06	CHST3	AB017915	carbohydrate (chondroitin 6) sulfotransferase 3
4.049	209990_s_at	2.72E-06	GPR51	AF056085	G protein-coupled receptor 51
3.022	210147_at	5.96E-06	ART3	U47054	ADP-ribosyltransferase 3
3.218	211506_s_at	4.58E-05	IL8	AF043337	Homo sapiens interleukin 8 C-terminal variant (IL8) mRNA, complete cds.
3.745	213260_at	7.12E-10	FOXC1	AU145890	forkhead box C1
3.556	213680_at	1.29E-05	KRT6B	AI831452	keratin 6B
3.198	214240_at	5.99E-07	GAL	AL556409	galanin
5.193	214370_at	5.55E-05	S100A8	AW238654	S100 calcium binding protein A8 (calgranulin A)
14.86	215729_s_at	6.13E-11	VGLL1	BE542323	vestigial like 1 (Drosophila)
3.084	216841_s_at	3.13E-09	SOD2	X15132	superoxide dismutase 2, mitochondrial
3.713	219225_at	1.81E-05	PGBD5	NM_024554	piggyBac transposable element derived 5
3.681	219415_at	6.95E-06	TTYH1	NM_020659	tweety homolog 1 (Drosophila)
3.879	219497_s_at	3.01E-11	BCL11A	NM_022893	B-cell CLL/lymphoma 11A (zinc finger protein)
3.228	219498_s_at	3.22E-07	BCL11A	NM_018014	B-cell CLL/lymphoma 11A (zinc finger protein)
3.47	219983_at	1.48E-07	HRASLS	NM_020386	HRAS-like suppressor
4.219	220425_x_at	6.19E-08	ROPN1	NM_017578	ropporin, rhophilin associated protein 1
7.247	220559_at	7.04E-09	EN1	NM_001426	engrailed homolog 1
5.301	220624_s_at	1.20E-05	ELF5	NM_001422	E74-like factor 5 (ets domain transcription factor)
4.455	220625_s_at	3.04E-07	ELF5	AF115403	E74-like factor 5 (ets domain transcription factor)
3.478	220658_s_at	5.04E-08	ARNTL2	NM_020183	aryl hydrocarbon receptor nuclear translocator-like 2
3.439	220892_s_at	2.32E-11	PSAT1	NM_021154	phosphoserine aminotransferase 1
