Affy ID	Gene name	Symbol	P
33113_at	Cbp/p300-interacting transactivator	CITED2	1.03E-12
37724_at	V-myc myelocytomatosis viral oncogene homologue (avian)	MYC	3.28E-10
1973_s_at	NA	NA	9.63E-10
41215_s_at	Inhibitor of DNA binding 2, dominant-negative HLH protein	ID2	2.80E-09
41216_r_at	NA	NA	0.00000001
37393_at	Hairy and enhancer of split 1, (Drosophila)	HES1	0.00000008
31862_at	Wingless-type MMTV integration site family, member 5A	WNT5A	0.00000031
1669_at	NA	NA	0.00000074
37651_at	REST corepressor	RCOR	0.00000099
40144_at	Protein tyrosine phosphatase, nonreceptor type substrate 1	PTPNS1	0.000011
1135_at	G protein–coupled receptor kinase 5	GPRK5	0.00008
41352_at	Sialyltransferase 1 (h-galactoside alpha-2,6-sialyltransferase)	SIAT1	0.0001
41126_at	Solute carrier family 1, member 4	SLC1A4	0.00036
1916_s_at	V-fos FBJ murine osteosarcoma viral oncogene homologue	FOS	7.33E-12
40049_at	Death-associated protein kinase 1	DAPK1	8.83E-10
36976_at	Cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	0.00000001
2087_s_at	NA	NA	0.00000005
31790_at	START domain containing 13	STARD13	0.00000001
36119_at	Caveolin 1, caveolae protein, 22 kDa	CAV1	0.00000001
38763_at	Sorbitol dehydrogenase	SORD	0.00000002
38546_at	Interleukin 1 receptor accessory protein	IL1RAP	0.00000031
1457_at	Janus kinase 1 (a protein tyrosine kinase)	JAK1	0.00000064
41594_at	NA	NA	0.00000068
36882_at	Homeo box D9	HOXD9	0.00000079
36120_at	Follicular lymphoma variant translocation 1	FVT1	0.0000013
34877_at	Human HepG2 partial cDNA, clone hmd3f07m5		0.0000014
339_at	Caveolin 2	CAV2	0.0000015
39382_at	Tripartite motif-containing 2	TRIM2	0.0000056
41643_at	SMA5	SMA5	0.0000085
41642_at	NA	NA	0.00012
38855_s_at	Olfactomedin 1	OLFM1	0.0000099
41717_at	Fatty acid desaturase 1	FADS1	0.000011
39372_at	NA	NA	0.000013
41718_g_at	NA	NA	0.000025
41720_r_at	NA	NA	0.000075
41719_i_at	NA	NA	0.0002
39373_at	NA	NA	0.0004
40075_at	Synaptotagmin I	SYT1	0.000064
35720_at	KIAA0893 protein	KIAA0893	0.00012
39966_at	Chondroitin sulfate proteoglycan 5 (neuroglycan C)	CSPG5	0.00015
36502_at	PFTAIRE protein kinase 1	PFTK1	0.00017
35785_at	GABA(A) receptor–associated protein like 1	GABARAPL1	0.00018
33296_at	Likely homologue of mouse glucuronyl C5-epimerase	GLCE	0.00023
41691_at	KIAA0794 protein	KIAA0794	0.00036
39636_at	Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 362780	NA	0.00039
41242_at	UDP-N-acteylglucosamine pyrophosphorylase 1	UAP1	0.00061
35362_at	Myosin X	MYO10	0.00064
38326_at	Putative lymphocyte G0-G1 switch gene	G0S2	2.98E-13
41435_at	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF)	NA	1.54E-10
310_s_at	Microtubule-associated protein tau	MAPT	2.27E-10
35334_at	Glycogenin 2	GYG2	2.49E-10
40199_at	Msh homeo box homologue 1 (Drosophila)	MSX1	2.55E-10
215_g_at	NA	NA	0.0000023
37706_at	Golgi apparatus protein 1	GLG1	0.00000005
1251_g_at	RAP1, GTPase activating protein 1	RAP1GA1	0.00000007
1737_s_at	Insulin-like growth factor binding protein 4	IGFBP4	0.00000007
39781_at	NA	NA	3.60E-09
39428_at	Lymphocyte adaptor protein	LNK	0.00000021
40297_at	Six transmembrane epithelial antigen of the prostate	STEAP	0.0000004
35305_at	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	XPNPEP1	0.00000047
37416_at	Ras homologue gene family, member H	ARHH	0.00000086
39049_at	Chromosome 6 open reading frame 9	C6orf9	0.0000012
32225_at	ATPase, Na+/K+ transporting, A 1 polypeptide	ATP1A1	0.0000018
39751_at	Zinc finger, DHHC domain containing 3	ZDHHC3	0.0000025
36330_at	Cysteine conjugate-beta lyase; cytoplasmic	CCBL1	0.0000029
37861_at	CD1E antigen, e polypeptide	CD1E	0.000005
38151_at	Loss of heterozygosity, 11, chromosomal region 2, gene A	LOH11CR2A	0.0000086
32598_at	NEL-like 2 (chicken)	NELL2	0.0000087
38418_at	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	CCND1	0.000011
2020_at	NA	NA	0.000016
2017_s_at	NA	NA	0.000053
32331_at	Adenylate kinase 3	AK3	0.00026
642_s_at	Presenilin 1 (Alzheimer disease 3)	PSEN1	0.00045
39376_at	Homeodomain interacting protein kinase 1-like protein	Nbak2	0.00055
40810_at	SWI/SNF-related, matrix-associated, subfamily c, member 1	SMARCC1	0.00061
38017_at	CD79A antigen (immunoglobulin-associated a)	CD79A	4.52E-13
31432_g_at	Fc fragment of IgG, receptor, transporter, A	FCGRT	4.14E-11
31431_at	NA	NA	4.40E-11
37863_at	Early growth response 2 (Krox-20 homologue, Drosophila)	EGR2	3.92E-10
38354_at	CCAAT/enhancer-binding protein (C/EBP), beta	CEBPB	3.73E-09
36567_at	NA	NA	0.00000002
