Gene name	Description	8 hours	24 hours	Function
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	11.9	10.6	Cell cycle/cell proliferation control
FSTL3	Follistatin-like 3 (secreted glycoprotein)	3.1	3.2	Cell cycle/cell proliferation control
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	4	NA	Cell cycle/cell proliferation control
TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250 kDa	3.7	NA	Cell cycle/cell proliferation control
CNK	Cytokine-inducible kinase	NA	7.2	Cell cycle/cell proliferation control
FRAP1	FK506 binding protein 12-rapamycin associated protein 1	NA	4.2	Cell cycle/cell proliferation control
CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2	NA	4.2	Cell cycle/cell proliferation control
NDN	Necdin homologue (mouse)	NA	3.9	Cell cycle/cell proliferation control
PPP6C	Serine/threonine phosphatase catalytic subunit	NA	3.5	Cell cycle/cell proliferation control
RECK	Reversion-inducing-cysteine-rich protein with kazal motifs	NA	0.3	Cell cycle/cell proliferation control
PTPN6	Protein tyrosine phosphatase, nonreceptor type 6	NA	4	Apoptosis
TRAF2	TNF receptor-associated factor 2	NA	3.8	Apoptosis
PLAB	Prostate differentiation factor	NA	3.7	Apoptosis
SPTAN1	Spectrin, ?, nonerythrocytic 1 (?-fodrin)	NA	3.3	Apoptosis
SERPINB6	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	NA	3.6	Apoptosis
MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	NA	0.3	Apoptosis
BCL2	B-cell CLL/lymphoma 2	NA	0.3	Apoptosis
STC2	Stanniocalcin 2	NA	4.4	Signaling pathways
RGS19IP1	Regulator of G-protein signalling 19 interacting protein 1	NA	3.3	Signaling pathways
MAP3K11	Mitogen-activated protein kinase kinase kinase 11	NA	3.2	Signaling pathways
AKT2	v-akt murine thymoma viral oncogene homologue 2	NA	3.2	Signaling pathways
PIK4CB	Phosphatidylinositol 4-kinase, catalytic, beta polypeptide	NA	3.2	Signaling pathways
MAPKAPK5	Mitogen-activated protein kinase-activated protein kinase 5	NA	3.2	Signaling pathways
RPS6KB2	Ribosomal protein S6 kinase, 70 kDa, polypeptide 2	NA	3.1	Signaling pathways
PTK9L	PTK9L protein tyrosine kinase 9-like (A6-related protein)	NA	3.1	Signaling pathways
MGMT	O-6-methylguanine-DNA methyltransferase	NA	6.1	DNA repair
MPG	N-methylpurine-DNA glycosylase	NA	4.9	DNA repair
C11orf13	Chromosome 11 open reading frame 13	NA	4	DNA repair
DDB2	Damage-specific DNA binding protein 2, 48 kDa	NA	3.8	DNA repair
TGIF	TGFB-induced factor (TALE family homeobox)	4.3	NA	Transcription/chromatin remodeling
POLRMT	Polymerase (RNA) mitochondrial (DNA directed)	3.8	NA	Transcription/chromatin remodeling
SUPT6H	Suppressor of Ty 6 homologue (S. cerevisiae)	3.5	NA	Transcription/chromatin remodeling
REL	v-rel reticuloendotheliosis viral oncogene homologue (avian)	3.5	NA	Transcription/chromatin remodeling
TNKS1BP1	Tankyrase 1 binding protein 1, 182 kDa	NA	4.6	Transcription/chromatin remodeling
CGI-18	CGI-18 protein	NA	4.2	Transcription/chromatin remodeling
ZNF385	Zinc finger protein 385	NA	3.9	Transcription/chromatin remodeling
SREBF2	Sterol regulatory element binding transcription factor 2	NA	3.4	Transcription/chromatin remodeling
CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase 1	NA	3.3	Transcription/chromatin remodeling
E4F1	E4F transcription factor 1	NA	3	Transcription/chromatin remodeling
IRX5	Iroquois homeobox protein 5	NA	0.3	Transcription/chromatin remodeling
HESX1	Homeobox (expressed in ES cells) 1	NA	0.3	Transcription/chromatin remodeling
RNU3IP2	RNA, U3 small nucleolar interacting protein 2	3.8	NA	RNA processing/protein modification and turnover
RABGGTA	Rab geranylgeranyltransferase, ? subunit	NA	3.8	RNA processing/protein modification and turnover
BZRP	Benzodiazapine receptor (peripheral)	4	NA	Receptor/signal transduction
GPC1	Glypican 1	3.3	NA	Receptor/signal transduction
RAMP1	Receptor (calcitonin) activity modifying protein 1	NA	4.9	Receptor/signal transduction
MTVR1	Mouse mammary turmor virus receptor homologue 1	NA	4.5	Receptor/signal transduction
CD40	Tumor necrosis factor receptor superfamily, member 5 (TNFRSF5)	NA	4.5	Receptor/signal transduction
PL6	Placental protein 6	NA	3.3	Receptor/signal transduction
ADORA2B	Adenosine A2b receptor	NA	3.2	Receptor/signal transduction
TETRAN	Tetracycline transporter-like protein	4.2	NA	Transporters
STX8	Syntaxin 8	NA	4.3	Transporters
SLC12A3	Solute carrier family 12 (sodium/chloride transporters), member 3	NA	3.9	Transporters
EVER1	Epidermodysplasia verruciformis 1	NA	3.6	Transporters
PEX10	Peroxisome biogenesis factor 10	NA	3.5	Transporters
SLC9A3R2	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 2	NA	3.4	Transporters
AP4M1	Adaptor-related protein complex 4, ? 1 subunit	NA	3.4	Transporters
SCNN1A	Sodium channel, nonvoltage-gated 1 ?	NA	3	Transporters
SLC35D2	Solute carrier family 35, member D2	NA	3.3	Transporters
COX8	Cytochrome c oxidase subunit VIII	3.9	NA	Oxidoreductase activity
FDXR	Ferredoxin reductase	NA	4.7	Oxidoreductase activity
LEPREL2	Leprecan-like 2 protein	NA	4.2	Oxidoreductase activity
GPX2	Glutathione peroxidase 2 (gastrointestinal)	NA	3.3	Oxidoreductase activity
H105E3	NAD(P) dependent steroid dehydrogenase-like	NA	3.2	Oxidoreductase activity
RDH10	Retinol dehydrogenase 10 (all-trans)	NA	0.3	Oxidoreductase activity
CTBS	Chitobiase, di-N-acetyl-	6.4	8.7	Metabolism
CTSS	Cathepsin S	NA	4.1	Metabolism
TST	Thiosulfate sulfurtransferase (rhodanese)	NA	3.8	Metabolism
MAN1B1	Mannosidase, ?, class 1B, member 1	NA	3.7	Metabolism
FDFT1	Farnesyl-diphosphate farnesyltransferase 1	NA	3.7	Metabolism
DPYSL3	Dihydropyrimidinase-like 3	NA	3.6	Metabolism
CYP1A1	Cytochrome P450, family 1, subfamily A, polypeptide 1	NA	3.6	Metabolism
SGSH	N-sulfoglucosamine sulfohydrolase (sulfamidase)	NA	3.3	Metabolism
PYGB	Phosphorylase, glycogen; brain	NA	3.3	Metabolism
PEPD	Peptidase D	NA	3.2	Metabolism
GYG	Glycogenin	NA	3.1	Metabolism
ALDH6A1	Aldehyde dehydrogenase 6 family, member A1	NA	3	Metabolism
LMAN2	Lectin, mannose-binding 2	3.9	NA	Cell adhesion
NINJ1	Ninjurin 1	NA	4.1	Cell adhesion
ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NA	3.5	Cell adhesion
CLC	Charot-Leyden crystal protein	NA	3.3	Cell adhesion
PCM1	Pericentriolar material 1	3.8	NA	Cytoskeleton/structural molecule
ABLIM1	Actin binding LIM protein 1	3.8	NA	Cytoskeleton/structural molecule
BICD1	Bicaudal D homologue 1 (Drosophila)	3.1	NA	Cytoskeleton/structural molecule
EVPL	Envoplakin	NA	3.4	Cytoskeleton/structural molecule
INA	Internexin neuronal intermediate filament protein, ?	NA	3.3	Cytoskeleton/structural molecule
HSRTSBETA	rTS beta protein	NA	4.2	Tumorigenesis
PLAU	Plasminogen activator, urokinase	NA	3.6	Tumorigenesis
KLK10	Kallikrein 10	NA	3.2	Tumorigenesis
EPHA2	EphA2	NA	3.3	Tumorigenesis
