Unigene	Gene symbol	Title
Hs.86947	ADAM8	Adisintegrinandmetalloproteinasedomain8
Hs.821	BGN	Biglycan
Hs.7327	CLDN1	Claudin1
Hs.408864	DAF	Decayacceleratingfactorforcomplement(CD55)
Hs.171596	EPHA2	EphA2
Hs.438862	EPS8L1	EPS8-like1
Hs.390567	FYN	FYNoncogenerelatedtoSRC,FGR,YES
Hs.169946	GATA3	GATA-bindingprotein3
Hs.74576	GDI1	GDPdissociationinhibitor1
Hs.24049	GOLGA2	Golgiautoantigen,golginsubfamilyA,2
Hs.2178	HIST2H2BE	Histone2,H2be
Hs.3618	HPCAL1	Hippocalcin-like1
Hs.40968	HS3ST1	Heparansulfate(glucosamine)3-O-sulfotransferase1
Hs.727	INHBA	Inhibin,hA(activinA,activinABapolypeptide)
Hs.149846	ITGB5	Integrin,h5
Hs.376874	KCNK1	Potassiumchannel,subfamilyK,member1
Hs.436983	LAMB3	Lamininh3
Hs.204238	LCN2	Lipocalin2(oncogene24p3)
Hs.79299	LHFPL2	LipomaHMGICfusionpartner–like2
Hs.3844	LMO4	LIMdomainonly4
Hs.2399	MMP14	Matrixmetalloproteinase14(membraneinserted)
Hs.364345	NNMT	NicotinamideN-methyltransferase
Hs.423	PAP	Pancreatitis-associatedprotein
Hs.79769	PCDH1	Protocadherin1(cadherin-like1)
Hs.82101	PHLDA1	Pleckstrinhomology-likedomain,familyA,member1
Hs.81170	PIM1	Pim-1oncogene
Hs.179657	PLAUR	Plasminogenactivator,urokinasereceptor
Hs.96	PMAIP1	Phorbol-12-myristate-13-acetate–inducedprotein1
Hs.2499	PRKCL1	ProteinkinaseC–like1
Hs.438582	PRNP	Prionprotein(p27-30;Creutzfeld-Jakobdisease,Gerstmann-Strausler-Scheinker syndrome,fatalfamilialinsomnia)
Hs.511525	PRSS2	Protease,serine,2(trypsin2)
Hs.146688	PTGES	ProstaglandinEsynthase
Hs.227777	PTP4A1	ProteintyrosinephosphatasetypeIVA,member1
Hs.194691	RAI3	Retinoicacidinduced3
Hs.21858	SERPINE2	Serine(orcysteine)proteinaseinhibitor,cladeE(nexin,plasminogenactivator inhibitortype1),member2
Hs.235782	SLC21A12	Solutecarrierfamily21(organicaniontransporter),member12
Hs.410977	TAGLN	Transgelin
Hs.446641	TIMP1	Tissueinhibitorofmetalloproteinase1(erythroidpotentiatingactivity)
Hs.83883	TMEPAI	Transmembrane,prostateandrogen-inducedRNA
Hs.278896	UGT1A10	UDPglycosyltransferase1family,polypeptideA10
Hs.26077	WFS1	Wolframsyndrome1(wolframin)
Hs.82109	SDC1	Syndecan-1
