Genbank accession no.	Description	Symbol	Fold change	Gene ontology
NM_020300	Microsomal glutathione S-transferase 1	MGST1	17.65	prostaglandin metabolism
NM_005127	C-type lectin, superfamily member 2	CLECSF2	15.22	lectin
NM_002446	Mitogen-activated protein kinase kinase kinase 10	MAP3K10	14.39	signal transduction
NM_000224	Keratin 18	KRT18	13.61	cytoskeleton organization and biogenesis
NM_000321	Retinoblastoma 1	RB1	12.93	cell cycle checkpoint
NM_001444	Fatty acid binding protein 5	FABP5	11.66	negative control of cell proliferation
NM_001946	Dual specificity phosphatase 6	DUSP6	11.52	protein dephosphorylation
NM_002224	Inositol 1,4,5-triphosphate receptor, type 3	ITPR3	11.43	signal transduction
NM_007283	Lysophospholipase-like	MGLL	10.94	lipid metabolism
NM_002771	Protease, serine, 3	PRSS3	10.57	proteolysis and peptidolysis
NM_004207	Solute carrier family 16, member 3	SLC16A3	10.04	transport
NM_004425	Extracellular matrix protein 1	ECM1	9.99	DNA packaging
NM_005397	Podocalyxin-like	PODXL	9.35	cation transport
NM_007069	Similar to rat HREV107	HRASLS3	8.99	negative control of cell proliferation
NM_020200	HHGP protein	HHGP	8.25	purine salvage
NM_004657	Serum deprivation response	SDPR	8.13	cell cycle
AF027205	Kunitz-type protease inhibitor	SPINT2	8.12	cell motility
NM_002276	Keratin 19	KRT19	7.88	cytoskeleton organization and biogenesis
NM_003687	LIM domain protein	RIL	7.68	oxidative stress response
NM_016445	Pleckstrin 2 homolog	PLEK2	7.40	calcium binding
AK024648	cDNA: FLJ20995 fis	MGC11034	7.18	ion transport
AK025273	cDNA: FLJ21620 fis	EGLN3	6.75	apoptosis
NM_001458	Gamma filamin	FLNC	6.70	actin binding
AF055033	Clone 24645 insulin-like growth factor binding protein	IGFBP5	6.65	signal transduction
NM_014391	Cardiac ankyrin repeat protein	CARP	6.42	transcription regulation from Pol II promoter
NM_019601	Sushi domain containing	BK65A6.2	6.25	cell adhesion
NM_002769	Protease, serine, 1	PRSS1	6.20	proteolysis and peptidolysis
AK024697	cDNA: FLJ21044 fis	RBIG1	6.12	cell adhesion
NM_018222	Hypothetical protein FLJ10793	PARVA	6.09	cytoskeletal anchoring
NM_003781	UDP-Gal:betaGlcNAc  beta 1,3-galactosyltransferase, polypeptide 3	B3GALT3	6.05	protein glycosylation
NM_005504	Branched chain aminotransferase 1, cytosolic	BCAT1	6.02	amino acid metabolism
NM_004877	Glia maturation factor-gamma	GMFG	5.87	protein phosphorylation
