Rank	Gene title	Gene symbol	Fold change
1	Ig lambda variable 2	IGLV2	108.84
2	Hypothetical protein MGC29506	MGC29506	64
3	Ig kappa light chain precursor, variable and constant regions	IGK	59.96
4	Ig kappa-chain VK-1 (IgK) mRNA	IGKV	55.3
5	Ig kappa variable	IGKV	52.1
6	Ig lambda locus	IGL locus	49.7
7	Ig kappa chain variable region	IGKV	48.73
8	Keratin 19	KRT19	47.8
9	g kappa locus	IGK locus	46.85
10	Aldo-keto reductase family 1, member B10 (aldose reductase)	AKR1B10	45.67
11	Ig lambda-like polypeptide 3	IGLL3	43.88
12	POU class 2 associating factor 1	POU2AF1	41.25
13	Similar to Ig kappa chain V-I region HK102 precursor	LOC652493	38.19
14	Hypothetical protein MGC29506	MGC29506	35.55
15	Ig lambda locus	IGL locus	35.16
16	Ig heavy locus	IGH locus	33.43
17	Ig lambda locus	IGL locus	32.23
18	Chemokine (C-C motif) ligand 5	CCL5	30.7
19	Major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1	29.94
20	Ig lambda light chain	IGL	28.83
21	CD52 molecule	CD52	27
22	Ig heavy chain	IGH	26.88
23	Ig kappa constant	IGKC	26.7
24	Hypothetical LOC645784	FLJ40330	26.65
25	Tumor necrosis factor receptor superfamily, member 17	TNFRSF17	26.14
26	Granzyme B (granzyme 2, cytotoxic T lymphocyte-associated serine esterase 1)	GZMB	25.87
27	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	CCL18	25.78
28	Ig lambda joining 3	IGL locus	25.71
29	Ig lambda locus	IGL locus	25.08
30	Collagen, type I, alpha 1	COL1A1	24.12
31	Fc receptor-like 5	FCRL5	23.66
32	Chemokine (C-C motif) ligand 5	CCL5	23.21
33	Granulysin	GNLY	23.04
34	Ig heavy locus	IGH locus	22.37
35	SLAM family member 7	SLAMF7	21.71
36	Ig heavy chain	IGH	21.35
37	Granzyme A (granzyme 1, cytotoxic T lymphocyte-associated serine esterase 3)	GZMA	20.14
38	Ig lambda joining 3	IGL locus	20.02
39	Glycoprotein (transmembrane) nmb	GPNMB	19.98
40	FYN binding protein (FYB-120/130)	FYB	19.94
41	CD74 molecule, major histocompatibility complex, class II invariant chain	CD74	19.6
42	Keratin 7	KRT7	19.48
43	Fc receptor-like 5	FCRL5	18.85
44	Ig heavy constant mu	IGHM	18.75
45	Complement component 1, q subcomponent, A chain	C1QA	18.39
46	Ig lambda locus	IGL locus	18.26
47	Ig kappa chain	IGK	18.02
48	T cell receptor beta constant 1	TRBC1	18
49	Major histocompatibility complex, class II, DQ beta 1	HLA-DQB1	17.91
50	Complement component 1, q subcomponent, B chain	C1QB	17.31
