Probe ID	Gene ID	Symbol	Gene description	FC	CorrectedP ‡	P §
217165_x_at	4494	MT1F	Metallothionein 1F	1.8	0.1486	2.72 × 10?4
206461_x_at	4496	MT1H	Metallothionein 1H	1.7	0.0633	1.74 × 10?5
212185_x_at	4502	MT2A	Metallothionein 2A	1.7	0.1261	8.05 × 10?5
208581_x_at	4501	MT1X	Metallothionein 1X	1.7	0.1468	2.24 × 10?4
212907_at	7779	SLC30A1	Solute carrier family 30 (zinc transporter)	1.6	0.0512	5.77 × 10?6
205097_at	1836	SLC26A2	Solute carrier family 26 (sulfate transporter)	1.5	0.1096	5.21 × 10?5
204745_x_at	4495	MT1G	Metallothionein 1G	1.5	0.1486	3.18 × 10?4
224941_at	5069	PAPPA	Pregnancy-associated plasma protein A	?1.6	0.0192	7.03 × 10?7
224840_at	2289	FKBP5	FK506 binding protein 5	2.2	0.1187	5.38 × 10?5
213629_x_at	4494	MT1F	Metallothionein 1F	1.9	0.1367	5.35 × 10?4
217165_x_at	4494	MT1F	Metallothionein 1F	1.8	0.1433	6.74 × 10?4
212907_at	7779	SLC30A1	Solute carrier family 30 (zinc transporter)	1.6	0.1187	8.35 × 10?5
226350_at	1122	CHML	Choroideremia-like (Rab escort protein 2)	1.5	0.1325	2.12 × 10?4
222529_at	51312	SLC25A37	Solute carrier family 25, member 37	?2.5	0.1407	5.84 × 10?4
200800_s_at	3303	HSPA1A	heat shock 70 kDa protein 1A	?2.1	0.1354	3.14 × 10?4
202499_s_at	6515	SLC2A3	Solute carrier family 2 (glucose transporter)	?2.0	0.1187	5.28 × 10?5
207966_s_at	2734	GLG1	Golgi apparatus protein 1	?1.8	0.1456	8.07 × 10?4
223161_at	57189	KIAA1147	KIAA1147	?1.8	0.1325	1.99 × 10?4
227484_at	NA	NA	CDNA FLJ41690 fis, clone HCASM2009405	?1.7	0.1187	1.08 × 10?4
242121_at	51132	RNF12	ring finger protein 12	?1.6	0.1354	3.02 × 10?4
201454_s_at	9520	NPEPPS	Aminopeptidase puromycin sensitive	?1.6	0.1456	7.56 × 10?4
200998_s_at	10970	CKAP4	Cytoskeleton-associated protein 4	?1.6	0.1276	1.63 × 10?4
211962_s_at	677	ZFP36L1	Zinc finger protein 36, C3H type-like 1	?1.5	0.1325	2.13 × 10?4
