Gene name	Gene description	n-fold change	Log2change
SDCBP	Syndecan binding protein (syntenin, melanoma differentiation-associated protein 9-MDA; pro-TGF-? cytoplasmic domain-interacting protein 18; scaffold protein Pbp1)	2.7555	6.753
CHN1	Chimerin 1 (GTPase-activating protein, ?, 2); n-chimerin	1.523	2.874
PMP22	Peripheral Myelin Protein 22 (growth arrest-specific 3)	1.505	2.838
S100A10	S100 calcium binding protein A10 [Annexin II ligand, calpactin I, light polypeptide (p11)]	1.491	2.811
ENC1	Ectodermal-neural cortex (with BTB-like domain). Other designations: nuclear restricted protein, BTB domain-like (brain); tumor protein p53 inducible protein 10	1.4115	2.66
EMP1	Epithelial membrane protein 1	1.403	2.645
SEPP1	Selenoprotein P, plasma 1	1.394	2.628
MASA	L1 neuronal cell adhesion molecule, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs)	1.278	2.425
PTPRZ1	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	1.255	2.387
MITF	Microphthalmia-associated transcription factor	1.2505	2.379
MAGEA6	Melanoma antigen family A, 6	1.2075	2.309
AKT1S1	AKT1 substrate 1 (proline-rich)	1.1705	2.251
CD63	Melanoma 1 antigen	1.141	2.205
MAL	Mal, T-cell differentiation protein	1.138	2.201
KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homologue, C-Kit, CD117, PBT, SCFR	1.123	2.178
APLP2	Amyloid ? (A4) precursor-like protein 2	1.069	2.098
PDGFRA	Platelet-derived growth factor receptor, ? polypeptide	1.055	2.078
ALS4	Amyotrophic lateral sclerosis 4	1.053	2.075
PCDH9	Protocadherin 9	?1.2295	?2.345
CDH10	Cadherin 10 type 2 (T2-cadherin)	?1.2615	?2.397
NTF5	Neurotrophin 5 (neurotrophin 4/5)	?1.791	?3.461
OLIG2	Oligodendrocyte lineage transcription factor 2	?1.9555	?3.879
