GenBank	Gene	Gene Symbol	Fold change	Function
NM_004387	Cardiac-specific homeo box	NKX2-5	?5.035	Transcriptional regulators
NM_002096	General transcription factor IIF, polypeptide 1 (74kDa subunit)	GTF2F1	2.454	Transcriptional regulators
NM_002699	POU domain, class 3, transcription factor 1	POU3F1	?5.988	Transcriptional regulators
NM_006195	Pre-B-cell leukaemia transcription factor 3	PBX3	?4.179	Transcriptional regulators
NM_001274	CHK1 (checkpoint, S. pombe) homologue	CHEK1	?4.252	Cell cycle
NM_001259	Cyclin-dependent kinase 6	CDK6	?3.048	Cell cycle
NM_005102	Fasciculation and elongation protein zeta 2 (zygin II)	FEZ2	?4.284	Cell adhesion
NM_203487	Protocadherin 9	PCDH9	?39.152	Cell adhesion
NM_007008	Reticulon 4	RTN4	?3.834	Cell adhesion
NM_006432	Niemann-Pick disease, type C2	NPC2	?2.310	Extracellular transport proteins
NM_002305	Lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	?3.546	Extracellular transport proteins
NM_006875	pim-2 oncogene	PIM2	?2.601	Oncogenes and tumour suppressors
NM_000321	Retinoblastoma 1 (including osteosarcoma)	RB1	?3.858	Oncogenes and tumour suppressors
NM_004985	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homologue	KRAS2	?4.211	Oncogenes and tumour suppressors
Y00371	Heat shock 70kDa protein 8	HSPA8	?2.373	Stress response proteins
NM_000454	Superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1, adult)	SOD1	?2.478	Stress response proteins
NM_001689	ATP synthase, H + transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	ATP5G3	?3.717	Membrane channels and transporters
NM_000593	ATP-binding cassette, subfamily B (MDR/TAP), member 2	TAP1	3.816	Membrane channels and transporters
NM_001283	Adaptor-related protein complex 1, sigma 1 subunit	AP1S1	3.571	Trafficking and targeting proteins
NM_004835	Angiotensin receptor 1B	AGTR1	?3.288	Trafficking and targeting proteins
NM_007033	Similar to S. cerevisiae RER1	RER1	?3.633	Trafficking and targeting proteins
