Probe ID	Gene symbol	Gene title	Relative expression	P-value
34035_at	SLC10A1	Solute carrier family 10, member 1	0.97	0.0002
35961_at	—	cDNA DKFZp586O1318	-0.86	0.0003
34201_at	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	1.37	0.0003
40521_at	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	-1.01	0.0003
32551_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.89	0.0003
35726_at	S100A2	S100 calcium-binding protein A2	1.26	0.0003
40014_at	SEMA6C	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1.93	0.0006
36983_f_at	CXCL2	Chemokine (C-X-C motif) ligand 2	0.92	0.001
33077_at	SDK1	Sidekick homolog 1 (chicken)	1.35	0.0011
36773_f_at	HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1	-0.79	0.0013
36643_at	DDR1	Discoidin domain receptor family, member 1	-0.7	0.0013
36124_at	MPST	Mercaptopyruvate sulfurtransferase	2.99	0.0013
34699_at	CD2AP	CD2-associated protein	-0.69	0.0013
34620_at	PAX5	Paired box gene 5 (B-cell lineage-specific activator)	1.02	0.0015
39997_at	PFC	Properdin P factor, complement	1.55	0.0018
32528_at	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	2.16	0.0018
36000_at	CREBL1	cAMP-responsive element-binding protein-like 1	1.17	0.002
35809_g_at	SFRS6	Splicing factor, arginine/serine-rich 6	-2.14	0.0024
1652_at	PIM2	Pim-2 oncogene	-1.07	0.0025
35028_at	GABRB1	Gamma-aminobutyric acid (GABA) A receptor, beta 1	0.92	0.0026
603_at	NR2C1	Nuclear receptor subfamily 2, group C, member 1	-0.71	0.0027
1550_at	MRPL28	Mitochondrial ribosomal protein L28	-0.76	0.0028
41854_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	-0.83	0.003
40751_at	C19orf36	Chromosome 19 open reading frame 36	0.94	0.0032
32297_s_at	KLRC1	Killer cell lectin-like receptor subfamily C, member 1	1.15	0.0032
1352_at	IL8RA	Interleukin 8 receptor, alpha	1.1	0.0033
34892_at	TNFRSF10B	Tumor necrosis factor receptor superfamily, member 10b	-0.74	0.0033
41705_at	RFNG	Radical fringe homolog (Drosophila)	1.34	0.0034
38108_at	PPT2	Palmitoyl-protein thioesterase 2	-0.97	0.0041
32391_g_at	LOC388714	Similar to Putative dimethylaniline monooxygenase (N-oxide forming) 6 (FMO 6)	1.38	0.0042
35875_at	SGPL1	Sphingosine-1-phosphate lyase 1	1.01	0.0045
32658_at	VPS52	Vacuolar protein-sorting 52 (yeast)	-3	0.0046
34490_f_at	FSCN2	Fascin homolog 2, actin-bundling protein, retinal	-0.77	0.0047
1920_s_at	CCNG1	Cyclin G1	-1.13	0.0049
31315_at	IGLC2	Immunoglobulin lambda variable 3-21	-0.7	0.0049
1913_at	CCNG2	Cyclin G2	-1.46	0.005
38241_at	BTN3A3	Butyrophilin, subfamily 3, member A3	-0.9	0.0052
278_at	NPR2	Natriuretic peptide receptor B/guanylate cyclase B	1.09	0.0056
40460_s_at	ACOX1	Acyl-coenzyme A oxidase 1, palmitoyl	-1.02	0.0057
32750_r_at	FLNA	Filamin A, alpha (actin-binding protein 280)	2.78	0.006
37610_at	FLJ10803	Hypothetical protein FLJ10803	-1.25	0.006
32440_at	RPL17	Ribosomal protein L17	2.89	0.0063
31987_at	—	cDNA DKFZp564G103	0.9	0.0064
34570_at	RPS27A	Ribosomal protein S27a	2.42	0.0069
32647_at	VTI1B	Vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.65	0.0069
41452_at	ZFP95	Zinc-finger protein 95 homolog (mouse)	1.2	0.007
32038_s_at	SRP46	Splicing factor, arginine/serine-rich, 46 kD	-0.77	0.0071
41260_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	-0.86	0.0074
37943_at	ZFYVE26	Zinc finger, FYVE domain containing 26	-0.92	0.0075
1130_at	MAP2K1	Mitogen-activated protein kinase kinase 1	2.89	0.0076
37763_at	RXRB	Retinoid X receptor, beta	-0.91	0.0076
34199_at	SEC24A	SEC24-related gene family, member A (S. cerevisiae)	-0.77	0.0078
40435_at	SLC25A6	Solute carrier family 25, member 6	3.08	0.0079
33089_s_at	EFNA2	Ephrin-A2	1.14	0.008
40791_at	POLR2A	RNA polymerase II (220 kD)	1.94	0.008
2017_s_at	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	-0.92	0.008
31488_s_at	PGK1	Phosphoglycerate kinase 1	2.05	0.008
2053_at	CDH2	Cadherin 2, type 1, N-cadherin (neuronal)	-0.83	0.0082
32170_g_at	FBXO21	F-box protein 21	-0.9	0.0083
38100_at	TLOC1	Translocation protein 1	-0.73	0.0083
37791_at	—	—	0.77	0.0084
39969_at	HIST1H4C	Histone 1, H4c	1.93	0.0085
34581_s_at	EPB41	Erythrocyte membrane protein band 4.1	0.82	0.0085
37531_at	TBC1D5	TBC1 domain family, member 5	-0.94	0.0088
920_at	—	—	-0.73	0.009
41178_at	RPL11	Ribosomal protein L11	3.11	0.0095
1189_at	CDK8	Cyclin-dependent kinase 8	-0.8	0.0095
37950_at	PREP	Prolyl endopeptidase	-1.18	0.0098
