Probe Set	Symbol	SAM Score
1565951_s_at	CHML	4.86
235117_at	LOC494143	4.50
208910_s_at	C1QBP	4.45
214773_x_at	TIPRL	4.32
204071_s_at	TOPORS	4.28
203198_at	CDK9	4.26
209424_s_at	AMACR	4.22
1557765_at	LOC340109	4.14
201486_at	RCN2	4.13
203886_s_at	FBLN2	4.11
226760_at	LOC203411	4.10
221727_at	PC4	4.06
202475_at	NIFIE14	4.00
219029_at	FLJ21657	3.99
1555225_at	C1orf43	3.99
1555226_s_at	C1orf43	3.97
214484_s_at	OPRS1	3.96
1560316_s_at	GLCCI1	3.94
201873_s_at	ABCE1	3.86
201461_s_at	MAPKAPK2	3.85
228620_at	PRKRA	3.80
212846_at	KIAA0179	3.80
225260_s_at	MRPL32	3.77
215050_x_at	MAPKAPK2	3.74
207396_s_at	ALG3	3.73
217398_x_at	GAPDH	3.73
223223_at	ARV1	3.73
234672_s_at	TMEM48	3.70
210480_s_at	MYO6	3.70
223046_at	EGLN1	3.70
235103_at	MAN2A1	3.69
223804_s_at	THUMPD3	3.69
219481_at	TTC13	3.68
225805_at	HNRPU	3.66
230795_at	HIST1H4D	3.66
227109_at	CYP2R1	3.66
226784_at	TWISTNB	3.66
224713_at	MKI67IP	3.63
229804_x_at	CBWD1	3.62
232392_at	SFRS3	3.61
224654_at	DDX21	3.61
208490_x_at	HIST1H2BF	3.60
222673_x_at	TMEM57	3.60
235384_at	NUDT19	3.60
224436_s_at	NIPSNAP3A	3.59
213188_s_at	MINA	3.59
228324_at	C9orf41	3.59
212789_at	hCAP-D3	3.57
229785_at	KRIT1	3.55
217777_s_at	HSPC121	3.54
202069_s_at	IDH3A	3.54
224714_at	MKI67IP	3.53
226752_at	UNQ1912	3.53
1569454_a_at	LOC283352	3.52
203235_at	THOP1	3.49
233952_s_at	ZNF295	3.48
225699_at	LOC285958	3.47
225734_at	FBXO22	3.44
1558254_s_at	SRPK2	3.44
212417_at	SCAMP1	3.44
244631_at	LOC389834	3.44
218837_s_at	UBE2D4	3.43
225223_at	SMAD5	3.43
212907_at	SLC30A1	3.42
1558755_x_at	ZNF440L	3.42
225317_at	ACBD6	3.42
212536_at	ATP11B	3.41
223649_s_at	CGI-69	3.39
229846_s_at	MAPKAP1	3.39
222204_s_at	RRN3	3.38
235039_x_at	LIN9	3.38
227211_at	PHF19	3.38
218052_s_at	ATP13A1	3.36
230766_at	NA	3.36
204928_s_at	SLC10A3	3.36
200730_s_at	PTP4A1	3.36
203622_s_at	LOC56902	3.35
222280_at	GAPDS	3.35
202422_s_at	ACSL4	3.35
201177_s_at	UBA2	3.35
203216_s_at	MYO6	3.35
218009_s_at	PRC1	3.34
1564651_at	LOC221710	3.34
201326_at	CCT6A	3.33
212574_x_at	C19orf6	3.33
204900_x_at	SAP30	3.32
238761_at	MED28	3.32
218270_at	MRPL24	3.31
222794_x_at	PAPD1	3.31
203480_s_at	HSHIN1	3.31
221156_x_at	CCPG1	3.30
200910_at	CCT3	3.30
1555790_a_at	ZFPL	3.29
228366_at	PPA2	3.29
202904_s_at	LSM5	3.29
230560_at	STXBP6	3.27
244103_at	C1orf55	3.26
231530_s_at	C11orf1	3.26
208965_s_at	IFI16	3.25
201824_at	RNF14	3.25
201458_s_at	BUB3	3.25
222147_s_at	ACTR5	3.25
1555730_a_at	CFL1	3.25
226558_at	ANKRD20B	3.24
201485_s_at	RCN2	3.24
211747_s_at	LSM5	3.24
227246_at	NA	3.23
204602_at	DKK1	3.23
235109_at	ZBED3	3.22
221207_s_at	NBEA	3.22
223073_at	HIATL1	3.22
203360_s_at	MYCBP	3.21
207508_at	ATP5G3	3.21
225625_at	MGC90512	3.21
228822_s_at	USP16	3.21
227124_at	NA	3.18
200692_s_at	HSPA9B	3.18
203203_s_at	HRB2	3.18
201456_s_at	BUB3	3.18
201595_s_at	LEREPO4	3.17
212038_s_at	VDAC1	3.17
209147_s_at	PPAP2A	3.17
208308_s_at	GPI	3.17
218027_at	MRPL15	3.17
201013_s_at	PAICS	3.17
224619_at	CASC4	3.16
218073_s_at	TMEM48	3.16
202541_at	SCYE1	3.16
225580_at	MRPL50	3.15
211070_x_at	DBI	3.15
213355_at	ST3GAL6	3.15
235032_at	DNAJA5	3.14
207564_x_at	OGT	3.14
202708_s_at	HIST2H2BE	3.14
215071_s_at	HIST1H2AC	3.13
203560_at	GGH	3.12
214290_s_at	HIST2H2AA	3.11
226193_x_at	CBWD1	3.11
225361_x_at	LOC159090	3.11
227288_at	NA	3.10
200737_at	PGK1	3.10
219366_at	AVEN	3.10
221669_s_at	ACAD8	3.10
209398_at	HIST1H1C	3.09
239609_s_at	LOC254531	3.09
200968_s_at	PPIB	3.08
230298_at	LOC153364	3.08
221677_s_at	DONSON	3.08
221652_s_at	C12orf11	3.06
214931_s_at	SRPK2	3.06
209100_at	IFRD2	3.06
226493_at	KCTD18	3.06
201890_at	RRM2	3.06
210802_s_at	HSA9761	3.05
203362_s_at	MAD2L1	3.05
227669_at	DKFZP564B167	3.05
1553698_a_at	C1orf96	3.04
202169_s_at	AASDHPPT	3.04
213427_at	RPP40	3.04
225028_at	LOC550643	3.03
214214_s_at	C1QBP	3.03
1554455_at	LINS1	3.03
218527_at	APTX	3.03
221020_s_at	MFTC	3.03
212133_at	NIPA2	3.02
204176_at	KLHL20	3.02
235274_at	NA	3.02
203044_at	CHSY1	3.02
208523_x_at	HIST1H2BI	3.02
203182_s_at	SRPK2	3.01
212416_at	SCAMP1	3.01
225633_at	DPY19L3	3.01
228190_at	NA	3.01
204905_s_at	EEF1E1	3.01
229299_at	FLJ30596	3.01
208669_s_at	CRI1	3.01
64900_at	CHST5	3.00
1560982_at	NA	3.00
201577_at	NME1	2.99
206562_s_at	CSNK1A1	2.98
231130_at	FKBP7	2.98
211934_x_at	GANAB	2.97
219675_s_at	UXS1	2.97
218668_s_at	RAP2C	2.97
228561_at	CDC37L1	2.97
242214_at	RPS27A	2.97
235532_at	NA	2.96
215030_at	GRSF1	2.96
203427_at	ASF1A	2.95
218280_x_at	HIST2H2AA	2.95
218962_s_at	FLJ13576	2.95
224824_at	FAM36A	2.95
235168_at	NA	2.94
225737_s_at	FBXO22	2.94
227418_at	KIAA1826	2.94
217356_s_at	PGK1	2.92
1558692_at	MGC31963	2.92
201479_at	DKC1	2.92
220980_s_at	ADPGK	2.91
208864_s_at	TXN	2.91
219200_at	MGC5297	2.90
218988_at	SLC35E3	2.89
223686_at	TPK1	2.89
241734_at	SRFBP1	2.89
218590_at	PEO1	2.88
202024_at	ASNA1	2.88
212297_at	ATP13A3	2.88
222825_at	CGI-77	2.88
209267_s_at	SLC39A8	2.88
213453_x_at	GAPDH	2.88
220346_at	MTHFD2L	2.87
224723_x_at	LOC401397	2.87
1558801_at	NA	2.87
204444_at	KIF11	2.87
1556151_at	CDA08	2.86
218386_x_at	USP16	2.86
224883_at	PLDN	2.85
220954_s_at	PILRB	2.85
217790_s_at	SSR3	2.85
222154_s_at	DNAPTP6	2.85
201317_s_at	PSMA2	2.84
210370_s_at	LY9	2.83
217898_at	C15orf24	2.83
219628_at	WIG1	2.83
229235_at	NA	2.82
210275_s_at	ZA20D2	2.81
229491_at	LOC133308	2.81
209161_at	PRPF4	2.81
218512_at	WDR12	2.80
202430_s_at	PLSCR1	2.80
221568_s_at	LIN7C	2.78
220850_at	MORC1	2.78
209773_s_at	RRM2	2.77
201817_at	UBE3C	2.77
235205_at	LOC346887	2.77
238762_at	MTHFD2L	2.77
219003_s_at	MANEA	2.77
213485_s_at	ABCC10	2.76
219177_at	BXDC2	2.76
231297_at	DOT1L	2.76
242201_at	NA	2.76
223264_at	MESDC1	2.76
224523_s_at	MGC4308	2.76
217933_s_at	LAP3	2.75
203452_at	B3GAT3	2.75
201115_at	POLD2	2.75
220175_s_at	CBWD1	2.74
235907_at	TMEM33	2.74
213626_at	CBR4	2.74
224391_s_at	CSE-C	2.74
219787_s_at	ECT2	2.73
202070_s_at	IDH3A	2.73
235581_at	NA	2.72
200994_at	IPO7	2.72
222428_s_at	LARS	2.71
236193_at	HIST1H2BC	2.70
222412_s_at	SSR3	2.70
235159_at	FLJ11000	2.70
202591_s_at	SSBP1	2.69
223470_at	PIGM	2.68
218568_at	MULK	2.68
204244_s_at	ASK	2.67
208775_at	XPO1	2.67
205386_s_at	MDM2	2.67
205361_s_at	PFDN4	2.65
225904_at	C1orf96	2.64
230005_at	DKFZp313A2432	2.64
209628_at	NXT2	2.64
225916_at	ZNF131	2.63
202396_at	TCERG1	2.63
1554321_a_at	NFS1	2.63
224875_at	FLJ37562	2.63
208828_at	POLE3	2.63
212279_at	MAC30	2.63
224903_at	CIRH1A	2.63
230177_at	NA	2.62
229551_x_at	ZNF367	2.62
1556194_a_at	NA	2.62
217856_at	RBM8A	2.61
229082_at	KENAE	2.60
223243_s_at	C1orf22	2.59
209426_s_at	AMACR	2.59
223261_at	POLK	2.58
228559_at	NA	2.58
222163_s_at	SPATA5L1	2.58
201312_s_at	SH3BGRL	2.58
201624_at	DARS	2.58
208967_s_at	AK2	2.57
1555815_a_at	L3MBTL2	2.56
214835_s_at	SUCLG2	2.56
223077_at	TMOD3	2.55
1555948_s_at	C9orf10	2.55
201251_at	PKM2	2.54
223180_s_at	C18orf55	2.53
218397_at	FANCL	2.53
215954_s_at	C19orf29	2.52
225385_s_at	HNRPLL	2.52
214218_s_at	XIST	-2.50
219966_x_at	BANP	-2.52
213340_s_at	KIAA0495	-2.52
225688_s_at	PHLDB2	-2.52
202459_s_at	LPIN2	-2.53
214679_x_at	GNA11	-2.54
219049_at	ChGn	-2.55
239292_at	NA	-2.55
204164_at	SIPA1	-2.56
224693_at	C20orf108	-2.56
1570243_at	NA	-2.56
209158_s_at	PSCD2	-2.56
206150_at	TNFRSF7	-2.56
224588_at	XIST	-2.57
227917_at	NA	-2.57
243738_at	NMNAT3	-2.57
223769_x_at	HYI	-2.57
242104_at	NA	-2.57
213183_s_at	CDKN1C	-2.59
241435_at	ETS1	-2.59
228139_at	RIPK3	-2.59
208472_at	ZNFN1A4	-2.60
236494_x_at	NA	-2.61
241685_x_at	NA	-2.62
215785_s_at	CYFIP2	-2.62
219593_at	SLC15A3	-2.62
213940_s_at	FNBP1	-2.62
219062_s_at	ZCCHC2	-2.64
226497_s_at	FLT1	-2.64
220758_s_at	ROBO4	-2.64
239694_at	TRIM7	-2.64
205277_at	PRDM2	-2.65
220066_at	CARD15	-2.66
210347_s_at	BCL11A	-2.67
208779_x_at	DDR1	-2.68
232693_s_at	ZNF395	-2.70
223681_s_at	INADL	-2.70
1558794_at	NA	-2.70
243795_s_at	NA	-2.71
232511_at	RANBP2L1	-2.71
216894_x_at	CDKN1C	-2.72
212589_at	SCP2	-2.72
214677_x_at	IGL	-2.72
1555888_at	EDD	-2.73
212230_at	PPAP2B	-2.74
203823_at	RGS3	-2.74
204912_at	IL10RA	-2.74
242451_x_at	INO80	-2.74
209619_at	CD74	-2.75
213944_x_at	GNA11	-2.76
205898_at	CX3CR1	-2.76
221651_x_at	IGKC	-2.76
226459_at	PIK3AP1	-2.76
203206_at	FAM53B	-2.76
206695_x_at	ZNF43	-2.77
241944_x_at	TNFRSF1A	-2.78
202897_at	PTPNS1	-2.80
227331_at	LOC283337	-2.81
239809_at	KLF7	-2.81
231989_s_at	LOC23117	-2.81
36742_at	TRIM15	-2.81
220377_at	C14orf110	-2.82
227396_at	NA	-2.83
1566780_at	NA	-2.84
210749_x_at	DDR1	-2.85
208456_s_at	RRAS2	-2.85
205482_x_at	SNX15	-2.86
202460_s_at	LPIN2	-2.86
218032_at	SNN	-2.87
239283_at	TMED5	-2.89
235099_at	CKLFSF8	-2.89
203313_s_at	TGIF	-2.89
1556839_s_at	SPTBN5	-2.91
224795_x_at	IGKC	-2.91
201938_at	CDK2AP1	-2.91
1007_s_at	DDR1	-2.91
220989_s_at	AMN	-2.92
221671_x_at	IGKC	-2.92
228951_at	FLJ10815	-2.92
205514_at	ZNF415	-2.93
203708_at	PDE4B	-2.93
1565358_at	RARA	-2.94
204798_at	MYB	-2.94
210162_s_at	NFATC1	-2.95
215949_x_at	IGHM	-2.96
213350_at	RPS11	-2.98
210715_s_at	SPINT2	-2.98
213642_at	NA	-2.99
232072_at	ASAHL	-3.00
211230_s_at	PIK3CD	-3.00
212590_at	RRAS2	-3.02
234753_x_at	NA	-3.02
49329_at	KLHL22	-3.03
210356_x_at	MS4A1	-3.04
208315_x_at	TRAF3	-3.05
230253_at	SCUBE3	-3.05
225051_at	EPB41	-3.06
1558075_at	LOC339047	-3.06
217016_x_at	FLJ23172	-3.06
204257_at	FADS3	-3.07
221969_at	PAX5	-3.08
227778_at	KIAA1833	-3.08
217418_x_at	MS4A1	-3.09
223415_at	RPP25	-3.09
214041_x_at	RPL37A	-3.09
34210_at	CD52	-3.10
218546_at	C1orf115	-3.11
219371_s_at	KLF2	-3.11
209808_x_at	ING1	-3.12
224590_at	XIST	-3.13
221479_s_at	BNIP3L	-3.13
221558_s_at	LEF1	-3.16
211430_s_at	IGH	-3.17
239516_at	LYPLAL1	-3.19
201811_x_at	SH3BP5	-3.20
216563_at	ANKRD12	-3.21
1554636_at	NA	-3.23
224562_at	WASF2	-3.23
235081_x_at	TRIM65	-3.25
1555779_a_at	CD79A	-3.26
202724_s_at	FOXO1A	-3.27
215671_at	PDE4B	-3.30
202615_at	GNAQ	-3.31
242472_x_at	FNBP4	-3.31
221011_s_at	LBH	-3.31
1569906_s_at	PHF20	-3.32
212226_s_at	PPAP2B	-3.33
218502_s_at	TRPS1	-3.34
1564310_a_at	PARP15	-3.35
212288_at	FNBP1	-3.37
222329_x_at	NA	-3.38
230807_at	MGC20983	-3.39
204588_s_at	SLC7A7	-3.42
223467_at	RASD1	-3.44
211697_x_at	LOC56902	-3.45
1560754_at	CKLFSF7	-3.46
244654_at	MYO1G	-3.46
220068_at	VPREB3	-3.49
228592_at	MS4A1	-3.52
209795_at	CD69	-3.58
224493_x_at	C18orf45	-3.63
217022_s_at	IGHA1	-3.64
1553185_at	RASEF	-3.64
243895_x_at	NA	-3.66
209116_x_at	HBB	-3.68
221943_x_at	RPL38	-3.69
1553186_x_at	RASEF	-3.79
1553575_at	NA	-3.84
217232_x_at	HBB	-3.89
225955_at	METRNL	-3.94
234381_at	IGLC2	-3.95
203037_s_at	MTSS1	-3.96
211696_x_at	HBB	-4.02
216491_x_at	IGHM	-4.25
210450_at	LOC90925	-4.31
211699_x_at	HBA1	-4.86
214414_x_at	HBA2	-5.01
217414_x_at	HBA2	-5.02
204018_x_at	HBA1	-5.06
209458_x_at	HBA1	-5.08
211745_x_at	HBA1	-5.15
