Probeset ID	HUGO ID	Fold regulation CD1 siRNA	CDK4 siRNA	Gene name	Gene function
205373_at	CTNNA2	4.2	4	Catenin (cadherin-associated protein), ?2	Neuronal development
210341_at	MYT1	3.8	3	Myelin transcription factor 1	Neuronal development
206408_at	LRRTM2	3.1	3.7	Leucine rich repeat transmembrane neuronal 2	Neuronal development
214761_at	ZNF423	2.4	2.1	Zinc finger protein 423	Neuronal development
239293_at	NRSN1	2.1	2.1	Neurensin 1	Neuronal development
203889_at	SCG5	3.3	3.6	Secretogranin V (7B2 protein)	Neuropeptide signaling
224625_x_at	SERF2	2.2	2.9	Small EDRK-rich factor 2	Neuropeptide signaling
225093_at	UTRN	3	5.1	Utrophin (homologous to dystrophin)	Neurotransmitter secretion
219578_s_at	CPEB1	3	2.3	Cytoplasmic polyadenylation element binding protein 1	Neurotransmitter secretion
209737_at	MAGI2	2.2	4.3	Membrane associated guanylate kinase 2	Neurotransmitter secretion
241957_x_at	LIN7B	2.1	2.9	Lin-7 homologue B	Neurotransmitter secretion
203939_at	NT5E	5.9	10.6	5?-Nucleotidase, ecto (CD73)	Development
203408_s_at	SATB1	3.5	3.2	Special AT-rich sequence binding protein 1	Development
231943_at	ZFP28	2.3	2.8	Zinc finger protein 28 homologue (mouse)	Development
203706_s_at	FZD7	2.2	6.4	Frizzled homologue 7 (Drosophila)	Development
242794_at	MAML3	2.1	2.1	Mastermind-like 3 (Drosophila)	Development
225912_at	TP53INP1	14.1	3	Tumor protein p53 inducible nuclear protein 1	Cell cycle (inhibition)
212593_s_at	PDCD4	4.1	5.9	Programmed cell death 4 (neoplastic transformation inhibitor)	Cell cycle (inhibition)
238447_at	RBMS3	2.8	2.2	RNA binding motif, single stranded interacting protein	mRNA processing
235296_at	EIF5A2	2.6	2.3	Eukaryotic translation initiation factor 5A2	mRNA processing
238549_at	CBFA2T2	2.7	2.1	Core-binding factor ? subunit 2; translocated to 2	Transcription
210130_s_at	TM7SF2	9.1	6.4	Transmembrane 7 superfamily member 2	Cholesterol metabolism
226390_at	STARD4	5.8	2.7	START domain containing 4, sterol regulated	Cholesterol metabolism
202708_s_at	HIST2H2BE	6.3	11.6	Histone 2, H2be	Histone
232035_at	HIST1H4H	6	12.5	Histone 1, H4h	Histone
225245_x_at	H2AFJ	2.7	4.6	H2A histone family, member J	Histone
205719_s_at	PAH	6.9	5.6	Phenylalanine hydroxylase	Phenylalanine catabolism
201061_s_at	STOM	4.4	4	Stomatin	Cytoskeleton organization
202992_at	C7	4	3.3	Complement component 7	Complement activation
218341_at	PPCS	3.5	4.2	Phosphopantothenoylcysteine synthetase	CoA biosynthesis
221471_at	SERINC3	3.4	3.6	Serine incorporator 3	Apoptosis inhibition
202388_at	RGS2	3.2	4	Regulator of G-protein signaling 2, 24 kDa	Ca(2+) signaling
201172_x_at	ATP6V0E	3	2.7	ATPase, H+ transporting, lysosomal 9 kDa, V0 subunit e	Ion transport
209392_at	ENPP2	2.8	2.2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	Chemotaxis
1554741_s_at	FGF7	2.6	3.3	Fibroblast growth factor 7	Growth factor
209751_s_at	TRAPPC2	2.2	2.3	Trafficking protein particle complex 2	ER to Golgi transport
