Gene Symbol	Gene Description	Fold Change	Function
EPLIN	Epithelial protein lost in neoplasm ?	0.39	Actin cytoskeleton
CSRP1	Cysteine and glycine–rich protein 1	0.48	Actin cytoskeleton
SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	0.49	Actin cytoskeleton
GSN	Gelsolin (amyloidosis, Finnish type)	0.52	Actin cytoskeleton
ABLIM1	Actin-binding LIM protein 1	0.61	Actin cytoskeleton
CAPG	Capping protein (actin filament), gelsolin-like	0.68	Actin cytoskeleton
KRT18	Cytokeratin 18	0.26	Intermediate filament cytoskeleton
KRT19	Cytokeratin 19	0.28	Intermediate filament cytoskeleton
KRT7	Cytokeratin 7	0.37	Intermediate filament cytoskeleton
KRT20	Cytokeratin 20	0.38	Intermediate filament cytoskeleton
KRT15	Cytokeratin 15	0.43	Intermediate filament cytoskeleton
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	0.34	Microtubule cytoskeleton
DNM2	Dynamin 2	0.49	Microtubule cytoskeleton
HOOK1	Hook1 protein	0.54	Microtubule cytoskeleton
SDC4	Syndecan 4 (amphiglycan, ryudocan)	0.38	Other cytoskeleton-related genes
CLDN4	Claudin 4	0.18	Cell junction–intercellular junction–cell adhesion
PKP2	Plakophilin 2	0.5	Cell junction–intercellular junction–cell adhesion
EMP1	Epithelial membrane protein 1	0.58	Cell junction–intercellular junction–cell adhesion
SCAP1	Src family–associated phosphoprotein 1	0.64	Integrin complex
ASS	Argininosuccinate synthetase	0.36	Organic acid metabolism
HMGCL	3-Hydroxymethyl-3-methylglutaryl-CoA lyase (hydroxymethylglutaricaciduria)	0.46	Organic acid metabolism
PCCA	Propionyl CoA carboxylase, ? polypeptide	0.32	Lipid-organic acid metabolism
CRYL1	Crystallin, ?1	0.45	Lipid-organic acid metabolism
CYP2J2	Cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	0.58	Lipid-organic acid metabolism
SLC27A2	Solute carrier family 27 (fatty acid transporter), member 2	0.64	Lipid-organic acid metabolism
HPGD	Hydroxyprostaglandin dehydrogenase 15-(NAD)	0.64	Lipid-organic acid metabolism
SC4MOL	Sterol-C4-methyl oxidase-like	0.36	Lipid-organic acid-alcohol metabolism
CYB5	Cytochrome b-5	0.53	Lipid-organic acid-alcohol metabolism
HMGCS1	3-Hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)	0.29	Lipid-alcohol metabolism
HMGCR	3-Hydroxy-3-methylglutaryl-CoA reductase	0.39	Lipid-alcohol metabolism
MVK	Mevalonate kinase (mevalonic aciduria)	0.48	Lipid-alcohol metabolism
FDFT1	Farnesyl-diphosphate farnesyltransferase 1	0.51	Lipid-alcohol metabolism
MVD	Mevalonate (diphospho) decarboxylase	0.52	Lipid-alcohol metabolism
CYP51	Cytochrome P450, 51 (lanosterol 14-?-demethylase)	0.52	Lipid-alcohol metabolism
LDLR	Low-density lipoprotein receptor (familial hypercholesterolemia)	0.58	Lipid-alcohol metabolism
IDI1	Isopentenyl-diphosphate ? isomerase	0.59	Lipid-alcohol metabolism
SULT2B1	Sulfotransferase family, cytosolic, 2B, member 1	0.43	Lipid metabolism
ACAS2	Acetyl-CoA synthetase 2 (ADP forming)	0.46	Lipid metabolism
RARRES2	Retinoic acid receptor responder (tazarotene induced) 2	0.54	Lipid metabolism
LRP10	Low-density lipoprotein receptor-related protein 10	0.66	Lipid metabolism
HSD17B7	Hydroxysteroid (17-?) dehydrogenase 7	0.69	Lipid metabolism
GPI	Glucose phosphate isomerase	0.32	Carbohydrate-alcohol metabolism
ALDOA	Aldolase A, fructose-bisphosphate	0.33	Carbohydrate-alcohol metabolism
GALE	Galactose-4-epimerase, UDP-	0.46	Carbohydrate-alcohol metabolism
PFKP	Phosphofructokinase, platelet	0.48	Carbohydrate-alcohol metabolism
PGD	Phosphogluconate dehydrogenase	0.49	Carbohydrate-alcohol metabolism
ALDOC	Aldolase C, fructose-bisphosphate	0.55	Carbohydrate-alcohol metabolism
HK2	Hexokinase 2	0.62	Carbohydrate-alcohol metabolism
FBP2	Fructose-1,6-bisphosphatase 2	0.65	Carbohydrate-alcohol metabolism
MPI	Mannose phosphate isomerase	0.41	Carbohydrate metabolism
GBE1	Glucan (1,4-?-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	0.49	Carbohydrate metabolism
ST14	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	0.29	Protein metabolism
CTSD	Cathepsin D (lysosomal aspartyl protease)	0.31	Protein metabolism
EGLN3	Egl nine homologue 3 (C. elegans)	0.44	Protein metabolism
DNAJB5	DnaJ (Hsp40) homologue, subfamily B, member 5	0.46	Protein metabolism
DNPEP	Aspartyl aminopeptidase	0.52	Protein metabolism
ANG	Angiogenin, RNase, RNase A family, 5	0.61	Protein metabolism
CUGBP1	CUG triplet repeat, RNA binding protein 1	0.3	Metabolism—other
OAS1	2?,5?-Oligoadenylate synthetase 1, 40/46 kDa	0.64	Metabolism—other
PLAB	Prostate differentiation factor	0.3	Cell surface receptor–linked signal transduction
PTPRR	Protein tyrosine phosphatase, receptor type, R	0.57	Cell surface receptor–linked signal transduction
PLAUR	Plasminogen activator, urokinase receptor	0.57	Cell surface receptor–linked signal transduction
BIRC3	Baculoviral IAP repeat-containing 3	0.6	Cell surface receptor–linked signal transduction
TTRAP	TRAF and TNF receptor-associated protein	0.6	Cell surface receptor–linked signal transduction
ERBB3	V-erb-b2 erythroblastic leukemia viral oncogene homologue 3 (avian)	0.68	Cell surface receptor–linked signal transduction
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homologue, avian)	0.7	Cell surface receptor–linked signal transduction
