GeneID, ranked according to fold change	gene symbol	Fold change after EZH2 knockdown	Corresponding change after NIPP1 knockdown	Expression
330	BIRC3	8.26	2.56	Upregulated genes
10346	TRIM22	8,23; 5,71	2,59; 2,27	Upregulated genes
54809	SAMD9	7,85; 7,07; 6,61; 3,88	4,26; 3,43; 3,28; 2,60	Upregulated genes
115361	GBP4	7,63; 2,84	1,29; 1,11	Upregulated genes
11174	ADAMTS6	6.71	4.03	Upregulated genes
55432	YOD1	6,68; 5,70; 2,83	2,25; 2,18; 1,45	Upregulated genes
1230	CCR1	6.63	0.97	Upregulated genes
219285	SAMD9L	6.59	3.03	Upregulated genes
259307	IL4I1	6.56	1.47	Upregulated genes
51129	ANGPTL4	6,51; 3,52	1,26; 1,00	Upregulated genes
64168	EFCBP1	6,47; 4,44	1,24; 1,07	Upregulated genes
28962	OSTM1	6,00; 3,71; 3,11; 1,65	2,62; 1,78; 1,56; 1,09	Upregulated genes
51296	SLC15A3	5.94	1.72	Upregulated genes
3627	CXCL10	5.73	1	Upregulated genes
8638	OASL	5.61	2.12	Upregulated genes
3885	KRT34	5.52	2.31	Upregulated genes
64135	IFIH1	5.38	2.53	Upregulated genes
4322	MMP13	5.33	1.93	Upregulated genes
4005	LMO2	5,28; 5,10; 5,09; 5,07; 5,04; 4,86; 4,81; 4,79; 4,61; 4,55	1,34; 1,28; 1,20; 1,34; 1,18; 1,14; 1,22; 1,26; 1,17; 1,18	Upregulated genes
115362	GBP5	5.07	1.7	Upregulated genes
5327	PLAT	4.97	2.08	Upregulated genes
23767	FLRT3	4.83	2.72	Upregulated genes
54739	XAF1	4,72; 3,72; 2,76	2,11; 1,65; 1,22	Upregulated genes
22856	CHSY1	4.63	2.27	Upregulated genes
10878	CFHR3	4.63	2.35	Upregulated genes
7534	YWHAZ	4,61; 4,46; 4,25; 4,08; 3,94; 3,59; 3,36; 2,08; 2,07	2,59; 2,22; 2,17; 2,11; 2,04; 2,48; 2,05; 1,65; 1,60	Upregulated genes
9447	AIM2	4.55	1.51	Upregulated genes
2635	GBP3	4,55; 4,05	2,60; 2,13	Upregulated genes
8743	TNFSF10	4.4	1.87	Upregulated genes
64108	RTP4	4.33	2.03	Upregulated genes
7098	TLR3	4.33	1.35	Upregulated genes
716	C1S	4.32	1.11	Upregulated genes
135112	NCOA7	4,31; 4,14	1,96; 2,13	Upregulated genes
9473	C1orf38	4,28; 2,22	2,27; 1,56	Upregulated genes
3984	LIMK1	4.25	2.82	Upregulated genes
4600	MX2	4,21; 2,80	2,32; 1,61	Upregulated genes
4060	LUM	4.2	1.01	Upregulated genes
81831	NETO2	4,14; 2,02	1,77; 1,44	Upregulated genes
51752	ARTS-1	4,14; 2,40	2,05; 1,32	Upregulated genes
51191	HERC5	4.11	1.7	Upregulated genes
11067	C10orf10	4,10; 1,71	0,77; 0,86	Upregulated genes
23562	CLDN14	4.05	2.02	Upregulated genes
223117	SEMA3D	4.04	2.94	Upregulated genes
3099	HK2	4,01; 2,51	2,65; 1,80	Upregulated genes
55603	FAM46A	3.96	1.15	Upregulated genes
57664	PLEKHA4	3.92	2.51	Upregulated genes
23586	DDX58	3.91	3.02	Upregulated genes
11274	USP18	3,86; 3,40	1,15; 1,00	Upregulated genes
3486	IGFBP3	3.83	1.18	Upregulated genes
3624	INHBA	3.81	2.51	Upregulated genes
84248	FYTTD1	3.79	2	Upregulated genes
6890	TAP1	3.77	1.55	Upregulated genes
91351	FLJ31033	3.69	1.69	Upregulated genes
64581	CLEC7A	3.65	1.07	Upregulated genes
10147	SFRS14	3.64	1.29	Upregulated genes
80833	APOL3	3.62	1.46	Upregulated genes
4814	NINJ1	3.58	1.26	Upregulated genes
2766	GMPR	3.58	1.49	Upregulated genes
27303	RBMS3	3.56	1.6	Upregulated genes
116071	BATF2	3.55	2	Upregulated genes
7168	TPM1	3.51	1.22	Upregulated genes
834	CASP1	3.49	1.71	Upregulated genes
3570	IL6R	3.46	0.53	Upregulated genes
9444	QKI	3,44; 2,25; 2,21; 1,98	1,45; 1,41; 1,33; 1,30	Upregulated genes
10228	STX6	3,43; 1,45	1,28; 0,98	Upregulated genes
9686	VGLL4	3,40; 1,66; 1,52	2,71; 1,57; 1,06	Upregulated genes
94240	EPSTI1	3,40; 2,37	2,15; 1,72	Upregulated genes
664	BNIP3	3.4	1.39	Upregulated genes
54979	HRASLS2	3.39	1.13	Upregulated genes
1735	DIO3	3.39	1.01	Upregulated genes
5055	SERPINB2	3,38; 1,78	2,21; 1,28	Upregulated genes
255324	EPGN	3.36	1.7	Upregulated genes
84419	C15orf48	3.36	0.92	Upregulated genes
3914	LAMB3	3.36	1.59	Upregulated genes
79974	FLJ21986	3,33; 1,81	0,91; 1,12	Upregulated genes
5352	PLOD2	3.33	1.54	Upregulated genes
55529	TMEM55A	3.32	1.44	Upregulated genes
467	ATF3	3.28	1.5	Upregulated genes
54704	PPM2C	3.28	1.41	Upregulated genes
23345	SYNE1	3,28; 2,79	1,49; 1,30	Upregulated genes
55916	NXT2	3.28	0.75	Upregulated genes
90550	CCDC109A	3.27	0.89	Upregulated genes
3428	IFI16	3,27; 3,09	1,97; 1,94	Upregulated genes
623	BDKRB1	3,27; 2,24	1,07; 0,96	Upregulated genes
10561	IFI44	3.26	2.39	Upregulated genes
6772	STAT1	3,25; 2,46	1,79; 2,34	Upregulated genes
55281	TMEM140	3.25	2.12	Upregulated genes
2533	FYB	3.25	1.41	Upregulated genes
10344	CCL26	3,22; 2,25	0,74; 0,93	Upregulated genes
11103	KRR1	3.18	1.91	Upregulated genes
50486	G0S2	3.18	2.31	Upregulated genes
8614	STC2	3,16; 2,66	0,98; 1,18	Upregulated genes
7052	TGM2	3.15	1.87	Upregulated genes
25780	RASGRP3	3.14	1.59	Upregulated genes
114134	SLC2A13	3.13	1.42	Upregulated genes
6567	SLC16A2	3.13	1.65	Upregulated genes
56829	ZC3HAV1	3,12; 2,25; 1,55	1,64; 1,39; 1,33	Upregulated genes
2250	FGF5	3,12; 2,56; 1,86	2,49; 1,62; 1,21	Upregulated genes
4499	MT1M	3.1	1.42	Upregulated genes
