AffyID	Gene symbol	Gene name	Fold changea	s.d.b	GO biological process c	Function
202627_s_at	SERPINE1	Serine (or cysteine) proteinase	24.99	20.04	Inhibiting extracellular matrix degradation/tissue remodeling	Extracellular space/extracellular matrix/extracellular
202628_s_at	NA	inhibitor	NA	NA	NA	Extracellular space/extracellular matrix/extracellular
205992_s_at	IL15	Interleukin 15	5.31	1.98	Immune response/positive regulation of cell proliferation	Extracellular space/extracellular matrix/extracellular
205016_at	TGFA	Transforming growth factor, alpha	4.32	1.95	Regulation of cell cycle/cell–cell signalling/cell proliferation	Extracellular space/extracellular matrix/extracellular
203691_at	PI3	Protease inhibitor 3	3.37	1.21	Copulation	Extracellular space/extracellular matrix/extracellular
41469_at	NA	NA	NA	NA	NA	Extracellular space/extracellular matrix/extracellular
210310_s_at	FGF5	Fibroblast growth factor 5	2.68	0.48	Regulation of cell cycle/fibroblast growth factor receptor-signaling pathway	Extracellular space/extracellular matrix/extracellular
210311_at	NA	NA	NA	NA	NA	Extracellular space/extracellular matrix/extracellular
203998_s_at	SYT1	Synaptotagmin I	2.66	0.54	Calcium ion sensing/transport/synaptic transmission/neurotransmitter secretion/regulation of exocytosis	Extracellular space/extracellular matrix/extracellular
209270_at	LAMB3	Laminin, beta 3	2.56	0.5	Cell adhesion/epidermis development	Extracellular space/extracellular matrix/extracellular
214701_s_at	FN1	Fibronectin 1	0.37	0.12	Cell adhesion/transmembrane receptor protein tyrosine kinase-signaling pathway/response xto	Extracellular space/extracellular matrix/extracellular
235629_at	NA	NA	NA	NA	wounding/cell migration	Extracellular space/extracellular matrix/extracellular
206214_at	PLA2G7	Phospholipase A2, group VII	0.36	0.06	Inflammatory response/lipid catabolism	Extracellular space/extracellular matrix/extracellular
205500_at	C5	Complement component 5	0.31	0.09	Inflammatory response/complement activation	Extracellular space/extracellular matrix/extracellular
219140_s_at	RBP4	Retinol-binding protein 4, plasma	0.29	0.03	Transport/sensory perception/visual perception	Extracellular space/extracellular matrix/extracellular
218952_at	PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor	0.29	0.07	Extracellular space/endopeptidase inhibitor activity/receptor binding	Extracellular space/extracellular matrix/extracellular
1556499_s_at	COL1A1	Collagen, type I, alpha 1	0.24	0.13	Skeletal development/phosphate transport/epidermis development	Extracellular space/extracellular matrix/extracellular
202310_s_at	NA	NA	NA	NA	NA	Extracellular space/extracellular matrix/extracellular
211959_at	IGFBP5	Insulin-like growth factor-binding	0.23	0.19	Regulation of cell growth/signal transduction	Extracellular space/extracellular matrix/extracellular
203425_s_at	NA	protein 5	NA	NA	NA	Extracellular space/extracellular matrix/extracellular
200665_s_at	SPARC	Secreted protein, acidic, cysteine	0.17	0.11	Ossification/transmembrane receptor protein tyrosine kinase-signaling pathway	Extracellular space/extracellular matrix/extracellular
212667_at	NA	rich	NA	NA	NA	Extracellular space/extracellular matrix/extracellular
205680_at	MMP10	Matrix metalloproteinase 10	0.23	0.03	Collagen catabolism	Collagen catabolism
205959_at	MMP13	Matrix metalloproteinase 13	0.21	0.12	Peptidoglycan metabolism/proteolysis and peptidolysis/collagen catabolism	Collagen catabolism
204475_at	MMP1	Matrix metalloproteinase 1	0.15	0.07	Peptidoglycan metabolism/collagen catabolism	Collagen catabolism
205192_at	MAP3K14	Mitogen-activated protein kinase kinase kinase 14	3.22	1.41	Protein amino-acid phosphorylation	Protein kinase activity/kinase activity/phosphotransferase activity
223465_at	COL4A3BP	Collagen, type IV, alpha 3-binding protein	2.56	0.16	Protein amino-acid phosphorylation/immune response	Protein kinase activity/kinase activity/phosphotransferase activity
228499_at	PFKFB4	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	0.44	0.05	Fructose 2,6-bisphosphate metabolism/fructose 2,6-bisphosphate metabolism/metabolism	Protein kinase activity/kinase activity/phosphotransferase activity
243797_at	STK17B	Serine/threonine kinase 17b	0.42	0.03	Protein amino-acid phosphorylation/apoptosis/induction of apoptosis/protein kinase cascade	Protein kinase activity/kinase activity/phosphotransferase activity
230085_at	Unknown	Transcribed locus	0.41	0.06	Unknown	Protein kinase activity/kinase activity/phosphotransferase activity
202478_at	TRB2	Tribbles homolog 2 (Drosophila)	0.41	0.06	Protein amino-acid phosphorylation	Protein kinase activity/kinase activity/phosphotransferase activity
