Gene name	Symbol	Activities	Processes involved, known	Positive hits	Confirmation	Functional Category
Splicing factor proline/glutamine-rich	SFPQ	Associated with polypyrimidine tract-binding protein	Transcription and pre-mRNA processing	1	N/A	Gene expression regulation
Chromodomain helicase DNA-binding protein 1	CHD1	Binds to DNA helicase	Chromatin assembly or disassembly, transcription	1	Confirmed	Gene expression regulation
SPANX-b, c, and d	SPANX	Unknown	Regulates transcription and translation, spermatogenesis	1	N/A	Gene expression regulation
Cellular repressor of adenovirus E1A protein-stimulated genes 1	CREG1	Antagonizes transcriptional activation of E1A protein	Transcriptional control of cell growth and differentiation	1	N/A	Gene expression regulation
Asparagine-linked glycosylation 5 homolog	ALG5	Dolichyl-phosphate beta-glucosyltransferase activity	N-glycan biosynthesis	1	N/A	Metabolic regulation
3-hydroxybutyrate dehydrogenase, type 2	BDH2	Dehydrogenase/reductase enzyme	Fatty acid beta-oxidation	2	Confirmed	Metabolic regulation
Cathepsin K	CTSK	Cysteine proteinase	Proteolysis, tumor invasiveness, bone remodeling	1	Confirmed	Metabolic regulation
Peroxiredoxin 3	PRDX3	Peroxidase activity, alkyl hydroperoxide reductase activity	Activation of NF-kappaB transcription factor, antioxidant	1	Confirmed	Metabolic regulation
Serine threonine kinase 39	STK39	Protein serine/threonine kinase activity	Mediates stress-activated signals	1	N/A	Protein kinases
Protein kinase C, nu	PRKCN	Protein serine/threonine kinase activity	Intracellular signaling cascade	1	N/A	Protein kinases
Serine/threonine protein kinase MST4	MASK	Protein serine/threonine kinase activity	Regulation of apoptosis, can be cleaved by caspase-3	1	N/A	Protein kinases
NCK adaptor protein 1	NCK1	Contains SH2 and SH3 domains, cytoskeletal adaptor	Intracellular signaling cascade, positive regulation of actin filament polymerization	1	Confirmed	Cell signaling related
NCK-associated protein 1	NCKAP1	Interacts with Nck	Lamellipodium biogenesis, apoptosis	1	Confirmed	Cell signaling related
Transient receptor potential cation channel, subfamily C, member 6	TRPC6	Calcium channel activity	Calcium ion transport, calcium signaling	1	Confirmed	Cell signaling related
Interleukin 1 receptor antagonist	IL1RN	Inhibits the activities of interleukin 1	Regulates immune and inflammatory responses	1	N/A	Cell signaling related
Hypoxia-inducible factor 1, alpha subunit	HIF1A	Transcription factor	Cellular and systemic homeostatic responses to hypoxia	1	Confirmed	Cell death/stress related
DED containing	DEDD	Contains DED, regulation of apoptosis	Cell death	1	N/A	Cell death/stress related
Transmembrane BAX inhibitor motif containing 1	TMBIM1	Contains BAX inhibitor motif	Cell death	1	N/A	Cell death/stress related
Ubiquitin-conjugated enzyme, UBE2D3	UBE2D3	Ubiquitin-protein ligase activity	Ubiquitin-mediated proteolysis	3	Confirmed	Others
Nidogen 2/osteonidogen	NID2	A basement membrane protein	Adhesion, migration, differentiation, gene expression, and apoptosis	1	N/A	Others
Mutated in colorectal cancers	MCC	Interacts with NFKBIB	Putative colorectal tumor suppressor gene	1	Confirmed	Others
Complement component 1, q subcomponent-binding protein	C1QBP	Inhibit C1 activation	Play a role in serum complement system		N/A	Others
Ancient ubiquitous protein 1	AUP1	Unknown	Play a crucial role in the integrin alpha(IIb)beta(3) inside-out signaling	1	N/A	Others
Stromal interaction molecule 1	STIM1	Unknown	Located in an important tumor-suppressor gene region, calcium signaling	1	N/A	Others
Spastic ataxia of Charlevoix-Saguenay, sacsin	SACS	Unknown	Mutated in ARSACS	1	N/A	Others
Similar to interferon-induced transmembrane protein 3, LOC144383	N/A	Unknown	Unknown	1	N/A	Others
