Refseq	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_130786	1	A1BG	alpha-1-B glycoprotein	2.17678774	1.9982331	NA
NM_015665	8086	AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	1.95265248	3.753678	NA
NM_001087	14	AAMP	angio-associated, migratory cell protein	2.80878298	0.637618	NA
NM_025267	80755	AARSD1	alanyl-tRNA synthetase domain containing 1	1.96243566	9.8653909	NA
NM_012089	23456	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	0.22556417	1.7079054	-4.433328219
NM_007189	10061	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	2.22691678	8.0395314	NA
NM_005692	10061	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	2.66184127	8.7274414	NA
NM_015407	25864	ABHD14A	abhydrolase domain containing 14A	0.46204567	9.4283268	-2.164288219
NM_020676	57406	ABHD6	abhydrolase domain containing 6	0.39450237	8.0395314	-2.534839018
NM_005759	10152	ABI2	abl interactor 2	1.62156445	7.6537443	NA
NM_014945	22885	ABLIM3	actin binding LIM protein family, member 3	2.20524437	4.6110465	NA
NM_013375	29777	ABT1	activator of basal transcription 1	3.28483669	0.637618	NA
NM_005891	39	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	1.66447953	8.593663	NA
NM_022914	65057	ACD	adrenocortical dysplasia homolog (mouse)	1.76617942	5.7639809	NA
NM_181865	11332	ACOT7	acyl-CoA thioesterase 7	1.95381657	8.27025	NA
NM_181866	11332	ACOT7	acyl-CoA thioesterase 7	1.95381657	8.27025	NA
NM_181864	11332	ACOT7	acyl-CoA thioesterase 7	1.95381657	8.27025	NA
NM_007274	11332	ACOT7	acyl-CoA thioesterase 7	1.95381657	8.27025	NA
NM_004300	52	ACP1	acid phosphatase 1, soluble	2.79054379	0.637618	NA
NM_177554	52	ACP1	acid phosphatase 1, soluble	2.28810292	1.219488	NA
NM_007099	52	ACP1	acid phosphatase 1, soluble	2.28810292	1.219488	NA
NM_203372	2181	ACSL3	acyl-CoA synthetase long-chain family member 3	0.25453336	1.7079054	-3.928758101
NM_004457	2181	ACSL3	acyl-CoA synthetase long-chain family member 3	0.25453336	1.7079054	-3.928758101
NM_005736	10121	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	2.08844028	2.4738185	NA
NM_005735	10120	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	1.84613405	8.0395314	NA
NM_020445	57180	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	1.62289816	8.27025	NA
NM_000666	95	ACY1	aminoacylase 1	2.27101354	5.3706176	NA
NM_001107	97	ACYP1	acylphosphatase 1, erythrocyte (common) type	1.48048336	9.8653909	NA
NM_138448	98	ACYP2	acylphosphatase 2, muscle type	2.02806904	5.7639809	NA
NM_000022	100	ADA	adenosine deaminase	3.16675853	1.0218237	NA
NM_003183	6868	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	0.41617328	2.4912595	-2.402845276
NM_018269	55256	ADI1	acireductone dioxygenase 1	1.97592873	8.0395314	NA
NM_015999	51094	ADIPOR1	adiponectin receptor 1	1.89443653	2.4738185	NA
NM_000644	178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000643	178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000646	178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000028	178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000642	178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_000645	178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	0.34666014	3.3991674	-2.884669694
NM_018361	55326	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	0.43365214	8.8660141	-2.305995769
NM_003659	8540	AGPS	alkylglycerone phosphate synthase	2.21623339	1.9393426	NA
NM_006408	10551	AGR2	anterior gradient 2 homolog (Xenopus laevis)	0.37276402	1.7079054	-2.682662345
NM_015446	25909	AHCTF1	AT hook containing transcription factor 1	0.24061646	1.7079054	-4.155991656
NM_000687	191	AHCY	S-adenosylhomocysteine hydrolase	2.02156315	9.4283268	NA
NM_001620	79026	AHNAK	AHNAK nucleoprotein (desmoyokin)	0.5298801	8.8660141	-1.887219392
NM_001621	196	AHR	aryl hydrocarbon receptor	0.29838843	1.7079054	-3.351336377
NM_012111	10598	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	1.61740998	8.7274414	NA
NM_001624	202	AIM1	absent in melanoma 1	0.46528115	7.6537443	-2.149238154
NM_003977	9049	AIP	aryl hydrocarbon receptor interacting protein	1.81607181	6.3497914	NA
NM_000476	203	AK1	adenylate kinase 1	2.66767461	0.637618	NA
NM_013411	204	AK2	adenylate kinase 2	2.24652653	1.5613079	NA
NM_001625	204	AK2	adenylate kinase 2	3.03058315	0.8855806	NA
NM_016248	11215	AKAP11	A kinase (PRKA) anchor protein 11	0.44648609	4.3199052	-2.239711432
