Accession no.	 Gene description 	Symbol	Affymetrix ID	GFP PD32	GFP PD47	hTERT PD44	hTERT PD80
NM_024628	Solute carrier family 12 (potassium/chloride transporters)	SLC12A8	219874_at	240	190	752	708
NM_016323	Hect domain and RLD 5	HERC5	219863_at	1641	1644	3193	2931
NM_017912	Hect domain and RLD 6	HERC6	219352_at	435	477	700	727
NM_006417	Interferon-induced protein 44	IFI44	214453_s_at	1988	1792	3534	3721
AI337069	Viperin	cig5	213797_at	666	1522	2817	4442
AA121502	HEG homolog	HEG	212822_at	1558	1712	2267	2483
AF089087	G protein-coupled receptor 35	GPR35	210264_at	576	931	473	1160
M68874	Phospholipase A2, group IVA (cytosolic, calcium-dependent)	PLA2G4A	210145_at	120	187	627	344
NM_003733	2-5-oligoadenylate synthetase-like	OASL	205660_at	1155	1001	2094	2265
NM_001548	Interferon-induced protein with tetratricopeptide repeats 1	IFIT1	203153_at	555	385	1313	1533
NM_001549	Interferon-induced protein with tetratricopeptide repeats 3	IFIT3	204747_at	772	393	1107	1180
NM_006820	Chromosome 1 open reading frame 29	C1orf29	204439_at	377	416	2247	3029
AI824012	Nuclear receptor interacting protein 1	NRIP1	202600_s_at	620	519	1224	1061
NM_003489	Nuclear receptor interacting protein 1	NRIP1	202599_s_at	1024	910	2052	1517
NM_002462	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) 	MX1	202086_at	2905	2988	5537	6459
