Gen Symbol	Fold Change	Log Odds
Krt72	22.04	16.42
Crisp1	17.93	19.22
Krtap9-3	17.26	19.61
Sprr2h	15.79	16.95
Krt35	15.18	18
Krtap14	14.15	18.6
Sprr1b	13.76	14.57
Krtap12-1	13.48	15.68
Crym	12.63	15.11
S100a3	12.09	18.39
Gjb2	11.25	14.78
Cryba4	10.98	18.26
Gprc5d	10.49	19.18
Padi3	10.28	17.1
Krt32	9.93	17.71
Krtap9-1	9.71	17.82
Krt31	9.55	15.62
Krt85	9.52	17.07
Krtap5-1	9.46	17.02
Psors1c2	9.22	17.68
Tyrp1	9.21	15.48
Krt82	8.95	17.22
Tyrp1	8.9	14.95
Krtap5-4	8.81	12.19
Gjb6	8.66	13.97
Dct	8.6	17.82
Krt33b	8.52	16.22
Krtap16-1	8.26	18.27
Krtap16-4	8.13	16
Krtap12-1	7.56	11.37
Ass1	7.48	6.84
Krtap15	7.45	15.23
Mt4	7.4	17.05
Si	7.04	16.91
Ly6g6d	6.91	14.07
Krt81	6.86	16.77
Dusp14	6.77	14.05
Msx2	6.69	17.5
Krt33a	6.61	14.09
Krtap5-5	6.58	11.71
Fbp1	6.54	13.53
Capn12	6.49	15.83
Slc39a8	6.49	18.07
Ctps	6.08	15.49
Krtap13-1	6.03	10.37
Krtap16-9	5.93	17.2
Gpnmb	5.91	14.76
Lap3	5.79	15.84
St14	5.55	14.35
Krt71	5.44	12.21
Ptgds	5.4	11.84
Gabrp	5.37	13.55
Sfn	5.33	12.67
Krt75	5.31	12.19
Ero1l	5.21	14.1
Slc40a1	5.18	13.36
Krtap5-2	5.13	11.69
Bambi	5.08	14.61
Cldn4	5.03	12.29
Dlx3	4.99	12.8
Dsc1	4.94	12.85
Tyr	4.85	13.77
Acpp	4.85	15.85
Alox8	4.83	13.28
Dnase1l2	4.83	12.69
Fhod3	4.82	13.78
Krtap16-10	4.77	13.81
Krt34	4.76	12.37
Pla2g2e	4.69	13.99
Arg1	4.67	5.65
Hoxc13	4.46	9.05
Chac1	4.37	14.59
Gcat	4.32	15.19
Capn8	4.24	13.39
Slc15a2	4.18	12.46
Sct	4.17	10.32
Krtap16-5	4.16	13.06
Otub2	4.12	11.73
Gabrp	4.07	15.24
Gsdm1	4.06	14.67
Slc39a6	4.03	14.6
Ctse	4.03	12.99
Tgm3	3.98	3.13
Padi1	3.97	8.7
Rab3ip	3.96	14.7
Spint1	3.95	13.85
Dsc2	3.94	10.43
Hist1h2ac	3.94	3.61
Cited4	3.91	11.76
S100a8	3.9	14.17
Arg2	3.89	14.45
Ovol1	3.82	11.56
Gja1	3.75	9.41
Ggt1	3.74	14.64
Hod	3.72	13.7
Trpm1	3.7	10.66
Top2a	3.69	13.41
Ccna2	3.67	12.26
Ace2	3.67	13.82
Pp11r	3.66	11.92
Rab25	3.66	14.03
Krtap3-1	3.61	9.25
Lad1	3.58	13.15
Mcm6	3.56	7.87
Bdh1	3.53	13.75
Krt25	3.49	8.05
Pkp3	3.48	9.52
Gata3	3.46	10.47
Elf5	3.45	12.13
Clu	3.45	12.43
Serpinb5	3.44	12.94
Krtap8-2	3.44	5.82
Evpl	3.42	13.21
Uox	3.39	10.64
Ivl	3.39	11.62
S100a14	3.36	13
Sp6	3.33	9
Tm4sf1	3.3	11.79
Mycl1	3.3	14.17
Pitrm1	3.28	10.42
Tmem54	3.25	7.92
Cdc20	3.23	12.3
B3gnt5	3.22	11.16
Rnf149	3.2	11.69
Ube2c	3.2	8.67
Btg3	3.2	10.31
Lpin3	3.17	7.95
Krt27	3.16	9.82
Foxn1	3.15	7.6
Pim1	3.14	10.24
H2afx	3.12	7.99
Slc30a1	3.12	12.2
Ddx39	3.09	10.84
Nme1	3.08	9.6
Mki67	3.06	11.07
Anxa9	3.01	11.59
Tjp2	3.01	11.98
Eif2b4	3	11.5
Tmem40	2.99	13.82
Map3k6	2.99	11.35
Padi4	2.98	8.58
Tmem62	2.98	12.05
Car2	2.97	10.5
Ankrd22	2.97	11.93
Ccnb2	2.97	10.17
Gjb4	2.97	12.39
Tspan6	2.96	12.57
Dusp2	2.95	13.16
Rars	2.95	10.52
Jmy	2.94	8.16
Cdc2a	2.93	10.97
Stmn1	2.93	8.79
Cast	2.92	13.2
Tgm1	2.92	7.95
Mtm1	2.91	8.47
Mycn	2.89	9.86
Blmh	2.89	12.49
Slc25a37	2.89	11.51
Wnt5a	2.89	7.61
Rbbp6	2.87	11.28
Birc5	2.87	10.7
Ccnb1	2.86	11.32
Krt17	2.85	8.36
Atoh7	2.85	13.04
Slc7a5	2.85	8.32
Fgf22	2.84	13
Rrm2	2.84	10.47
Rbm35b	2.83	6.25
Il1f10	2.83	7.94
Tgfa	2.82	11.05
Gpr87	2.82	10.56
Cth	2.81	11.69
Atp12a	2.81	9.6
Epha1	2.81	12.5
Sox21	2.8	9.2
Fdps	2.8	11
Ppp2r1b	2.78	10.15
Pbk	2.78	8.31
Plk3	2.76	10.56
Mcm2	2.76	5.54
Ppif	2.74	6.11
Cldn1	2.74	12.89
Myb	2.74	11.92
Cks2	2.72	2.83
Cdkn1a	2.72	5.08
Tacstd2	2.72	10.37
Sft2d2	2.7	10.84
Fads3	2.69	9.38
Car6	2.69	4.58
Sprr1a	2.69	11.11
Hmga1	2.69	6.67
Stra6	2.68	10.03
Lsr	2.68	9.17
Tagln3	2.68	12.71
Cxcl14	2.67	7.03
Krt23	2.67	10.99
Prss8	2.66	11.89
Mcm5	2.66	12.32
Pa2g4	2.66	9.44
Krt18	2.65	5.87
Hmgb2	2.65	11.86
Syce2	2.64	4.72
Npy	2.63	8.36
Minpp1	2.62	10.08
Prom2	2.61	9.99
Smox	2.6	11.91
Rcc2	2.6	7.28
Zfp185	2.6	11.04
Nfe2l3	2.59	5.5
Phgdh	2.59	10.33
Nkd2	2.58	10.81
Gmcl1	2.57	7.82
G6pd2	2.55	5.67
Sytl2	2.55	11.37
Hells	2.55	10.3
Atp2c2	2.54	11.43
Pgm1	2.54	9.99
Sdc1	2.52	4.06
Ptger4	2.52	10.65
Emp2	2.52	5.19
Smpdl3b	2.52	9.26
Cutl1	2.51	9.21
Ap1m2	2.51	10.38
Kpna2	2.51	11.15
Id4	2.5	8.37
Foxq1	2.5	3.07
Bub1	2.49	10.99
Tcfap2a	2.49	2.89
Slc7a8	2.49	7
Hras1	2.48	10.6
Sqle	2.48	7.74
Limk2	2.48	8.47
S100a16	2.48	9.41
Asprv1	2.46	9.58
Gpr125	2.46	6.63
Avpi1	2.45	6.71
Cdca5	2.45	6.49
Cacna2d3	2.44	10.96
Phlda2	2.44	6.45
Wnt4	2.43	8.43
Junb	2.43	4.21
Dbf4	2.43	6.01
Grhl1	2.42	10.19
