Gene symbol	Gene description	p-value	Fold-change RIP140 siRNA/ctrl siRNA
CTBP2	C-terminal binding protein 2	1.98E-07	+1.47
SLC11A2	Solute carrier family 11 (proton-coupled divalent metal transport)	0.000006	-1.66
OGFOD1	2-oxoglutarate and iron-dependent oxygenase dom containing 1	0.000020	-1.41
FBXO41	F-box protein 41	0.000061	+1.41
LRRC58	Leucine rich repeat containing 58	0.000064	-1.75
ARL6IP2	ADP-ribosylation factor-like 6 interacting protein 2	0.000068	-1.46
CCND2	Cyclin D2	0.000095	-1.72
SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3	0.000148	-1.59
G3BP1	GTPase activating protein (SH3 domain) binding protein 1	0.000151	-1.48
PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	0.000209	+1.49
ATP13A3	ATPase type 13A3	0.000219	-1.52
ZFP91	Zinc finger protein 91 homolog (mouse)	0.000258	-1.87
ATP5J	ATP synthase, H+ transporting, mito F0 complex, subunit F6	0.000270	+1.70
LOC284019	Hypothetical protein LOC284019	0.000279	-1.40
HIPK2	Homeodomain interacting protein kinase 2	0.000280	-1.44
FAM126A	Family with sequence similarity 126, member A	0.000280	-1.65
FRS2	Fibroblast growth factor receptor substrate 2	0.000303	-1.61
MALAT1	metastasis associated lung adenocarcinoma 1 (non-coding RNA)	0.000310	-2.91
UHMK1	U2AF homology motif (UHM) kinase 1	0.000315	-2.12
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	0.000334	-1.70
RFXDC2	Regulatory factor X domain containing 2	0.000366	-1.42
FLJ34374	CDNA FLJ34374	0.000387	+1.40
KIAA0286	KIAA0286 protein	0.000416	-1.82
C1orf97	Chromosome 1 open reading frame 97	0.000436	+1.58
C21orf91	Chromosome 21 open reading frame 91	0.000446	-1.48
SLC39A14	Solute carrier family 39 (zinc transporter), member 14	0.000483	-2.14
EIF2S3	Eukaryotic translation initiation factor 2, subunit 3 gamma	0.000485	-1.77
CLINT1	Clathrin interactor 1	0.000498	-1.43
RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)	0.000508	-1.50
ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	0.000512	-1.41
ZC3H11A	Zinc finger CCCH-type containing 11A	0.000532	-1.70
ARL5B	ADP-ribosylation factor-like 5B	0.000533	-1.41
