Affy ID	Gene Title	Gene Symbol	Ratio(Mt/Wt)
1451948_at	Single chain Fv antibody fragment scFv 7-10A mRNA, partial cds.	---	13.76923077
1422926_at	melanocortin 2 receptor	Mc2r	11.46341463
1456132_x_at	transforming growth factor beta 1 induced transcript 4	Tgfb1i4	10.65853659
1426189_at	dual specificity phosphatase-like 15	Dusp15	10.44210526
1425737_at	RIKEN cDNA C430003P19 gene	C430003P19Rik	10.21568627
1422332_at	interferon alpha family, gene 11	Ifna11	9.788461538
1437726_x_at	complement component 1, q subcomponent, beta polypeptide	C1qb	9.636363636
1450192_at	luteinizing hormone/choriogonadotropin receptor	Lhcgr	9.6
1427354_at	homeo box A4	Hoxa4	9.230769231
1423222_at	CAP, adenylate cyclase-associated protein, 2 (yeast)	Cap2	9.119402985
1421605_a_at	aquaporin 9	Aqp9	9.096153846
1425180_at	RIKEN cDNA 3110007P09 gene	3110007P09Rik	8.788732394
1416778_at	serum deprivation response	Sdpr	8.761904762
1450708_at	secretogranin II	Scg2	8.686567164
1442833_at	DNA segment, Chr 15, ERATO Doi 30, expressed	D15Ertd30e	8.634920635
1422962_a_at	proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional protease 7)	Psmb8	8.215189873
1419070_at	cystin 1	Cys1	8.184210526
1434510_at	RIKEN cDNA 1810018P12 gene	1810018P12Rik	8.032258065
1449033_at	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Tnfrsf11b	7.888888889
1422783_a_at	keratin complex 2, basic, gene 6a	Krt2-6a	7.682758621
1450562_at	lymphocyte antigen 6 complex, locus F	Ly6f	7.533333333
1449834_at	PDZ domain containing, X chromosome	Pdzx	7.481481481
1451844_at	prolactin receptor	Prlr	7.417910448
1421320_a_at	RIKEN cDNA 4930470H18 gene	4930470H18Rik	7.165714286
1427621_at	---	---	7.130434783
1418413_at	caveolin 3	Cav3	7.107142857
1428303_at	RIKEN cDNA 1500005I02 gene	1500005I02Rik	6.914634146
1417129_a_at	myeloid ecotropic viral integration site-related gene 1	Mrg1	6.769230769
1420336_at	thrombospondin, type I domain containing 6	Thsd6	6.740963855
1417805_at	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	Xpnpep2	6.594405594
1448032_at	5-azacytidine induced gene 2	Azi2	6.551948052
1424363_at	Mycbp associated protein	Mycbpap	6.547619048
1425578_a_at	glial cell line derived neurotrophic factor family receptor alpha 2	Gfra2	6.224299065
1449884_at	RIKEN cDNA 1700073K01 gene	1700073K01Rik	5.907563025
1418405_at	hepatocyte growth factor activator	Hgfac	5.786885246
1451882_a_at	fibroblast growth factor 8	Fgf8	5.707070707
1451033_a_at	transient receptor potential cation channel, subfamily C, member 4	Trpc4	5.585798817
