Probe id	Symbol	Gene description	Fold change	P-value
208737_at	ATP6V1G1	ATPase, H+transporting, lysosomal 13 kDa, V1 subunit G isoform 1	1.491	0.002057
210149_s_at	ATP5H	ATP synthase, H+transporting, mitochondrial F0 complex, subunit d	1.19	0.002057
217801_at	ATP5E	ATP synthase, H+transporting, mitochondrial F1 complex, e subunit	1.662	0.012341
216591_s_at	SDHC	Succinate dehydrogenase complex, subunit C	1.336	0.00008
204041_at	MAOB	Monoamine oxidase B	1.568	0.000296
201931_at	ETFA	Electron-transfer flavoprotein, alpha polypeptide	1.475	0.002057
218561_s_at	C6orf149	Chromosome 6 open-reading frame 149	1.143	0.012341
220495_s_at	C5orf14	Chromosome 5 open-reading frame 14	1.321	0.012341
201634_s_at	CYB5-M	Cytochrome b5 outer mitochondrial membrane precursor	1.109	0.012341
217329_x_at	COX7B	Cytochrome c oxidase subunit VIIb	1.277	0.019201
203609_s_at	ALDH5A1	Aldehyde dehydrogenase 5 family, member A1	1.256	0.020496
201175_at	TMX2	Thioredoxin-related transmembrane protein 2	1.329	0.021177
207328_at	ALOX15	Arachidonate 15-lipoxygenase	0.897	0.012341
217995_at	SQRDL	Sulfide quinone reductase-like (yeast)	0.753	0.012341
221028_at	MGC11335	Hypothetical protein MGC11335	0.858	0.012341
203067_at	PDHX	Pyruvate dehydrogenase complex, component X	1.364	0.012341
201754_at	COX6C	Cytochrome c oxidase subunit Vic	1.291	0.000217
201597_at	COX7A2	Cytochrome c oxidase subunit VIIa polypeptide 2	1.702	0.002057
203613_at	NDUFB6	NADH dehydrogenase 1 beta subcomplex, 6, 17 kDa	1.289	0.003729
217188_s_at	C14orf1	Chromosome 14 open-reading frame 1	1.151	0.004065
201568_at	QP-C	Low molecular mass ubiquinone-binding protein (9.5 kDa)	1.266	0.002057
213758_at	COX4I1	Cytochrome c oxidase subunit IV isoform 1	1.15	0.012341
218201_at	NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8 kDa	1.273	0.012341
214241_at	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19 kDa	1.262	0.012341
202026_at	SDHD	Succinate dehydrogenase complex, subunit D	1.32	0.000652
204067_at	SUOX	Sulfite oxidase	1.255	0.012341
203028_s_at	CYBA	Cytochrome b-245, alpha polypeptide	1.284	0.016893
212224_at	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	1.537	0.012341
218671_s_at	ATPIF1	ATPase inhibitory factor 1	1.367	0.012341
219827_at	UCP3	Uncoupling protein 3	0.449	0.002057
214214_s_at	C1QBP	Complement component 1, q subcomponent-binding protein	1.285	0.012341
200807_s_at	HSPD1	Heat shock 60 kDa protein 1	1.214	0.033861
208846_s_at	VDAC3	Voltage-dependent anion channel 3	1.329	0.002057
212604_at	MRPS31	Mitochondrial ribosomal protein S31	1.326	0.002057
217408_at	MRPS18B	Mitochondrial ribosomal protein S18B	1.154	0.012341
203517_at	MTX2	Metaxin 2	1.388	0.002057
203095_at	MTIF2	Mitochondrial translational initiation factor 2	1.294	0.012639
202298_at	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5 kDa	1.268	0.000975
216409_at	DKFZp547D104	Hypothetical protein DKFZp547D104	0.894	0.017367
201816_s_at	GBAS	Glioblastoma-amplified sequence	1.213	0.04042
201849_at	BNIP3	BCL2/adenovirus E1B 19 kDa interacting protein 3	1.536	0.002527
214126_at	MCART1	Mitochondrial carrier triple repeat 1	1.077	0.013712
200657_at	SLC25A5	Solute carrier family 25, member 5	1.355	0.023624
213149_at	DLAT	Dihydrolipoamide S-acetyltransferase	1.365	0.002432
211569_s_at	HADHSC	L-3-hydroxyacyl-coenzyme A dehydrogenase, short chain	1.416	0.012341
218654_s_at	MRPS33	Mitochondrial ribosomal protein S33	1.316	0.002095
217386_at	MRPS11	Mitochondrial ribosomal protein S11	1.096	0.012341
215171_s_at	TIMM17A	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	1.291	0.002057
200692_s_at	HSPA9B	Heat shock 70 kDa protein 9B (mortalin-2)	1.309	0.012341
219133_at	FLJ20604	Hypothetical protein FLJ20604	1.323	0.002057
217869_at	HSD17B12	Hydroxysteroid (17-beta) dehydrogenase 12	1.706	0.012341
208652_at	PPP2CA	Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	1.697	0.012341
200884_at	CKB	Creatine kinase, brain	1.911	0.012341
218049_s_at	MRPL13	Mitochondrial ribosomal protein L13	1.427	0.012341
201193_at	IDH1	Isocitrate dehydrogenase 1 (NADP+), soluble	1.524	0.002057
218027_at	MRPL15	Mitochondrial ribosomal protein L15	1.341	0.021037
