Symbol	Description	Family	Agilent	Affymetrix	Fold Change Transgenic	p-value Transgenic	Fold Change Human	p-value Human
PCSK1	proprotein convertase subtilisin/kexin type 1	peptidase	A_52_P500979	205825_at	97.922	5.266E-06	3.482	0.020624168
SYT1	synaptotagmin I	transporter	A_51_P297900	203999_at	90.021	0.000959145	7.043	0.001851557
SCG5	secretogranin V (7B2 protein)	other	A_51_P221223	203889_at	75.536	1.62906E-06	5.108	0.04239368
CHGB	chromogranin B (secretogranin 1)	other	A_51_P191669	204260_at	57.069	1.80476E-05	4.406	0.004781784
ASCL1	achaete-scute complex homolog 1 (Drosophila)	transcription	A_51_P437327	209988_s_at	52.407	3.70362E-05	21.918	0.020834463
PBK	PDZ binding kinase	kinase	A_51_P230098	219148_at	49.231	2.27193E-06	4.405	0.001591159
INSM1	insulinoma-associated 1	other	A_51_P140887	206502_s_at	48.662	2.65568E-05	10.436	0.016057627
DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	enzyme	A_52_P470150	205311_at	29.379	5.82112E-07	4.374	0.0382405
CENPF	centromere protein F, 350/400ka (mitosin)	other	A_51_P246119	209172_s_at	27.908	1.29335E-05	2.82	0.022745116
SPAG5	sperm associated antigen 5	peptidase	A_51_P513530	203145_at	23.2	3.12796E-06	2.07	0.010276496
KIF5C	kinesin family member 5C	other	A_52_P299903	203130_s_at	22.547	2.21963E-06	5.825	0.011820924
CRMP1	collapsin response mediator protein 1	enzyme	A_52_P42255	202517_at	21.294	0.000285344	2.523	0.049699392
BUB1	budding uninhibited by benzimidazoles 1 homolog (yeast)	kinase	A_51_P123405	209642_at	19.783	9.33562E-05	2.794	0.004857171
CENPE	centromere protein E, 312kDa	other	A_51_P164014	205046_at	19.518	0.000180693	3.096	0.00153864
TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	other	A_51_P369200	210052_s_at	19.159	3.61918E-06	3.869	0.009617222
NUSAP1	nucleolar and spindle associated protein 1	other	A_51_P240453	218039_at	18.926	8.28382E-06	7.706	0.007061195
CCNA2	cyclin A2	other	A_51_P481920	203418_at	18.556	0.000284226	2.824	0.004098477
TOP2A	topoisomerase (DNA) II alpha 170kDa	enzyme	A_51_P252157	201292_at	17.033	0.000255911	7.669	0.000189971
UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	peptidase	A_51_P475049	201387_s_at	16.991	0.000388864	11.204	0.000258437
PRC1	protein regulator of cytokinesis 1	other	A_51_P366931	218009_s_at	16.707	1.37995E-05	7.13	0.005157825
RACGAP1	Rac GTPase activating protein 1	transporter	A_51_P243750	222077_s_at	15.752	1.07098E-06	4.691	0.002462346
KIF11	kinesin family member 11	other	A_51_P481398	204444_at	15.732	0.000346554	3.112	0.006685877
RGS16	regulator of G-protein signaling 16	other	A_51_P249286	209324_s_at	14.314	6.21962E-06	3.324	0.008774973
NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	other	A_51_P191649	204162_at	13.625	0.000257415	3.116	0.004765509
BIRC5	baculoviral IAP repeat-containing 5	other	A_51_P230103	202095_s_at	13.571	2.88992E-06	5.086	0.010179502
KIF20A	kinesin family member 20A	transporter	A_51_P133138	218755_at	13.204	0.000288927	2.733	0.009824599
KIF4A	kinesin family member 4A	other	A_51_P254811	218355_at	12.585	7.41492E-08	4.53	0.003389769
CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	kinase	A_52_P371129	204995_at	12.372	4.17309E-07	2.745	0.0225792
NRCAM	neuronal cell adhesion molecule	other	A_51_P306247	204105_s_at	12.142	0.002381056	10.659	0.001535983
UBE2C	ubiquitin-conjugating enzyme E2C	enzyme	A_51_P451151	202954_at	11.805	0.000141905	7.396	0.001181518
MCM2	minichromosome maintenance complex component 2	enzyme	A_51_P158210	202107_s_at	11.693	8.88504E-06	3.947	0.005563546
RRM2	ribonucleotide reductase M2	enzyme	A_51_P110689	209773_s_at	11.603	0.000144688	7.969	0.002776402
CKS2	CDC28 protein kinase regulatory subunit 2	kinase	A_52_P211063	204170_s_at	11.511	0.001355744	9	0.002015334
CDK1	cyclin-dependent kinase 1	kinase	A_51_P450033	203213_at	11.426	0.000135397	3.536	0.00360535
BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	kinase	A_51_P490509	203755_at	11.353	9.50969E-06	4.678	0.004857171
WASF1	WAS protein family, member 1	other	A_51_P322801	204165_at	11.163	9.65694E-05	3.394	0.002301764
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	transcription	A_51_P144813	207039_at	11.145	1.86519E-05	7.108	7.59261E-05
MCM6	minichromosome maintenance complex component 6	enzyme	A_51_P360492	201930_at	11.135	4.78643E-05	5.407	0.000386087
UNG	uracil-DNA glycosylase	enzyme	A_51_P469449	202330_s_at	11.117	7.32896E-05	2.676	0.002961774
ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	transcription	A_51_P494430	209291_at	11.038	2.45286E-07	4.012	0.000263494
AURKA	aurora kinase A	kinase	A_51_P150912	208079_s_at	11.024	5.26696E-05	4.039	0.013773077
TYMS	thymidylate synthetase	enzyme	A_51_P398366	202589_at	10.661	4.40432E-05	7.812	6.27667E-05
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	enzyme	A_52_P184149	201761_at	10.208	1.81878E-05	3.536	0.000573449
CDC20	cell division cycle 20 homolog (S. cerevisiae)	other	A_51_P361022	202870_s_at	10.148	0.00015775	5.315	0.004217328
NCAM1	neural cell adhesion molecule 1	other	A_51_P380309	212843_at	10.095	9.59393E-05	7.669	0.034779295
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	other	A_51_P230878	203362_s_at	10.017	4.04023E-05	6.472	0.000458105
TACC3	transforming, acidic coiled-coil containing protein 3	other	A_51_P220222	218308_at	9.977	4.96572E-05	2.366	0.019794747
PRIM1	primase, DNA, polypeptide 1 (49kDa)	enzyme	A_51_P168632	205053_at	9.721	2.51094E-06	2.657	0.006171603
CDH2	cadherin 2, type 1, N-cadherin (neuronal)	other	A_51_P262773	203440_at	9.601	4.17022E-06	3.696	0.034843154
H1FX	H1 histone family, member X	other	A_51_P114843	204805_s_at	9.123	3.63699E-05	2.588	0.025208589
CDKN3	cyclin-dependent kinase inhibitor 3	phosphatase	A_52_P30989	209714_s_at	9.099	5.56328E-06	6.57	0.007807378
CENPA	centromere protein A	other	A_51_P273979	204962_s_at	8.849	0.000380424	6.947	0.001058445
HOXB7	homeobox B7	transcription	A_52_P194971	216973_s_at	8.494	6.28158E-07	3.376	0.003216978
FBXO5	F-box protein 5	enzyme	A_51_P393958	218875_s_at	8.223	2.98246E-06	2.714	0.012414002
TIMELESS	timeless homolog (Drosophila)	other	A_52_P379531	203046_s_at	7.97	0.000207551	2.984	0.003049905
EPCAM	epithelial cell adhesion molecule	other	A_52_P447944	201839_s_at	7.741	6.3165E-07	2.256	0.013074187
ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)	peptidase	A_52_P658437	38158_at	7.624	5.65445E-05	3.879	0.001363817
EZH2	enhancer of zeste homolog 2 (Drosophila)	transcription	A_51_P248067	203358_s_at	7.618	5.04608E-06	5.876	0.002784384
CDC7	cell division cycle 7 homolog (S. cerevisiae)	kinase	A_51_P206616	204510_at	7.413	0.00014218	3.509	0.006452465
CCNB2	cyclin B2	other	A_51_P457528	202705_at	7.299	6.0251E-06	6.104	0.001675856
HOXB6	homeobox B6	transcription	A_51_P232207	205366_s_at	7.113	1.84019E-05	3.376	0.005529087
RFC5	replication factor C (activator 1) 5, 36.5kDa	enzyme	A_51_P246339	203209_at	6.92	7.46931E-07	3.138	0.000864276
RFC4	replication factor C (activator 1) 4, 37kDa	other	A_51_P378450	204023_at	6.767	7.86555E-06	7.367	0.000611852
NEK2	NIMA (never in mitosis gene a)-related kinase 2	kinase	A_51_P501018	204641_at	6.766	5.57637E-05	2.663	0.005975884
SMC2	structural maintenance of chromosomes 2	transporter	A_51_P265660	213253_at	6.371	1.76767E-06	2.783	0.002110155
MCM3	minichromosome maintenance complex component 3	enzyme	A_52_P364776	201555_at	6.224	8.37953E-06	3.001	0.000868841
HOXB5	homeobox B5	transcription	A_51_P436342	205601_s_at	6	7.76023E-07	3.907	0.010434118
SLC38A1	solute carrier family 38, member 1	transporter	A_52_P430462	218237_s_at	5.986	7.06266E-05	2.264	0.007156705
GINS2	GINS complex subunit 2 (Psf2 homolog)	other	A_52_P381303	221521_s_at	5.93	3.29651E-05	5.85	1.96963E-05
CKS1B	CDC28 protein kinase regulatory subunit 1B	kinase	A_51_P227004	201897_s_at	5.904	2.66957E-06	2.96	0.010103942
MCM5	minichromosome maintenance complex component 5	enzyme	A_51_P190111	216237_s_at	5.826	2.76362E-06	2.295	0.01850939
POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	enzyme	A_51_P269687	205909_at	5.812	0.000307671	3.552	0.000277097
POLA1	polymerase (DNA directed), alpha 1, catalytic subunit	enzyme	A_51_P415905	204835_at	5.764	0.000983335	2.098	0.000936708
PCNA	proliferating cell nuclear antigen	other	A_51_P396351	201202_at	5.711	4.14739E-06	3.607	0.000427573
LMNB1	lamin B1	other	A_51_P120717	203276_at	5.342	0.000434416	2.362	0.004441193
PCP4	Purkinje cell protein 4	other	A_51_P253984	205549_at	5.245	3.16149E-05	10.985	0.000852835
WHSC1	Wolf-Hirschhorn syndrome candidate 1	other	A_52_P279786	209054_s_at	5.071	0.000218984	2.39	0.00824391
FEN1	flap structure-specific endonuclease 1	enzyme	A_52_P502684	204767_s_at	5.032	2.76011E-05	4.155	0.001336268
PSIP1	PC4 and SFRS1 interacting protein 1	other	A_52_P109131	205961_s_at	4.926	0.000327536	3.503	0.002442807
DBF4	DBF4 homolog (S. cerevisiae)	kinase	A_51_P314907	204244_s_at	4.722	3.26465E-07	2.305	0.002661539
SLBP	stem-loop binding protein	other	A_51_P127615	206052_s_at	4.371	2.3783E-05	2.101	0.011409418
RFC3	replication factor C (activator 1) 3, 38kDa	enzyme	A_51_P479434	204127_at	4.101	0.000284815	2.975	0.007188282
TUBG1	tubulin, gamma 1	other	A_51_P499864	201714_at	4.063	1.04073E-06	2.34	0.028954895
CDC25B	cell division cycle 25 homolog B (S. pombe)	phosphatase	A_52_P612382	201853_s_at	3.997	6.29728E-05	3.656	0.001828787
HMGB3	high-mobility group box 3	other	A_51_P138548	203744_at	3.978	9.30882E-05	3.265	0.000854096
MEST	mesoderm specific transcript homolog (mouse)	peptidase	A_51_P124535	202016_at	3.975	0.002516669	15.92	0.000225152
DNMT1	DNA (cytosine-5-)-methyltransferase 1	enzyme	A_51_P195573	201697_s_at	3.973	1.35293E-06	2.299	0.013828895
STMN1	stathmin 1	other	A_52_P319161	200783_s_at	3.893	6.23059E-06	5.637	0.000202392
ENO2	enolase 2 (gamma, neuronal)	enzyme	A_52_P748882	201313_at	3.674	0.000252332	3.308	0.017863248
GCH1	GTP cyclohydrolase 1	enzyme	A_52_P298002	204224_s_at	3.658	4.59884E-05	2.324	0.002177059
RTN1	reticulon 1	other	A_52_P424959	203485_at	3.558	8.55118E-05	4.493	0.009392076
ACOT7	acyl-CoA thioesterase 7	enzyme	A_51_P328652	208002_s_at	3.516	1.46922E-05	2.055	0.00156326
NOVA1	neuro-oncological ventral antigen 1	other	A_52_P204629	205794_s_at	3.449	0.006297333	2.017	0.037060298
GMNN	geminin, DNA replication inhibitor	other	A_51_P166155	218350_s_at	3.423	5.33142E-05	3.751	0.002364953
KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	transporter	A_52_P608020	201088_at	3.282	0.002567577	3.046	0.020841828
MARCKSL1	MARCKS-like 1	other	A_51_P257550	200644_at	3.27	0.000135918	4.526	0.000366024
RBBP8	retinoblastoma binding protein 8	other	A_51_P300936	203344_s_at	3.261	3.76187E-05	2.485	0.00011789
TOPBP1	topoisomerase (DNA) II binding protein 1	other	A_51_P302651	202633_at	3.244	1.65256E-05	2.986	0.004532733
ASNS	asparagine synthetase	enzyme	A_51_P125745	205047_s_at	3.134	3.55254E-05	4.368	0.002378389
PAFAH1B3	platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)	enzyme	A_51_P267024	203228_at	3.082	0.001491083	2.07	0.004621127
SMC4	structural maintenance of chromosomes 4	transporter	A_51_P111210	201664_at	3.017	0.001634287	4.281	0.008751413
RAD51AP1	RAD51 associated protein 1	other	A_51_P155582	204146_at	3.007	1.62927E-05	3.812	0.003969498
UBE2S	ubiquitin-conjugating enzyme E2S	enzyme	A_51_P261689	202779_s_at	3.005	6.64625E-05	6.177	0.000822741
TUBB	tubulin, beta	other	A_52_P163796	212320_at	2.951	3.95958E-06	2.56	0.005907218
MSH6	mutS homolog 6 (E. coli)	enzyme	A_51_P405565	202911_at	2.844	1.16837E-05	2.192	0.009708088
SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	other	A_51_P268094	212190_at	2.824	0.005827827	2.265	0.013459189
RAN	RAN, member RAS oncogene family	enzyme	A_52_P344910	200750_s_at	2.817	0.0003396	2.693	0.006506955
NME1	non-metastatic cells 1, protein (NM23A) expressed in	kinase	A_51_P253904	201577_at	2.796	0.000170299	3.154	0.007414738
RAD21	RAD21 homolog (S. pombe)	other	A_52_P39237	200608_s_at	2.739	9.73335E-05	2.27	0.012189796
MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	enzyme	A_51_P283708	209421_at	2.694	2.46976E-06	3.067	0.002761595
STXBP1	syntaxin binding protein 1	transporter	A_51_P300717	202260_s_at	2.684	0.000164909	2.148	0.024761878
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	transporter	A_51_P273639	201195_s_at	2.591	7.65806E-06	3.892	0.007103173
LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	other	A_52_P434038	209449_at	2.523	0.000251237	2.107	0.003802284
DEK	DEK oncogene	transcription	A_51_P298355	200934_at	2.522	0.002554613	2.562	0.000254095
CBFB	core-binding factor, beta subunit	transcription	A_52_P586157	202370_s_at	2.522	0.001165512	2.021	0.001915899
NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	other	A_51_P408155	217963_s_at	2.454	5.01558E-05	2.692	0.00170966
CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	transcription	A_52_P632567	207625_s_at	2.443	0.001477474	2.263	0.009944907
ZWINT	ZW10 interactor	other	A_52_P509710	204026_s_at	2.393	0.000692161	8.399	0.00193521
HDGFRP3	hepatoma-derived growth factor, related protein 3	other	A_51_P410581	209526_s_at	2.364	0.000956225	2.405	0.001293264
USP1	ubiquitin specific peptidase 1	peptidase	A_51_P381657	202413_s_at	2.342	0.000169049	2.958	0.000865478
RANBP1	RAN binding protein 1	other	A_51_P142465	202483_s_at	2.333	0.004852267	2.953	0.001191736
