Accession no.	Gene name	Gene symbol	Average fold change Male 0.5 microgramEE	Average fold change Male 1 microgramEE	Average fold change Male 10 microgramEE	Average fold change Female 0.5 microgramEE	Average fold change Female 1 microgramEE	Average fold change Female 10 microgramEE
AA957003	EST, highly homologous to S100 calcium-binding protein A8 (calgranulin A)	S100a8	1.7	1.9	3.2	1.4	1.2	1.8
L18948	EST, highly homologous to S100 calcium-binding protein A9 (calgranulin B)	S100a9	1.1	1.1	2.9	1.4	1.4	2
AA866443	EST, Rattus norvegicus		1.1	1.5	2.4	1.7	1.6	2.9
AA848831	EST, highly homologous to endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor	Edg2	1.4	1.5	2	1.4	1.1	2.1
AI230256	EST, highly homologous to inhibitor of DNA binding 2, dominant negative helix-loop-helix	Id2	1.9	1.2	1.9	1.3	1.7	1.6
X60769	Silencer factor B	sfb	1	1.2	1.9	1	1.2	1.7
X69903	Interleukin 4 receptor	IL4R	1.1	1.4	1.9	1.7	2.3	2.4
AI145680	EST, highly homologous to solute carrier 16 (monocarboxylic acid transporter)	Slc16a1	1.1	1.4	1.8	1.4	2	1.8
L35767	Very low density lipoprotein receptor	Vldlr	1.3	1.3	1.8	1.1	1.3	1.4
AA850734	EST, highly homologous to vascular endothelial growth factor	Vegf	1.3	1.4	1.8	1.2	1.5	1.3
AA891054	EST, Rattus norvegicus		1	1.1	1.7	1.1	1.1	1.4
AA866321	EST, Rattus norvegicus		1.2	1.3	1.7	1.3	1.2	1.8
AA858607	EST, Rattus norvegicus		1.1	1	1.6	1.1	1.1	1.4
D42145	Inwardly rectifying potassium channel gene, subfamily	Kcnj8	1.4	1.4	1.6	1.2	1.4	1.5
D63834	Solute carrier 16 (monocarboxylic acid transporter)	Slc16a1	1.1	1	1.6	1.1	1.1	1.3
AA892179	EST, highly homologous to adapter protein CIKS or NF-kappaB activator 1		1.1	1.3	1.6	1.1	1.1	1.6
S64044	Progesterone receptor	Pgr	1	1	1.5	1.3	1.6	2.9
S79730	Endogenous agonist of opioid receptor-like ORL1 receptor	ORL1	1.5	1.6	1.5	1.5	1.3	1.5
AA799832	EST, Rattus norvegicus		1.1	1.2	1.5	1.1	1	1.4
AF019628	ATP-binding cassette, sub-family C (CFTR/MRP), member or sulfonylurea receptor 2B	Abcc9	1.1	1.2	1.5	1.3	1.5	1.5
X16262	Myosin heavy chain 11	Myh11	1	1	1.5	1	1.3	2
D49494	Growth/differentiation factor-10 or prepro bone inducing protein	Gdf10	1.8	1.4	1.5	1.1	1.2	1.3
AA892338	EST, Rattus norvegicus		1.4	1.1	1.4	1.1	1.1	1.5
AA892797	EST, highly homologous to rat phosphoglycerato kinase	PGK2	1.1	1.3	1.4	1.2	1.3	1.4
AA946368	EST, highly homologous to CD36 antigen (collagen type I receptor, thrombospondin)	Cd36	1	1.3	1.4	1.2	1.5	1.8
S68135	Glucose transporter 1	GLUT1	1.1	1.1	1.4	1.2	1	1.8
M57664	Creatine kinase, brain	Ckb	1.3	1.3	1.4	1	1	1.6
U87627	Monocarboxylate transporter	Mct3	1.2	1.1	1.3	1	1.1	1.3
M15481	Insulin-like growth factor1	IGF1	1.1	1.2	1.3	1.4	1.3	2.4
Y08139	Dermo-1 protein	Dermo1	1.5	1.3	1.3	1.1	1.2	1.7
M32062	Fc receptor, IgG, low affinity III	Fcgr3	1.1	1.1	1.3	1.2	1.2	1.4
AA799560	EST, highly homologous to N-myc downstream-regulated gene 2	Ndrg2	1	1	1.3	1	1.1	1.5
U22424	Hydroxysteroid dehydrogenase, 11 beta type 2	Hsd11b2	1.1	1.1	1.3	1.6	1.6	4.3
L19998	Sulfotransferase family 1A, phenol-preferring, member 1or Minoxidil sulfotransferase	Sult1a1	1.2	1.1	1.3	1	1.1	1.3
L24374	Matrix metalloproteinase 7 (matrilysin)	Mmp7	1.3	1.1	1.3	1.1	1.2	1.6
M16410	Tachykinin 2 or neurokinin B precursor	Tac2	1.5	1.4	1.3	1.3	1.3	1.6
L32591	DNA-damage-inducible transcript 1 or GADD45	Gadd45a	1.2	1.1	1.3	1.4	1	2
AA800928	EST, Rattus norvegicus		1.1	1.2	1.3	1.4	1.4	2
M13979	Solute carrier family 2,member 1 or brain glucose-transporter	Slc2a1	1	1	1.3	1.5	1.4	2.6
AA891969	EST, Rattus norvegicus		-1.3	-1.3	-1.3	-1	-1.1	-1.3
AA891916	EST, highly homologous to membrane interacting protein of RGS16	Ir16	-1.1	-1	-1.3	-1.2	-1.3	-1.3
M58040	Transferrin receptor	Trfr	-1.4	-1.2	-1.4	1.1	1.1	-1.4
M10934	Retinol-binding protein	RBP	-1.2	-1.5	-1.6	-1.4	-1.9	-2.9
AI639368	EST, Rattus norvegicus		-1.2	-1	-1.6	-1.2	-1.2	-1.3
K01932	Glutathione-S-transferase, alpha type (Ya)	Gsta1	-1	-1.1	-1.6	-1.1	-2.1	-2.1
X75785	Synaptonemal complex protein 3 or SCP3 protein	Sycp3	-1.9	-1.9	-1.6	-1.6	-2	-1.9
U42427	Anti-Mullerian hormone type 2 receptor or MIS type II receptor	Amhr2	-1.6	-1.9	-2.1	-1.4	-1.3	-1.6
AI009682	EST, highly homologous to aspartyl-tRNA synthetase	Dars	-1.1	-1.7	-2.2	1	-1.1	-1.4
