Gene symbol	Gene title
CALML4	Calmodulin-like 4
AKR1B10	Aldo-keto reductase family 1, member B10
RAB3D	RAB3D, member RAS oncogene family
CLGN	Calmegin
AQP3	Aquaporin 3
PITPNC1	Phosphatidylinositol transfer protein, cytoplasmic 1
CKB	Creatine kinase, brain
CHST5	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5
—	Similar to KIAA0563 gene product
TFCP2L1	Transcription factor CP2-like 1
G1P2	IFN, ?-inducible protein (clone IFI-15K)
PEX14	Peroxisomal biogenesis factor 14
GCHFR	GTP cyclohydrolase I feedback regulator
TAF6	TAF6 RNA polymerase II, TATA box binding protein–associated factor
—	Ribosomal protein S4-like (RPS4L)
RNF24	Ring finger protein 24
NCOR1	Nuclear receptor co-repressor 1
SULT1E1	Sulfotransferase family 1E, estrogen-preferring, member 1
SIAT7E	Sialyltransferase 7
ZNF496	Zinc finger protein 496
—	EST
CHST12	Carbohydrate (chondroitin 4) sulfotransferase 12
