Gene symbol	Gene title	Day 6 fold change	Day 11 fold change	Functional Category
ARTS-1	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	4.6	2.4	Antigen processing and presentation
HLA-A	Major histocompatibility complex, class I, A	1.5	1.6	Antigen processing and presentation
HLA-B	Major histocompatibility complex, class I, B	1.1	2.1	Antigen processing and presentation
HLA-DPB1	Major histocompatibility complex, class II, DP beta 1	1.8	1.6	Antigen processing and presentation
HLA-DRA	Major histocompatibility complex, class II, DR alpha	2	1.8	Antigen processing and presentation
HLA-DRB1	Major histocompatibility complex, class II, DR beta 1	1.9	1.3	Antigen processing and presentation
HLA-DRB4	Major histocompatibility complex, class II, DR beta 4	1.7	1	Antigen processing and presentation
HLA-G	HLA-G histocompatibility antigen, class I, G	1.2	1.8	Antigen processing and presentation
ECRP	Eosinophil cationic related protein	2.5	3	Defense response
ELA2	Elastase 2, neutrophil	3.4	2.8	Defense response
FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	1.8	1.2	Defense response
IL4R	Interleukin 4 receptor	2.2	2.2	Defense response
MPO	Myeloperoxidase	3	1.6	Defense response
NCF4	Neutrophil cytosolic factor 4, 40 kDa	2.1	1.5	Defense response
PRG3	Proteoglycan 3	1.5	1.6	Defense response
RNASE2	Ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	1.7	1.8	Defense response
TPSAB1	Tryptase alpha/beta 1	4.6	3.9	Defense response
TPSAB1 / TPSB2	Tryptase alpha/beta 1 / tryptase beta 2	4.5	4	Defense response
TPSB2	Tryptase beta 2	5	3.5	Defense response
AHSP	Alpha hemoglobin stabilizing protein	?1.8	?1.1	Heme/globin synthesis
ALAD	Aminolevulinate, delta-, dehydratase	?2.1	?1.3	Heme/globin synthesis
ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	?2.1	?1.0	Heme/globin synthesis
HBE1	Hemoglobin, epsilon 1	?1.8	?1.3	Heme/globin synthesis
UROD	Uroporphyrinogen decarboxylase	?1.6	?1.2	Heme/globin synthesis
ANK1	Ankyrin 1, erythrocytic	?1.6	?1.2	Blood group antigens/erythroid factors
AQP1	Aquaporin 1 (Colton blood group)	?3.0	?1.7	Blood group antigens/erythroid factors
ARG1	Arginase, liver	?2.3	?1.6	Blood group antigens/erythroid factors
ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	?2.6	?1.3	Blood group antigens/erythroid factors
BCAM	Basal cell adhesion molecule (Lutheran blood group)	?1.5	?3.5	Blood group antigens/erythroid factors
BSG	Basigin (Ok blood group)	?1.7	?1.3	Blood group antigens/erythroid factors
CD44	CD44 molecule (Indian blood group)	?1.7	?1.9	Blood group antigens/erythroid factors
DARC	Duffy blood group, chemokine receptor	?1.7	?1.3	Blood group antigens/erythroid factors
EPB42	Erythrocyte membrane protein band 4.2	?1.8	?1.1	Blood group antigens/erythroid factors
EPOR	Erythropoietin receptor	?1.9	?1.3	Blood group antigens/erythroid factors
ERMAP	Erythroblast membrane-associated protein (Scianna blood group)	?1.5	?1.4	Blood group antigens/erythroid factors
GYPA	Glycophorin A (MNS blood group)	?1.5	?1.1	Blood group antigens/erythroid factors
NFE2	Nuclear factor (erythroid-derived 2), 45kDa	?1.5	?1.2	Blood group antigens/erythroid factors
PKLR	Pyruvate kinase, liver and RBC	?2.6	?1.7	Blood group antigens/erythroid factors
SLC4A1	Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	?3.1	?1.1	Blood group antigens/erythroid factors
TMOD1	Tropomodulin 1	?2.0	?1.3	Blood group antigens/erythroid factors
