Gene symbol	Genbank ID	Gene title	Fold change
ADAMDEC1	NM_014479	ADAM-like, decysin 1	1.81
AMFR	NM_001144	Autocrine motility factor receptor	1.9
APOLD1	NM_030817	Apolipoprotein L domain containing 1	1.56
BRDG1	NM_012108	BCR downstream signaling 1	2.06
C1orf38	AB035482	Chromosome 1 open reading frame 38	1.58
C1orf38	NM_004848	Chromosome 1 open reading frame 38	1.51
C8orf4	NM_020130	Chromosome 8 open reading frame 4	1.71
CCL5	M21121	Chemokine (C-C motif) ligand 5	1.61
CCL5	NM_002985	Chemokine (C-C motif) ligand 5	1.51
CCR7	NM_001838	Chemokine (C-C motif) receptor 7	1.66
CD52	N90866	CD52 molecule	1.7
CRYBB2	NM_000496	crystallin, ? B2	3.02
CXCR4	AJ224869	Chemokine (C-X-C motif) receptor 4	1.72
CXCR4	AF348491	Chemokine (C-X-C motif) receptor 4	1.66
CXCR4	L01639	Chemokine (C-X-C motif) receptor 4	1.65
DNAJC15	NM_013238	DnaJ (Hsp40) homologue, subfamily C	1.64
DUSP2	NM_004418	Dual specificity phosphatase 2	1.53
EBI2	NM_004951	EBV-induced gene 2	1.56
GZMA	NM_006144	Granzyme A	1.63
IFI44L	NM_006820	IFN-induced protein 44-like	1.63
IGH	M87789	Immunoglobulin heavy locus	1.78
IGHM	BC001872	Immunoglobulin heavy constant mu	2.37
IGJ	AV733266	Immunoglobulin J polypeptide	2.02
IGKC	L14458	Immunoglobulin ? constant	1.88
IGKC	BG485135	Immunoglobulin ? constant	1.67
IGKC	M63438	Immunoglobulin ? constant	1.6
IGKC	BC005332	Immunoglobulin ? constant	1.59
IGKV1D-13	AW408194	Immunoglobulin ? variable 1D-13	1.73
IGL	M87790	Immunoglobulin ? locus	1.82
IGL	X57812	Immunoglobulin ? locus	1.81
IGL	AA680302	Immunoglobulin ? locus	1.74
IGL	AV698647	Immunoglobulin ? locus	1.67
IL7R	NM_002185	Interleukin 7 receptor	1.61
INDO	M34455	Indoleamine-pyrrole 2,3 dioxygenase	1.64
ISG15	NM_005101	ISG15 ubiquitin-like modifier	1.6
ITK	D13720	IL2-inducible T-cell kinase	1.76
LOC283970	AI925734	Hypothetical protein LOC283970	1.53
LOC339562	M20812	Similar to Ig? chain V-I region Walker precursor	1.64
LOC651629	AW404894	Similar to Ig? chain V-I region Walker precursor	1.91
LOC652745	AJ408433	Similar to Ig? chain V-I region Walker precursor	2.12
LOC96610	X79782	Hypothetical protein similar to KIAA0187	1.57
LYZ	AV711904	Lysozyme (renal amyloidosis)	1.61
MMP9	NM_004994	Matrix metallopeptidase 9	1.86
PI15	NM_015886	Peptidase inhibitor 15	1.63
PSCDBP	L06633	Pleckstrin homology, Sec7	1.87
PSPHL	NM_003832	Phosphoserine phosphatase-like	4.64
PTPRC	NM_002838	Protein tyrosine phosphatase, receptor type, C	1.6
RASA4	AB011110	RAS p21 protein activator 4	1.5
SF1	D26121	Splicing factor 1	2.17
STAT1	BC002704	Signal transducer and activator of transcription 1	1.71
STAT1	M97935_MB	Signal transducer and activator of transcription 1	1.51
TRBV19	M15564	T-cell receptor ? variable 19	1.64
TRBV19	AL559122	T-cell receptor ? variable 19	1.57
TRBV21-1	AF043179	T-cell receptor ? variable 21-1	1.58
ADRB1	NM_000684	Adrenergic receptor, ?-1	0.63
ARL17P1	AF119889	ADP-ribosylation factor-like 17 pseudogene 1	0.67
EIF2S3	NM_001415	Eukaryotic translation initiation factor 2	0.65
LGALS8	AF342815	Lectin, galactoside-binding, soluble, 8	0.7
LGALS8	AF342816	Lectin, galactoside-binding, soluble, 8	0.58
PLGLB2	BC005379	Plasminogen-like B2	0.66
SMA3	NM_006780	SMA3	0.7
SMA3	X83301	SMA3	0.61
ZNF654	NM_018293	Zinc finger protein 654	0.7
