ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue
ENSMUSG00000019278	Microsomal dipeptidase precursor (EC 3.4.13.19) (MDP) (Dehydropeptidase-I) (Renal dipeptidase) (RDP). [Sourc	eMTG_602476545	-2.86	0.00269
ENSMUSG00000028766	Alkaline phosphatase, tissue-nonspecific isozyme precursor (EC 3.1.3.1) (AP-TNAP) (TNSALP). [Source:Uniprot/	MTG_602475017	-2.77	0.00504
ENSMUSG00000033197	Fructose-1,6-bisphosphatase (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase) (FBPase). [Sourc	gbctl04_plate7_I17	-2.65	0.00312
ENSMUSG00000021490	Renal sodium-dependent phosphate transport protein 2 (Sodium/phosphate cotransporter 2) (Na(+)/Pi cotranspor	tMTG_602472912	-2.58	0.00239
ENSMUSG00000022821	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisicase) (Homogentisate oxygenase) (Homogentisic a	MTG_602471885	-2.58	0.00307
ENSMUSG00000027227	Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase) (Fragment). [Source:Uniprot/SWISSPROT;Acc:	gbctl04_plate14_J08	-2.57	0.00239
ENSMUSG00000028737	aldehyde dehydrogenase 4 family, member A1. [Source:RefSeq;Acc:NM_175438	gbctl04_plate14_I09	-2.51	0.003
ENSMUSG00000005269		MTG_602472323	-2.43	0.00239
ENSMUSG00000023013	Aquaporin-CD (AQP-CD) (Water channel protein for renal collecting duct) (ADH water channel) (Aquaporin 2) (Co	gbctl04_plate11_J06	-2.39	0.00265
ENSMUSG00000025792	Mitochondrial dicarboxylate carrier. [Source:Uniprot/SWISSPROT;Acc:Q9QZD8]	MTG_602473893	-2.39	0.00239
ENSMUSG00000020432	Transcobalamin II precursor (TCII) (TC II). [Source:Uniprot/SWISSPROT;Acc:O88968]	gbctl04_plate8_O14	-2.38	0.00302
ENSMUSG00000028607	Carnitine O-palmitoyltransferase II, mitochondrial precursor (EC 2.3.1.21) (CPT II). [Source:Uniprot/SWISSPROT;	MTG_602472017	-2.37	0.0034
ENSMUSG00000036395		MTG_602472165	-2.3	0.00315
ENSMUSG00000002204	Kidney-derived aspartic protease-like protein precursor (EC 3.4.23.-) (KDAP-1) (KAP) (Napsin). [Source:Uniprot/	gbctl04_plate9_O16	-2.26	0.00471
ENSMUSG00000026295	Secreted phosphoprotein 24 precursor (Spp-24) (Secreted phosphoprotein 2). [Source:Uniprot/SWISSPROT;Acc:	gbctl04_plate3_O15	-2.26	0.00422
ENSMUSG00000038298	PDZ domain containing 1. [Source:RefSeq;Acc:NM_021517]	gbctl04_plate17_K20	-2.26	0.00272
ENSMUSG00000009772	SNF1/AMP-activated protein kinase. [Source:RefSeq;Acc:NM_028778]	MTG_602470810	-2.24	0.00276
ENSMUSG00000021335	Renal sodium-dependent phosphate transport protein 1 (Sodium/phosphate cotransporter 1) (Na(+)/PI cotranspor	tMTG_602477591	-2.22	0.00272
ENSMUSG00000058620	Alpha-2B adrenergic receptor (Alpha-2B adrenoceptor) (Alpha-2B adrenoreceptor). [Source:Uniprot/SWISSPROT	MTG_602475509	-2.22	0.01048
ENSMUSG00000059666		gbctl04_plate6_E15	-2.19	0.0185
ENSMUSG00000018339		MTG_602475610	-2.16	0.00239
ENSMUSG00000030088	10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6) (10-FTHFDH). [Source:Uniprot/SWISSPROT;Acc:Q8R0Y6	MTG_602471275	-2.16	0.00272
ENSMUSG00000055312		MTG_602467761	-2.15	0.00975
ENSMUSG00000026726	Cubilin (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9JLB4]	MTG_602472474	-2.12	0.01622
ENSMUSG00000027463		MTG_602470710	-2.1	0.00291
ENSMUSG00000000278	Retinoid-inducible serine carboxypeptidase precursor (EC 3.4.16.-). [Source:Uniprot/SWISSPROT;Acc:Q920A5	MTG_602296404	-2.06	0.00495
ENSMUSG00000028199	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta- crystallin). [Source:Uniprot/SWISSPRO	TMTG_602474534	-2.05	0.00246
ENSMUSG00000029090		MTG_602470853	-2.02	0.04447
ENSMUSG00000028307	Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase) (Aldolase 2). [Source:Uniprot/SWISSPROT	;MTG_602476083	-2.01	0.0026
ENSMUSG00000052520	Cytochrome P450 2J5 (EC 1.14.14.1) (CYPIIJ5) (Arachidonic acid epoxygenase). [Source:Uniprot/SWISSPROT;	gbctl04_plate13_I05	-2.01	0.00264
ENSMUSG00000024650	solute carrier family 22 member 6; organic cationic transporter-like 1. [Source:RefSeq;Acc:NM_008766	MTG_602477071	-1.98	0.00512
ENSMUSG00000019810		gbctl04_plate7_A13	-1.94	0.00391
ENSMUSG00000031766	Solute carrier family 12 member 3 (Thiazide-sensitive sodium-chloride cotransporter) (Na-Cl symporter). [Source:	MTG_602470481	-1.92	0.00307
ENSMUSG00000036880	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase). [Source:RefSeq;Acc:NM_1	MTG_602468447	-1.92	0.00562
ENSMUSG00000001827	Folate receptor alpha precursor (FR-alpha) (Folate receptor 1) (Folate-binding protein 1). [Source:Uniprot/SWISS	gbctl04_plate12_P06	-1.9	0.009
ENSMUSG00000020456	2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor (EC 1.2.4.2) (Alpha-ketoglutarate dehydro	gMTG_602472411	-1.88	0.02222
ENSMUSG00000022613	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase) (Aldehyde reductase-like 6) (Renal-specific oxidored	gbctl04_plate16_D05	-1.88	0.00803
ENSMUSG00000033295	protein tyrosine phosphatase, receptor type, F; leukocyte antigen-related (LAR) PTP receptor. [Source:RefSeq;A	gbctl04_plate12_P16	-1.84	0.01346
ENSMUSG00000000594	Ganglioside GM2 activator precursor (GM2-AP) (Cerebroside sulfate activator protein) (Shingolipid activator prote	MTG_602472911	-1.83	0.00305
ENSMUSG00000054733	Peptide methionine sulfoxide reductase (EC 1.8.4.6) (Protein- methionine-S-oxide reductase) (PMSR) (Peptide M	eMTG_602472804	-1.8	0.00333
ENSMUSG00000063903	Glandular kallikrein K3 precursor (EC 3.4.21.35) (Tissue kallikrein 3) (mGK-3) (7S nerve growth factor gamma ch	MTG_602472966	-1.78	0.02265
ENSMUSG00000017760	Lysosomal protective protein precursor (EC 3.4.16.5) (Cathepsin A) (Carboxypeptidase C) (Protective protein for	MTG_602468067	-1.77	0.01341
ENSMUSG00000031161	Histone deacetylase 6 (HD6) (Histone deacetylase mHDA2). [Source:Uniprot/SWISSPROT;Acc:Q9Z2V5	MTG_602473484	-1.76	0.00331
ENSMUSG00000027070		MTG_602310631	-1.74	0.0038
ENSMUSG00000028173		gbctl04_plate8_P14	-1.74	0.00451
ENSMUSG00000061922		gbctl04_plate8_G20	-1.74	0.0062
ENSMUSG00000022037	Clusterin precursor (Sulfated glycoprotein 2) (SGP-2) (Clustrin) (Apolipoprotein J) (Apo-J). [Source:Uniprot/SWIS	gbctl04_plate7_P19	-1.73	0.00423
ENSMUSG00000021822	Urokinase-type plasminogen activator precursor (EC 3.4.21.73) (uPA) (U-plasminogen activator). [Source:Uniprot	/MTG_602476446	-1.72	0.0094
ENSMUSG00000041488	Syntaxin 3. [Source:Uniprot/SWISSPROT;Acc:Q64704]	MTG_602474906	-1.72	0.00658
ENSMUSG00000021133		MTG_602469422	-1.71	0.00265
ENSMUSG00000025716	Myosin IIIA (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:Q8K3H5]	gbctl04_plate10_I06	-1.71	0.01438
ENSMUSG00000029705	CCAAT displacement protein (CDP) (Cut-like 1) (Homeobox protein Cux) (Fragment). [Source:Uniprot/SWISSPR	MTG_602476536	-1.71	0.0069
