Factor		Total (fold change)	p-value	Polysome (fold change)	p-value
Contribution from translation	SMARCA2	1.46	NS	4.26	0.009
Contribution from translation	SMARCB1	-4	NS	4.36	0.024
Contribution from translation	MEF2C	1.31	NS	3.98	0.004
Contribution from translation	MEF2D	-1.29	NS	2.35	0.018
Contribution from translation	NF-KBIA	1.24	NS	2.81	0.027
Contribution from translation	Oncostatin M receptor/IL6ST	1.24	NS	80.12	0.01
Contribution from translation	Caspase 8	-1.92	NS	4.17	0.01
Contribution from translation	Caspase 9	1.26	NS	3.5	0.025
Contribution from translation	OAS1	-1.69	NS	4.82	0.016
Contribution from translation	IRF3	1	NS	5.65	0.034
Contribution from translation	IFI16	1.9	NS	54.11	0.009
Contribution from translation	RARA	-1.19	NS	2.69	0.05
Contribution from translation	RXRA	1.45	NS	2.17	0.004
Contribution from translation	RXRB	-1.23	NS	4.45	0.013
Contribution from translation	STAT6	1.29	NS	2.99	0.011
Contribution from translation	EGR1	1.52	NS	12.34	0.05
Contribution from translation	IGFBP1	1.87	NS	7.38	0.01
Contribution from translation	MMP3	-1.1	0.044	6.87	0.047
Contribution from translation	SLC27A3	2.03	0.043	22.77	0.031
Contribution from transcription	PPARA	2.25	0.002	2.49	0.026
Contribution from transcription	PPARD	2	0.001	3.8	0.005
Contribution from transcription	CEBPA	3.91	0.05	3.86	0.004
Contribution from transcription	HLF	14.11	0.001	17.09	0.015
Contribution from transcription	ADH1B	354.89	0.021	335.41	0.05
Contribution from transcription	ADH1C	38.86	0.05	27.37	0.003
Contribution from transcription	ADH6	18.22	0.029	46.55	0.05
Contribution from transcription	ApoH	6.49	0.05	7.59	0.008
Contribution from transcription	SERPINA1	2.7	0.007	10.69	0.015
Contribution from transcription	SERPINA4	4.86	0.05	18.58	0.037
Contribution from transcription	SERPINF2	9.82	0.05	2.3	0
Contribution from transcription	Complement component 1, s	2.3	0.008	3.4	0.041
Contribution from transcription	Complement component 3	2.28	0.05	2.98	0.042
Contribution from transcription	Complement component 4A	6.65	0.006	7.86	0.025
Contribution from transcription	Complement component 5	3.42	0.039	2.33	0.014
Contribution from transcription	Complement component 6	36.2	0	48.42	0.043
Contribution from transcription	Fibrinogen A	15.35	0.017	9.84	0.022
Contribution from transcription	Fibrinogen B	17.13	0.033	15.02	0.033
Contribution from transcription	Fibrinogen G	14.79	0.015	11.55	0.016
Contribution from transcription	TNFSF10 / TRAIL	7.08	0.002	5.15	0.007
Contribution from transcription	IL6R	9.3	0	15.95	0.012
Contribution from transcription	BMP2	-2.08	0	-2	0.014
Contribution from transcription	PDGFB	-2.53	0.013	-2.62	0.003
Translational repression	MME	18.16	0.025	1.48	NS
Translational repression	E-cadherin	8.64	0.043	-1.35	NS
Translational repression	CYP3A4	357.26	NS	11.29	0.015
Translational repression	CYP3A5	20.14	0.012	4.66	NS
Translational repression	CYP2B6	22.78	0.021	2.55	0.016
Translational repression	CYP7B1	2.85	0.048	-1.49	NS
Translational repression	CYP2A6	2.85	0.002	-1.51	NS
Translational repression	CYP2C19	17.7	NS	1.35	0.032
Translational repression	CYP4F3	19.58	0.038	5.14	NS
Translational repression	TGFBR2	6.78	0.001	1.15	NS
Translational repression	VEGF	4.67	0.034	-2.7	NS
Translational repression	Insulin receptor	3.83	<0.001	1.2	NS
Translational repression	Leptin receptor	3.07	0.007	1.34	NS
