Sanger ID	Ensembl	Gene ID	Statistical Analysis of Microarray score	Fold difference
298509_A	ENSG00000108821	COL1A1	3.54	9.23
214997_A	ENSG00000108821	COL1A1	3.58	9.22
323321_A	ENSG00000026432	COL1A1	3.26	8.29
341752_A	ENSG00000178939	LGALS7	4.17	7.97
810813_B	ENSG00000160675	S100A2	3.66	7.48
300737_A	ENSG00000065534	MYLK	2.5	7.11
188036_C	ENSG00000151914	BPAG1	2.94	6.85
188036_A	ENSG00000151914	BPAG1	3.39	6.38
264525_A	ENSG00000065534	MYLK	3.24	5.92
249977_A	ENSG00000100234	TIMP3	3.18	5.59
270187_A	ENSG00000102265	TIMP1	3.57	5.04
310019_A	ENSG00000065534	MYLK	2.4	4.98
stSG89269	ENSG00000100234	TIMP3	2.78	4.79
266325_A	ENSG00000102265	TIMP1	3.42	4.79
327165_A	ENSG00000166628	SERPINB5	3.14	4.72
263278_A	ENSG00000113140	SPARC	3.89	4.66
1404774_A	ENSG00000087494	PTHLH	2.42	4.55
346130_A	ENSG00000169474	SPRR1B	2.73	4.45
51003_A	ENSG00000011065	DKK3	2.88	4.11
359747_A	ENSG00000178939	LGALS7	3.01	4.09
813614_C	ENSG00000169474	SPRR1B	2.91	3.91
141815_A	ENSG00000101384	JAG1	3.2	3.89
302294_A	ENSG00000166033	PRSS11	3.1	3.65
346610_A	ENSG00000175793	SFN	4.86	3.56
324700_A	ENSG00000149968	MMP3	2.5	3.34
38967_A	ENSG00000166033	PRSS11	3.39	3.3
810017_A	ENSG00000104368	PLAT	3.12	3.26
111081_A	ENSG00000169688	MT1F	3.08	3.21
809810_A	ENSG00000137699	TRIM29	2.68	3.19
1840568_A	ENSG00000184330	S100A7	2.75	3.14
347284_A	ENSG00000105974	CAV1	3.33	3.13
788192_A	ENSG00000087494	PTHLH	3.24	3.09
195273_A	ENSG00000139219	COL1A1	2.55	3.02
293270_A	ENSG00000107987	AKR1C2	3.21	2.94
728114_A	ENSG00000166899	FABP5	2.46	2.93
1568010_A	ENSG00000109321	AREG	2.85	2.9
137665_A	ENSG00000073282	TP73L	2.89	2.82
364409_A	ENSG00000121552	CSTA	2.54	2.8
22117_A	ENSG00000136699	FLJ20297	3.75	2.77
813614_A	ENSG00000169474	SPRR1B	2.61	2.69
297392_A	ENSG00000187193	MT1L	3.79	2.61
127982_A	ENSG00000104368	PLAT	2.84	2.58
148057_A	ENSG00000117318	ID3	3.74	2.56
66946_A	ENSG00000169688	MT1B	3.13	2.54
26285_A	ENSG00000091409	ITGA6	3.3	2.5
267759_A	ENSG00000105974	CAV1	2.53	2.49
149370_A	ENSG00000109861	CTSC	4.47	2.45
274164_A	ENSG00000187193	MT1F	4.07	2.44
292784_A	ENSG00000109861	CTSC	3.69	2.43
418137_A	ENSG00000105281	SLC1A5	5.24	2.42
