Symbol	Accession number	Description	Biological function
NPY	NM_000905	Neuropeptide Y	Cell proliferation
TMSNB	NM_021992	Thymosin, beta, identified in neuroblastoma cells	Cytoskeleton organization and biogenesis
HIST1H2BG	BC001131	Histone 1, H2bg	DNA binding
DDX3Y	NM_004660	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Nucleic acid binding
MMP12	NM_002426	Matrix metalloproteinase 12 (macrophage elastase)	Proteolysis and peptidolysis
EYA1	AJ000098	Eyes absent homologue 1 (Drosophila)	Regulation of transcription
RPL18A	NM_000980	Ribosomal protein L18a	RNA binding
RPS4Y1	NM_001008	Ribosomal protein S4, Y-linked 1	RNA binding
EIF1AY	BC005248	Eukaryotic translation initiation factor 1A, Y-linked	RNA binding
MYCN	BC002712	v-myc myelocytomatosis viral-related oncogene, neuroblastoma-derived (avian)	Transcription factor activity
TFAP2B	NM_003221	Transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	Transcription factor activity
ISL1	NM_002202	ISL1 transcription factor, LIM/homeodomain (islet-1)	Transcription factor activity
my048	AF063606	my048 protein	—
IGKC	AA777793	Immunoglobulin kappa light chain VKJ region	—
