Gene Name	Gene ID	Fold Induction
sulfotransferase family 1E, member 1	Sultfe1
neurotensin	Nts	211.8
chemokine (C-X-C motif) receptor 4	Cxcr4	81.5
extra cellular link domain-containing 1	Xlid1	70.7
pentaxin related gene	Ptx3	63
epiregulin	Ereg	60.9
runt related transcription factor 2	Runx2	59.7
steroidogenic acute regulatory protein	Star	49.7
fatty acid binding protein 4, adipocyte	Fabp4	49.4
aldolase 2, B isoform	Aldab	41.3
protein kinase, cGMP-dependent, type II	Prkg2	39
ectonucleotide pyrophosphatase/ phosphodiesterase 3	Enpp3	37.1
early growth response 3	Egr3	36.8
protein C receptor, endothelial	Procr	36.5
sphingosine kinase 1	Sphk1	35.7
S100 calcium binding protein A6 (calcyclin)	S100a6	33.4
asialoglycoprotein receptor 1	Asgr1	31.7
prostaglandin-endoperoxide synthase 2	Ptgs2	30.8
activated leukocyte cell adhesion molecule	Alcam	29.7
ras homolog gene family, member E	Rhoe	29.2
Cd34 antigen	Cd34	28
prostaglandin-endoperoxide synthase 1	Ptgs1	26.4
frizzled homolog 1 (Drosophila)	Fzd1	26.1
Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxyl-terminal domain, 4	Cited4	25.7
tumor necrosis factor alpha induced protein t	Tnfaip6	24
claudin 1	Cldn1	24
expressed sequence AI661017	AI661017	22.5
ribonuclease P 25 subunit (human)	Rpp25	21.8
sema domain, immunogolbulin domain (lg), TM domain, and short cytoplasmic domain	Sema4f	21.2
fatty acid binding protein 7, brain	Fabp7	20.1
CDNA clone IMAGE: 6741091	---	19.6
dual specificity phosphatase 4	Dusp4	19.5
male sterility domain containing 2	Mlstd2	18.9
betacellulin, epidermal growth factor family  member	Btc	18.5
epithelial mitogen	Epgn	18.5
small proline-rich protein 2F	Sprr2f	18.3
solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	Slc7a8	18.2
thymosin, beta 4, X chromosome	Tmsb4x	16.7
preproeniephalin 1	Penk1	16.7
Zinc finger and BTB domain containing 16	Zbtb16	16.2
embigin/Cd147	Emb	15
Cd44 antigen	Cd44	13.9
metallothionein 2	Mt2	13.7
secreted frizzled-related sequence protein 2	Sfrp2	11.6
secreted frizzled-related sequence protein 4	Sfrp4	11.6
interleukin 6	Il6	11.1
amphiregulin	Areg	10.5
chondroitin sulfate proteoglycan 2 (Versican)	Cspg2	10.3
leucine-rich repeat kinase 2	Lrk2	9.6
dual specificity phosphatase 6	Dusp6	9.6
hyaluronan synthase 2	Has2	8.6
myelin basic protein	Mbp	7.9
a disintegrin-like and metalloprotease with thrombospondin type 1 motif, 1	Adamts1	7.1
protein kinase, cAMP-dependent regulatory, type II beta	Prkar1b	6.9
N-myc downstream regulated gene 1	Ndrg1	5.8
programmed cell death 1	Pdcd1	4.2
