Gene Symbol	BRCA1/BRCA2 Microarray	BRCA1/BRCA2 QRT-PCR	BRCA1/BRCAX Microarray	BRCA1/BRCAX QRT-PCR	BRCA2/BRCA Microarray	BRCA2/BRCA QRT-PCR	Pearson’s-correlation
SLC6A4	1.08	1.23	0.66	0.52	0.61	0.43	0.95
FAM26F	0.39	0.6	0.63	0.94	1.63	1.55	0.83
CCDC151	0.51	0.51	0.48	0.5	0.95	0.99	0.8
RARSL	1.14	1.32	1	1.18	0.88	0.9	0.75
P4HA2	0.61	0.49	0.97	0.65	1.6	1.33	0.7
LMNA	1.47	1.27	1.82	1.71	1.24	1.35	0.68
CASP3	1.56	1.28	1.3	1.03	0.83	0.81	0.67
GPM6A	0.91	0.34	0.94	0.75	1.04	2.18	0.61
CDCP1	0.98	0.81	1.18	2.14	1.21	2.63	0.61
CEND1	1.1	1.2	0.86	0.8	0.79	0.67	0.48
TNFRSF13C	0.59	0.95	0.66	0.98	1.13	1.04	0.47
HES4	0.38	0.58	0.69	0.69	1.82	1.19	0.47
CHCHD4	1.01	1.07	0.75	0.87	0.74	0.81	0.42
HSPA1L	0.87	0.83	0.83	0.79	0.96	0.95	0.35
GRHL1	0.96	0.81	0.83	0.7	0.87	0.86	0.34
