Annotation	Name	GenBank	Regulated genes d14(-) vrs d30(+) Rv WT	Regulated genes d14(-) vrs d30(+) Rv KO	Regulated genes d14(-) vrs d30(+) Ra WT	Regulated genes d14(-) vrs d30(+) Ra KO	Regulated genes Ra(-) vrs Rv(+) d14 WT	Regulated genes Ra(-) vrs Rv(+) d14 KO	Regulated genes Ra(-) vrs Rv(+) d30 WT	Regulated genes Ra(-) vrs Rv(+) d30 KO	Function
toll-like receptor 1	TLR1	NM_030682		2.1						2.9	I. Host–pathogen interaction
toll-like receptor 2	TLR2	NM_011905		4.1	4	4.6	2.6			2.4	I. Host–pathogen interaction
toll-like receptor 5	TLR5	AF186107		2.7	7.1	7.2		2.2	-2.9		I. Host–pathogen interaction
toll-like receptor 6	TLR6	NM_011604	2	4.4					2.1		I. Host–pathogen interaction
peptidoglycan recognition protein 1	PGLYRP1	NM_009402		2.4						2.5	I. Host–pathogen interaction
complement component 3a receptor 1 / CD11b	C3AR1	NM_009779	2.8	3.8						2.5	I. Host–pathogen interaction
complement component 3 receptor 4 / CD11c	ITGAX	NM_021334			2.2	2.5			-2	2.1	I. Host–pathogen interaction
complement component 3 receptor 3 / Mac-1	ITGAM	NM_008401		3.9	2.6			2.4		3.4	I. Host–pathogen interaction
complement component 4B	C4B	NM_009780	-2.1			-2.5				3.4	I. Host–pathogen interaction
complement component 3	C3	NM_009778			-2.4	-3.9		2.1	2.2	2.6	I. Host–pathogen interaction
major histocompatibility complex, class II, DR beta 1	HLA-DRB1	NM_010382	2.4		2.1					2.1	I. Host–pathogen interaction
major histocompatibility complex, class II, DO beta	HLA-DOB	NM_010389		-2.5						-3.4	I. Host–pathogen interaction
major histocompatibility complex, class I, A	HLA-A	BC042572	-2.6	2.1	3.2	3.8	3.2	3	2.3	4.4	I. Host–pathogen interaction
immunoglobulin kappa chain complex	IGK	BC002112	2.9	2.9		2		4.3		4.7	I. Host–pathogen interaction
immunoglobulin heavy constant alpha 1	IGHA1	AF296432		2.3						4.2	I. Host–pathogen interaction
immunoglobulin heavy constant mu	IGHM	AJ294737			6.4	7.3	3.6			3.7	I. Host–pathogen interaction
MHC class II transactivator	CIITA	NM_007575		2.7						2.2	I. Host–pathogen interaction
transporter 1, sub-family B (MDR/TAP)	TAP1	NM_013683		2.7	2.3	3	4.4	4.4		2.6	I. Host–pathogen interaction
Fc fragment of IgG, high affinity Ia receptor / CD64	FCGR1A	BC025535		4.1	3	3.4	4.1	4.1	2.7	6.3	I. Host–pathogen interaction
Fc fragment of IgE, high affinity I, receptor ? / CD23	FCER1G	NM_010185		4.1					2.5	6.3	I. Host–pathogen interaction
Fc fragment of IgG, low affinity IIa receptor / CD32	FCGR2A	NM_010188	2.1	3.1	2.5					3.2	I. Host–pathogen interaction
Fc fragment of IgG, low affinity IIb receptor / CD32	FCGR2B	NM_010187	2.2	4.2			2.4		2.4	4.9	I. Host–pathogen interaction
Fc fragment of IgG, low affinity IIIa receptor / CD16a	FCGR3A	NM_144559	2.6		5	5.9	2	2.6			I. Host–pathogen interaction
C-type lectin domain family 1, member A	CLEC1A	NM_175526		-4.9		2.3					I. Host–pathogen interaction
C-type lectin domain family 1, member B	CLEC1B	NM_019985		-2.1	2.8	3.3			-2.1		I. Host–pathogen interaction
C-type lectin domain family 4 member E / MINCLE	CLEC4E	NM_019948	6	6.9			3.6	3.4		2.3	I. Host–pathogen interaction
C-type lectin domain family 4, member M / DC-SIGN	CLEC4M	NM_130904		-3.6							I. Host–pathogen interaction
C-type lectin domain family 5 member A / MDL-1	CLEC5A	AK046600	3.6	5.4	5.5		3.5	2.6	2.4	3.1	I. Host–pathogen interaction
C-type lectin domain family 7, member A / Dectin-1	CLEC7A	NM_020008	2.1		7.8	5.1	3.9				I. Host–pathogen interaction
mannose receptor, C type 2	MRC2	AK028157	-3.1	-2.8						-2.4	I. Host–pathogen interaction
formyl peptide receptor 1	FPR1	NM_013521		4.2						4.7	I. Host–pathogen interaction
formyl peptide receptor 2	FPR2	NM_008039	3.5	7.2	3.4	4.9	2.7		3	3.3	I. Host–pathogen interaction
peptidoglycan recognition protein 1	PGLYRP1	NM_009402		2.4						2.5	I. Host–pathogen interaction
CD6 molecule	CD6	NM_009852	2	4.5	3.4	2.6	2.3	2.3		4.4	I. Host–pathogen interaction
CD68 molecule	CD68	NM_009853	2.1	3	2.1					2.5	I. Host–pathogen interaction
CD14 molecule, LPS receptor	CD14	NM_009841	2.6		2.3	2.6	2.1		2.7		I. Host–pathogen interaction
lipopolysaccharide-induced TNF factor	LITAF	NM_019980			-2.1	-2.2			2.5	7	I. Host–pathogen interaction
macrophage stimulating 1	MST1R	NM_009074	-2.9		-4.5	-4				4.1	I. Host–pathogen interaction
nucleotide-binding oligomerization domain 1	NOD1	NM_172729	-2.1		-2.6	-2.9				4.1	I. Host–pathogen interaction
nucleotide-binding oligomerization domain 2	NOD2	NM_145857		3.1						2.7	I. Host–pathogen interaction
receptor-interacting serine-threonine kinase 2	RIPK2	NM_138952			-3.3				3.7	3.4	I. Host–pathogen interaction
NLR family, CARD domain containing 3	NLRC3	AK084199			-2.4	-2.8			2.6	6.8	I. Host–pathogen interaction
PYD and CARD domain containing 3	CARD3	NM_138952			-3.3				3.7	3.4	I. Host–pathogen interaction
PYD and CARD domain containing 5	CARD5	NM_023258	3.1	2.5	6.5		2	2.8			I. Host–pathogen interaction
pentraxin-related gene, rapidly induced by IL-1 beta	PTX3	NM_008987		6.4						7	I. Host–pathogen interaction
CD8a molecule	CD8A	AK088414	2.5	5.1			2.5		3.3	4.4	II. Immune cell populations and activation
CD8b molecule	CD8B	NM_009858	2.1	4.1			2.2		2.3	3.3	II. Immune cell populations and activation
CD1d molecule	CD1D	NM_007639		2.3					3.1	5.2	II. Immune cell populations and activation
natural killer tumor recognition sequence	NKTR	NM_010918			-2.7	-3.1			2.6	5.1	II. Immune cell populations and activation
prosaposin	PSAP	NM_011179				-2.6				3.2	II. Immune cell populations and activation
