Affy ID	Symbol	Gene Name	Mean Fold-Difference	p-value†
214895_s_at	ADAM10	A disintegrin and metalloproteinase domain 10	2.4	1.00E-09
219147_s_at	C9orf95	Chromosome 9 open reading frame 95	2.8	1.00E-09
202455_at	HDAC5	Histone deacetylase 5	1.7	1.00E-09
203723_at	ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B	2.7	1.00E-09
205888_s_at	KIAA0555	Jak and microtubule interacting protein 2	2.8	1.00E-09
203414_at	MMD	Monocyte to macrophage differentiation-associated	2.1	1.00E-09
206089_at	NELL1	NEL-like 1 (chicken)	6.0	1.00E-09
204479_at	OSTF1	Osteoclast stimulating factor 1	1.7	1.00E-09
205123_s_at	TMEFF1	Transmembrane protein with EGF-like and two follistatin-like domains 1	3.4	1.00E-09
201368_at	ZFP36L2	Zinc finger protein 36, C3H type-like 2	-2.2	1.00E-09
209460_at	ABAT	4-aminobutyrate aminotransferase	5.3	1.00E-08
206940_s_at	POU4F1	POU domain, class 4, transcription factor 1	3.3	1.00E-08
209459_s_at	ABAT	4-aminobutyrate aminotransferase	6.2	3.00E-08
218319_at	PELI1	Pellino homolog 1 (Drosophila)	1.9	6.00E-08
211341_at	POU4F1	POU domain, class 4, transcription factor 1	4.9	6.00E-08
209757_s_at	MYCN	V-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	4.7	1.00E-07
203626_s_at	SKP2	S-phase kinase-associated protein 2 (p45)	2.6	2.20E-07
208212_s_at	ALK	Anaplastic lymphoma kinase (Ki-1)	2.1	3.40E-07
210567_s_at	SKP2	S-phase kinase-associated protein 2 (p45)	3.2	5.10E-07
210794_s_at	MEG3	Maternally expressed 3	3.5	7.70E-07
219038_at	ZCWCC2	Zinc finger, CW type with coiled-coil domain 2	1.7	8.00E-07
201005_at	CD9	CD9 antigen (p24)	3.4	1.00E-06
213002_at		213002_at	-1.5	1.20E-06
210095_s_at	IGFBP3	Insulin-like growth factor binding protein 3	-8.1	1.30E-06
201939_at	PLK2	Polo-like kinase 2 (Drosophila)	-4.2	1.60E-06
203625_x_at	SKP2	S-phase kinase-associated protein 2 (p45)	2.1	1.60E-06
201581_at	DJ971N18.2	Hypothetical protein DJ971N18.2	3.7	2.70E-06
207076_s_at	ASS	Argininosuccinate synthetase	8.2	2.90E-06
205431_s_at	BMP5	Bone morphogenetic protein 5	2.6	4.70E-06
212136_at	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	-1.9	5.00E-06
206835_at	STATH	Statherin	17.6	5.10E-06
218384_at	CARHSP1	Calcium regulated heat stable protein 1, 24kDa	1.7	5.70E-06
211042_x_at	MCAM	Melanoma cell adhesion molecule	2.0	6.50E-06
206657_s_at	MYOD1	Myogenic factor 3	3.7	6.50E-06
