Probesets ID	Fold Change	Gene Symbol
1449254_at	62.31	Spp1
1424046_at	19.7	Bub1
1417541_at	16.23	Hells
1443621_at	16.22	Fbxo39
1445226_at	15.94	BC023969
1424292_at	14.88	Depdc1a
1429295_s_at	14.63	Trip13
1429734_at	14.63	4632434I11Rik
1452242_at	13.76	Cep55
1449578_at	13.62	Supt16h
1416757_at	12.86	Zwilch
1424454_at	12.53	Tmem87a
1438403_s_at	12.3	---
1448754_at	12.23	LOC100045055 /// Rbp1
1438824_at	12.11	Slc20a1
1418569_at	12.04	Fblim1
1450886_at	12.03	Gsg2
1449699_s_at	11.46	C330027C09Rik
1452458_s_at	11.21	Ppil5
1450677_at	11.15	Chek1
1417019_a_at	11	Cdc6
1429171_a_at	11	Ncapg
1419513_a_at	10.76	Ect2
1426165_a_at	10.57	Casp3
1439040_at	10.29	Cenpe
1424278_a_at	10.08	Birc5
1424511_at	9.61	Aurka
1450156_a_at	9.36	Hmmr
1425908_at	9.1	Gnb1
1455878_at	8.98	2700023E23Rik
1450496_a_at	8.74	2810433K01Rik
1452912_at	8.63	2600005O03Rik
1434767_at	8.59	C79407
1448568_a_at	8.56	Slc20a1
1456653_a_at	8.56	Mthfd1l
1429642_at	8.37	Anubl1
1419943_s_at	8.3	Ccnb1
1453589_a_at	8.26	6820431F20Rik
1439377_x_at	8.26	Cdc20
1419029_at	8.19	Ero1l
1436723_at	8.18	Cenpi
1429527_a_at	8.14	LOC433328 /// LOC677340 /// Plscr1
1424971_at	8.09	Ccdc99
1452115_a_at	8.09	Plk4
1439695_a_at	8.04	Mphosph1
1428104_at	7.86	Tpx2
1421546_a_at	7.85	Racgap1
1418334_at	7.83	Dbf4
1455488_at	7.81	6230416J20Rik
1448314_at	7.8	Cdc2a
1451358_a_at	7.78	Racgap1
1416258_at	7.77	Tk1
1418281_at	7.77	Rad51
1422430_at	7.72	Fignl1
1460247_a_at	7.69	Skp2
1452314_at	7.68	Kif11
1429172_a_at	7.55	Ncapg
1432538_a_at	7.46	Rfc3
1448205_at	7.43	Ccnb1 /// Ccnb1-rs1
1424629_at	7.4	Brca1
1455160_at	7.39	2610203C20Rik
