Gene Name	Gene Symbol	Accession No.	UniGene No.	Gene Ontology	M Value Con	M Value ET	M Value ST	P Value
Acetylcholinesterase (Yt blood group)	ACHE	N63940	Hs.154495	Acetylcholine catabolism in synaptic cleft; muscle development; response to wounding	1.56	0.78	0.91	0.03
Calcium channel, voltage-dependent, alpha 1 H subunit	CACNA1H	AA779225	Hs.459642	Muscle contraction; muscle development; phosphatidylinositol transporter activity; calcium ion binding	1.19	0.76	0.63	0.02
Delta-like 1 homolog (Drosophila)	DLK1	AA701996	Hs.533717	Development	0.66	0.39	0.36	0.03
Kinesin heavy chain member 2A	KIF2A	AA488297	Hs.558351	Microtubule-based movement; nucleotide binding; cytoskeleton	0.89	0.54	0.56	0.04
Keratin 31	KRT31	AI417810	Hs.41696	Epidermis development; structural constituent of cytoskeleton	1.66	0.78	0.82	0.02
Lymphocyte cytosolic protein 1 (L-plastin)	LCP1	W73144	Hs.381099	Actin binding; calcium ion binding	0.6	0.36	0.29	0.01
Matrilin 3	MATN3	AI983860	Hs.6985	Skeletal development; extracellular matrix organization and biogenesis	0.38	0.17	0.17	0.04
Myosin X	MYO10	AA187977	Hs.481720	Motor activity; actin binding; signal transduction; myosin	0.5	0.32	0.29	0.03
Plexin A3	PLXNA3	H15445	Hs.632839	Development; transmembrane receptor activity	1.1	0.61	0.66	0.03
Tubulin-specific chaperone c	TBCC	AA954188	Hs.75064	Postchaperonin tubulin folding pathway; chaperone binding; cytoskeleton	1.14	0.65	0.61	0.03
Choline kinase alpha	CHKA	H09959	Hs.569019	Lipid metabolism; lipid transport; nutrient reservoir activity	1.21	0.67	0.54	0.01
Lecithin-cholesterol acyltransferase	LCAT	R06458	Hs.387239	Lipid metabolism; steroid metabolism; cholesterol metabolism	1.52	0.86	0.83	0.03
Cytochrome P450, family 27, subfamily A, polypeptide 1	CYP27A1	N66957	Hs.516700	Electron transport; steroid hydroxylase activity; cholestanetriol 26-monooxygenase activity; mitochondrion	1.5	0.48	0.86	0.04
Bone morphogenetic protein 2	BMP2	AI569017	Hs.73853	Cytokine activity; growth factor activity; cell–cell signaling	0.81	0.49	0.56	0.03
Bone morphogenetic protein 6	BMP6	AA424833	Hs.285671	Cell differentiation; cytokine activity; growth factor activity	0.8	0.54	0.51	0.01
Chemokine (C-C motif) ligand 4-like 2	CCL4L2	H62864	Hs.449862	Immune response; chemokine activity	1.11	0.67	0.33	0.04
Cathepsin G	CTSG	W92603	Hs.421724	Proteolysis, immune response;	1.26	0.75	0.69	0.01
Interleukin 2 receptor, beta	IL2RB	AA057204	Hs.474787	Signal transduction; cytokine-and chemokine-mediated signaling pathway; positive regulation of survival gene product activity; hematopoietin/interferon-class (D200-domain) cytokine receptor activity	1.08	0.68	0.55	0.03
Proteolipid protein 2 (colonic epithelium-enriched)	PLP2	AA464528	Hs.77422	Cytokine-and chemokine-mediated signaling pathway; ion transport	0.78	0.34	0.31	0.03
Aminoacylase 1	ACY1	AA402915	Hs.334707	Proteolysis; amino-acid metabolism	1.25	0.85	0.75	0.01
Dihydrofolate reductase	DHFR	R00884	Hs.83765	NADP binding; dihydrofolate reductase activity; oxidoreductase activity; glycine biosynthetic process; nucleotide biosynthetic process	0.65	0.34	0.33	0.04
Peptidylprolyl isomerase F (cyclophilin F)	PPIF	AA404286	Hs.381072	Protein folding; peptidyl–prolyl cis–trans isomerase activity; mitochondrion	1.37	0.48	0.49	0.04
Proteasome (prosome, macropain) subunit, alpha type, 5	PSMA5	AA598815	Hs.485246	Ubiquitin-dependent protein catabolic process; threonine endopeptidase activity	0.96	0.59	0.46	0.04
Ribosomal protein L31	RPL31	W15277	Hs.469473	Protein biosynthesis; structural constituent of ribosome	0.78	0.55	0.5	0.05
Ribosomal protein L35a	RPL35A	AA873351	Hs.529631	Protein biosynthesis; tRNA binding; structural constituent of ribosome	0.96	0.56	0.44	0.03
Ribosomal protein L7a	RPL7A	H23422	Hs.499839	Protein biosynthesis; ribosome biogenesis and assembly; structural constituent of ribosome	0.91	0.55	0.53	0.03
Ribosomal protein S14	RPS14	H73727	Hs.381126	Translation; structural constituent of ribosome; mitochondrial small ribosomal subunit	1.37	0.62	0.6	0.02
Ribosomal protein S7	RPS7	AW005693	Hs.546287	Protein biosynthesis; structural constituent of ribosome	1.08	0.62	0.44	0.03
Sec61 gamma subunit	SEC61G	W96107	Hs.488282	Protein targeting; protein translocase activity; endoplasmic reticulum	0.5	0.23	0.32	0.03
Secretory leukocyte peptidase inhibitor	SLPI	AA683520	Hs.517070	Serine-type endopeptidase inhibitor activity	0.83	0.52	0.46	0.02
Ubiquitin-activating enzyme E1-like	UBE1L	N23454	Hs.16695	Ubiquitin cycle; ubiquitin activating enzyme activity; ubiquitin conjugating enzyme activity; nucleotide binding;	1.12	0.75	0.67	0.03
Ubiquitin-conjugating enzyme E2L 3	UBE2L3	AA669526	Hs.108104	Ubiquitin-dependent protein catabolism; ubiquitin cycle; ubiquitin conjugating enzyme activity;	1.45	0.73	0.77	0.01
Interleukin 4 receptor	IL4R	AA293306	Hs.513457	Immune response; signal transduction; matopoietin/interferon-class (D200-domain) cytokine receptor activity	0.77	0.4	0.42	0.02
MutY homolog (E. coli)	MUTYH	N24004	Hs.271353	Negative regulation of progression through cell cycle; DNA binding	1.2	0.77	0.7	0.05
V-myc myelocytomatosis viral oncogene homolog (avian)	MYC	AA464600	Hs.202453	Positive regulation of cell proliferation; regulation of transcription, DNA dependent; transcription factor activity.	0.3	0.1	0.11	0.02
Nuclear protein 1	NUPR1	T64469	Hs.513463	Induction of apoptosis; cell growth	2.04	1.1	0.87	0.01
Pregnancy-associated plasma protein A, pappalysin 1	PAPPA	W84789	Hs.643599	Cell differentiation; metallopeptidase activity; zinc ion binding; extracellular space	1.12	0.82	0.69	0.02
Proliferating cell nuclear antigen	PCNA	AA450265	Hs.147433	Regulation of progression through cell cycle; regulation of DNA replication; cell proliferation.	0.49	0.16	0.19	0.03
Parathymosin	PTMS	R11526	Hs.504613	Regulation of progression through cell cycle; immune response; development	1.04	0.7	0.7	0.03
ATP-binding cassette, subfamily F (GCN20), member 2	ABCF2	N95462	Hs.438823	Metabolism; amine oxidase activity; peroxisome; oxidoreductase activity	1.1	0.62	0.7	0.03
ADP-ribosylation factor 3	ARF3	N72137	Hs.119177	ER to Golgi vesicle-mediated transport; small GTPase-mediated signal transduction	0.72	0.39	0.44	0.03
Cyclic nucleotide gated channel beta 1	CNGB1	H82536	Hs.147062	Ion transport; nucleotide binding; receptor activity; intracellular cAMP-activated cation channel activity	1.25	0.68	0.62	0.01
Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	KCNN3	AA491238	Hs.490765	Potassium ion transport; synaptic transmission; nervous system development; calmodulin binding; calcium-activated potassium channel activity	1.24	1.02	0.67	0.03
Karyopherin alpha 1 (importin alpha 5)	KPNA1	AA180046	Hs.161008	Regulation of DNA recombination; protein transporter activity; NLS-bearing substrate import into nucleus	2.68	1.35	1.18	0.03
Niemann–Pick disease, type C1	NPC1	AA634267	Hs.464779	Lysosomal transport; intracellular transporter activity; hedgehog receptor activity; cholesterol homeostasis; sterol transporter activity	0.94	0.45	0.4	0.03
Phosphatidylinositol transfer protein, alpha	PITPNA	R89808	Hs.429819	Lipid metabolism; transport	0.76	0.48	0.46	0.02
Secretory carrier membrane protein 2	SCAMP2	AA453114	Hs.458917	Post-Golgi vesicle-mediated transport; protein transport	0.87	0.41	0.55	0
Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)	SLC9A1	AA455369	Hs.469116	Antiporter activity; sodium ion binding; sodium–hydrogen antiporter activity; ion transport; regulation of pH	1.1	0.66	0.72	0.03
Treacher Collins–Franceschetti syndrome 1	TCOF1	AA457050	Hs.519672	Skeletal development; transport	0.89	0.48	0.51	0.01
Vacuolar protein sorting 45A (yeast)	VPS45A	AA885433	Hs.443750	Intracellular protein transport; vesicle docking during exocytosis; vesicle-mediated transport; Golgi-associated vesicle	1.03	0.77	0.62	0.03
Ribonuclease/angiogenin inhibitor 1	RNH1	R88243	Hs.530687	Regulation of angiogenesis; mRNA catabolism	1.09	0.58	0.71	0.01
Rho GTPase activating protein 29	ARHGAP29	AA629603	Hs.483238	Intracellular-signaling cascade; Rho protein signal transduction; Rho GTPase activator activity	0.96	0.54	0.55	0.03
Carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	AA130584	Hs.466814	Signal transduction; cell–cell signaling	1.27	0.94	0.67	0.04
Casein kinase 2, alpha prime polypeptide	CSNK2A2	AA054996	Hs.82201	Signal transduction; Wnt receptor-signaling pathway; protein amino-acid phosphorylation; protein serine/threonine kinase activity	1.22	0.77	0.67	0.03
GTP binding protein 2	GTPBP2	AI928759	Hs.485449	Protein biosynthesis; small GTPase-mediated signal transduction;	0.85	0.58	0.6	0.03
Intersectin 2	ITSN2	N63500	Hs.432562	Regulation of Rho protein signal transduction; SH3/SH2 adaptor activity; Rho guanyl–nucleotide exchange factor activity	0.99	1.58	2.15	0.05
Leukocyte receptor cluster (LRC) member 4	LENG4	AA426216	Hs.467279	Receptor activity	0.95	0.67	0.7	0.02
Luteinizing hormone beta polypeptide	LHB	AI051683	Hs.154704	Signal transduction; hormone activity	1.36	0.75	0.38	0.01
Low-density lipoprotein receptor-related protein-associated protein 1	LRPAP1	AA486209	Hs.533136	Protein folding; cell proliferation; vesicle-mediated transport; low-density lipoprotein receptor binding	0.99	0.61	0.62	0.03
3-Phosphoinositide-dependent protein kinase-1	PDPK1	N22904	Hs.459691	Protein amino-acid phosphorylation; insulin receptor-signaling pathway; actin cytoskeleton organization and biogenesis	1.7	0.84	0.75	0.03
